Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Account Management,Papua,315.3,2069.08,0.2,0.17,2017-01-01,2,6,NO
Account Management,Sumatra,765.82,1479.18,0.09,0.18,2017-01-02,3,11,NO
Account Management,Bali,6145.68,1571.49,0.12,0.19,2017-01-03,46,103,YES
Account Management,Sulawesi,3063.5,3565.32,0.18,0.2,2017-01-04,23,119,NO
Account Management,Kalimantan,2973.6,3709.12,0.1,0.2,2017-01-05,24,85,NO
Account Management,Jawa,2235.77,3426.38,0.07,0.16,2017-01-06,15,42,NO
Account Management,NTB,5073.39,1545.72,0.15,0.17,2017-01-07,42,196,YES
Account Management,Papua,2312.8,3929.53,0.27,0.17,2017-01-08,16,59,NO
Account Management,Sumatra,1889.02,1765.11,0.11,0.15,2017-01-09,16,45,YES
Account Management,Bali,4756.82,4926.11,0.16,0.17,2017-01-10,34,180,NO
Account Management,Sulawesi,1238.0,3437.67,0.19,0.15,2017-01-11,9,28,NO
Account Management,Kalimantan,5159.46,4248.56,0.25,0.14,2017-01-12,42,158,YES
Account Management,Jawa,4652.96,2497.13,0.16,0.18,2017-01-13,39,91,YES
Account Management,NTB,824.92,3961.93,0.18,0.21,2017-01-14,3,5,NO
Account Management,Papua,4684.97,4285.73,0.22,0.15,2017-01-15,38,112,YES
Account Management,Sumatra,4846.31,2353.94,0.21,0.17,2017-01-16,39,137,YES
Account Management,Bali,3271.22,4889.1,0.19,0.18,2017-01-17,24,98,NO
Account Management,Sulawesi,4926.41,3342.61,0.2,0.17,2017-01-18,36,111,YES
Account Management,Kalimantan,6643.89,4558.72,0.2,0.2,2017-01-19,59,220,YES
Account Management,Jawa,3929.95,2280.89,0.23,0.15,2017-01-20,33,151,YES
Account Management,NTB,3567.21,1772.81,0.25,0.17,2017-01-21,30,77,YES
Account Management,Papua,328.18,1472.76,0.2,0.18,2017-01-22,3,9,NO
Account Management,Sumatra,4891.31,1757.94,0.27,0.17,2017-01-23,39,207,YES
Account Management,Bali,4631.73,3991.61,0.2,0.15,2017-01-24,36,88,YES
Account Management,Sulawesi,194.46,3504.24,0.09,0.21,2017-01-25,3,7,NO
Account Management,Kalimantan,1178.32,2571.71,0.18,0.15,2017-01-26,6,24,NO
Account Management,Jawa,1650.12,4654.18,0.08,0.17,2017-01-27,12,58,NO
Account Management,NTB,2643.84,2312.94,0.17,0.17,2017-01-28,21,97,YES
Account Management,Papua,2971.15,3492.73,0.28,0.15,2017-01-29,24,125,NO
Account Management,Sumatra,5110.2,3760.6,0.22,0.16,2017-01-30,45,109,YES
Account Management,Bali,5087.03,3000.7,0.13,0.19,2017-01-31,38,153,YES
Account Management,Sulawesi,4047.64,5022.5,0.12,0.17,2017-02-01,33,139,NO
Account Management,Kalimantan,5326.04,4273.89,0.18,0.15,2017-02-02,45,186,YES
Account Management,Jawa,3338.02,3878.19,0.15,0.15,2017-02-03,28,61,NO
Account Management,NTB,736.29,1686.61,0.23,0.18,2017-02-04,5,24,NO
Account Management,Papua,5313.02,1760.4,0.22,0.19,2017-02-05,41,182,YES
Account Management,Sumatra,174.24,2890.22,0.12,0.16,2017-02-06,2,3,NO
Account Management,Bali,1107.92,1342.48,0.24,0.21,2017-02-07,6,23,NO
Account Management,Sulawesi,5710.06,2675.48,0.24,0.2,2017-02-08,47,221,YES
Account Management,Kalimantan,1795.19,5115.5,0.1,0.2,2017-02-09,12,48,NO
Account Management,Jawa,767.42,3411.56,0.11,0.2,2017-02-10,4,13,NO
