Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Business Development,Sulawesi,1672.33,3587.07,0.24,0.14,2017-01-01,12,50,NO
Business Development,Kalimantan,5672.89,2937.36,0.08,0.17,2017-01-02,44,127,YES
Business Development,Jawa,1628.91,1810.44,0.27,0.18,2017-01-03,11,63,NO
Business Development,NTB,1559.09,4080.56,0.12,0.17,2017-01-04,12,28,NO
Business Development,Papua,6180.45,5091.49,0.24,0.2,2017-01-05,45,202,YES
Business Development,Sumatra,3138.13,3550.97,0.21,0.17,2017-01-06,23,83,NO
Business Development,Bali,3039.35,2100.17,0.16,0.2,2017-01-07,23,67,YES
Business Development,Sulawesi,5133.56,1591.47,0.22,0.18,2017-01-08,38,151,YES
Business Development,Kalimantan,3879.79,4259.39,0.11,0.15,2017-01-09,34,124,NO
Business Development,Jawa,4662.01,4827.9,0.24,0.15,2017-01-10,34,144,NO
Business Development,NTB,7073.81,4845.47,0.17,0.15,2017-01-11,53,188,YES
Business Development,Papua,608.43,3749.95,0.27,0.21,2017-01-12,4,19,NO
Business Development,Sumatra,5254.95,1646.44,0.13,0.19,2017-01-13,40,74,YES
Business Development,Bali,2639.75,2843.97,0.11,0.15,2017-01-14,23,94,NO
Business Development,Sulawesi,3289.77,2184.38,0.14,0.17,2017-01-15,26,95,YES
Business Development,Kalimantan,3223.21,2358.07,0.23,0.15,2017-01-16,23,73,YES
Business Development,Jawa,4500.26,4656.2,0.2,0.15,2017-01-17,36,134,NO
Business Development,NTB,2661.81,2705.77,0.1,0.15,2017-01-18,23,82,NO
Business Development,Papua,1092.59,2411.4,0.24,0.19,2017-01-19,6,13,NO
Business Development,Sumatra,2627.84,4331.91,0.25,0.16,2017-01-20,23,44,NO
Business Development,Bali,6418.92,3026.59,0.09,0.19,2017-01-21,50,244,YES
Business Development,Sulawesi,4686.47,4277.94,0.15,0.18,2017-01-22,39,122,YES
Business Development,Kalimantan,5692.61,2614.36,0.27,0.2,2017-01-23,52,257,YES
Business Development,Jawa,1854.84,3465.84,0.12,0.21,2017-01-24,14,43,NO
Business Development,NTB,2121.08,5141.62,0.18,0.17,2017-01-25,16,27,NO
Business Development,Papua,1567.08,3563.28,0.09,0.17,2017-01-26,14,70,NO
Business Development,Sumatra,2153.98,4467.77,0.22,0.16,2017-01-27,17,53,NO
Business Development,Bali,819.69,5111.37,0.17,0.2,2017-01-28,3,10,NO
Business Development,Sulawesi,4916.79,4592.51,0.21,0.2,2017-01-29,36,194,YES
Business Development,Kalimantan,875.28,1316.2,0.13,0.17,2017-01-30,6,22,NO
Business Development,Jawa,5861.04,4389.51,0.15,0.17,2017-01-31,42,158,YES
Business Development,NTB,1420.47,3786.19,0.16,0.14,2017-02-01,10,31,NO
Business Development,Papua,928.87,4309.65,0.24,0.17,2017-02-02,5,14,NO
Business Development,Sumatra,3869.71,2142.92,0.16,0.15,2017-02-03,35,157,YES
Business Development,Bali,2817.2,5041.12,0.13,0.15,2017-02-04,22,118,NO
Business Development,Sulawesi,1276.17,5001.34,0.18,0.2,2017-02-05,8,21,NO
Business Development,Kalimantan,6005.28,4706.55,0.27,0.14,2017-02-06,42,147,YES
Business Development,Jawa,1044.39,4498.44,0.15,0.18,2017-02-07,9,29,NO
