Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Channel Sales,Bali,3414.28,1302.34,0.26,0.42,2017-01-01,30,66,YES
Channel Sales,Sulawesi,104.98,2049.09,0.6,0.5,2017-01-02,2,6,NO
Channel Sales,Kalimantan,403.98,1485.96,0.46,0.5,2017-01-03,3,9,NO
Channel Sales,Jawa,318.64,1538.91,0.8,0.6,2017-01-04,2,7,NO
Channel Sales,NTB,2871.98,2327.75,0.68,0.46,2017-01-05,20,88,YES
Channel Sales,Papua,2850.25,977.88,0.26,0.5,2017-01-06,22,67,YES
Channel Sales,Sumatra,1395.84,659.46,0.42,0.56,2017-01-07,8,30,YES
Channel Sales,Bali,488.4,2560.59,0.66,0.46,2017-01-08,3,14,NO
Channel Sales,Sulawesi,1055.07,843.42,0.32,0.44,2017-01-09,6,24,YES
Channel Sales,Kalimantan,1074.72,889.75,0.62,0.54,2017-01-10,6,14,YES
Channel Sales,Jawa,1021.56,2270.71,0.78,0.44,2017-01-11,8,37,NO
Channel Sales,NTB,3118.13,1510.52,0.62,0.58,2017-01-12,23,57,YES
Channel Sales,Papua,1922.36,2423.82,0.7,0.46,2017-01-13,14,45,NO
Channel Sales,Sumatra,2154.34,689.52,0.68,0.44,2017-01-14,16,65,YES
Channel Sales,Bali,1374.55,944.73,0.76,0.42,2017-01-15,8,15,YES
Channel Sales,Sulawesi,2399.23,736.29,0.44,0.52,2017-01-16,16,59,YES
Channel Sales,Kalimantan,261.36,1634.26,0.38,0.5,2017-01-17,3,10,NO
Channel Sales,Jawa,334.81,2289.57,0.26,0.56,2017-01-18,2,4,NO
Channel Sales,NTB,342.03,1145.52,0.7,0.5,2017-01-19,2,7,NO
Channel Sales,Papua,3195.32,1399.64,0.78,0.5,2017-01-20,23,127,YES
Channel Sales,Sumatra,1961.97,2380.75,0.72,0.54,2017-01-21,14,77,NO
Channel Sales,Bali,1754.73,2212.32,0.62,0.46,2017-01-22,11,54,NO
Channel Sales,Sulawesi,544.32,1295.42,0.48,0.5,2017-01-23,3,8,NO
Channel Sales,Kalimantan,1174.19,1326.07,0.76,0.56,2017-01-24,9,20,NO
Channel Sales,Jawa,458.97,963.89,0.48,0.46,2017-01-25,2,5,NO
Channel Sales,NTB,266.83,1546.86,0.68,0.54,2017-01-26,3,5,NO
Channel Sales,Papua,566.09,1931.46,0.34,0.46,2017-01-27,5,21,NO
Channel Sales,Sumatra,839.09,931.68,0.36,0.58,2017-01-28,5,25,NO
Channel Sales,Bali,261.16,666.37,0.3,0.5,2017-01-29,3,6,NO
Channel Sales,Sulawesi,2005.95,1441.24,0.22,0.48,2017-01-30,14,50,YES
Channel Sales,Kalimantan,2825.93,791.8,0.8,0.5,2017-01-31,23,55,YES
Channel Sales,Jawa,2530.81,1048.05,0.66,0.56,2017-02-01,23,94,YES
Channel Sales,NTB,3528.23,847.09,0.7,0.56,2017-02-02,27,98,YES
Channel Sales,Papua,2045.85,1591.49,0.4,0.54,2017-02-03,15,60,YES
Channel Sales,Sumatra,2190.89,2162.32,0.62,0.56,2017-02-04,18,60,YES
Channel Sales,Bali,1005.26,2371.19,0.66,0.4,2017-02-05,9,44,NO
Channel Sales,Sulawesi,1918.73,1110.99,0.5,0.42,2017-02-06,14,63,YES
Channel Sales,Kalimantan,141.08,773.34,0.74,0.48,2017-02-07,2,6,NO
Channel Sales,Jawa,2036.98,1742.69,0.32,0.6,2017-02-08,16,52,YES
Channel Sales,NTB,962.9,858.02,0.2,0.48,2017-02-09,8,32,YES
Channel Sales,Papua,2400.41,814.61,0.4,0.5,2017-02-10,18,79,YES
Channel Sales,Sumatra,3203.7,687.34,0.7,0.46,2017-02-11,24,61,YES
Channel Sales,Bali,2313.88,1471.88,0.42,0.46,2017-02-12,20,73,YES
Channel Sales,Sulawesi,313.99,2377.05,0.5,0.58,2017-02-13,3,13,NO
Channel Sales,Kalimantan,1935.94,742.45,0.8,0.54,2017-02-14,14,74,YES
Channel Sales,Jawa,1414.5,2301.7,0.68,0.52,2017-02-15,11,62,NO
Channel Sales,NTB,2231.04,1240.14,0.5,0.44,2017-02-16,18,31,YES
Channel Sales,Papua,2519.47,2321.21,0.62,0.58,2017-02-17,15,65,YES
Channel Sales,Sumatra,719.06,985.87,0.5,0.48,2017-02-18,6,27,NO
Channel Sales,Bali,3480.8,2155.0,0.58,0.58,2017-02-19,29,111,YES
Channel Sales,Sulawesi,1081.84,778.95,0.26,0.54,2017-02-20,6,21,YES
Channel Sales,Kalimantan,1756.67,1345.51,0.34,0.5,2017-02-21,14,39,YES
Channel Sales,Jawa,2167.26,2192.73,0.7,0.44,2017-02-22,15,44,NO
Channel Sales,NTB,952.82,1244.13,0.4,0.54,2017-02-23,8,34,NO
Channel Sales,Papua,2874.46,2507.85,0.72,0.56,2017-02-24,23,121,YES
Channel Sales,Sumatra,3481.79,2005.39,0.48,0.54,2017-02-25,30,54,YES
Channel Sales,Bali,1245.4,1875.2,0.54,0.56,2017-02-26,9,25,NO
Channel Sales,Sulawesi,3291.38,2488.88,0.48,0.4,2017-02-27,23,104,YES
