Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Customer Success,Kalimantan,6593.46,4112.01,0.36,0.26,2017-01-01,59,240,YES
Customer Success,Jawa,4036.56,2211.78,0.37,0.29,2017-01-02,32,106,YES
Customer Success,NTB,1623.07,3378.01,0.23,0.23,2017-01-03,11,55,NO
Customer Success,Papua,6627.2,4479.29,0.28,0.3,2017-01-04,51,100,YES
Customer Success,Sumatra,6328.61,2423.22,0.11,0.22,2017-01-05,47,168,YES
Customer Success,Bali,2047.9,3492.59,0.35,0.21,2017-01-06,15,63,NO
Customer Success,Sulawesi,3533.05,1565.38,0.2,0.27,2017-01-07,28,95,YES
Customer Success,Kalimantan,5086.31,5020.01,0.31,0.24,2017-01-08,36,121,YES
Customer Success,Jawa,6897.15,3560.6,0.36,0.26,2017-01-09,58,256,YES
Customer Success,NTB,854.16,5595.45,0.35,0.26,2017-01-10,3,7,NO
Customer Success,Papua,3370.59,5475.96,0.25,0.28,2017-01-11,27,88,NO
Customer Success,Sumatra,1465.79,1781.15,0.36,0.26,2017-01-12,10,45,NO
Customer Success,Bali,7659.5,5155.8,0.32,0.3,2017-01-13,66,213,YES
Customer Success,Sulawesi,1291.38,5330.29,0.1,0.29,2017-01-14,11,43,NO
Customer Success,Kalimantan,2707.33,1968.03,0.21,0.27,2017-01-15,22,85,YES
Customer Success,Jawa,1510.2,3082.49,0.31,0.25,2017-01-16,12,25,NO
Customer Success,NTB,4454.37,4860.65,0.37,0.24,2017-01-17,36,159,NO
Customer Success,Papua,6608.53,4771.14,0.34,0.22,2017-01-18,52,128,YES
Customer Success,Sumatra,3698.51,1918.9,0.37,0.26,2017-01-19,29,84,YES
Customer Success,Bali,4385.61,2827.63,0.12,0.27,2017-01-20,39,220,YES
Customer Success,Sulawesi,348.38,3833.37,0.21,0.28,2017-01-21,2,7,NO
Customer Success,Kalimantan,5853.14,5158.56,0.39,0.21,2017-01-22,45,214,YES
Customer Success,Jawa,2759.64,5018.21,0.26,0.27,2017-01-23,23,39,NO
Customer Success,NTB,2402.55,2682.56,0.31,0.23,2017-01-24,17,46,NO
Customer Success,Papua,6574.68,3666.01,0.13,0.27,2017-01-25,51,94,YES
Customer Success,Sumatra,7411.32,1738.17,0.38,0.2,2017-01-26,57,327,YES
Customer Success,Bali,7465.78,4340.2,0.34,0.23,2017-01-27,58,260,YES
