Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
E-commerce Sales,Jawa,2064.69,6425.76,0.17,0.26,2017-01-01,17,30,NO
E-commerce Sales,NTB,9759.96,7743.15,0.14,0.28,2017-01-02,80,240,YES
E-commerce Sales,Papua,4327.24,7975.15,0.2,0.31,2017-01-03,35,63,NO
E-commerce Sales,Sumatra,5519.95,7491.47,0.39,0.23,2017-01-04,36,86,NO
E-commerce Sales,Bali,8132.83,3913.11,0.31,0.28,2017-01-05,68,255,YES
E-commerce Sales,Sulawesi,2914.47,7146.73,0.26,0.31,2017-01-06,26,138,NO
E-commerce Sales,Kalimantan,8488.66,4308.96,0.36,0.31,2017-01-07,72,269,YES
E-commerce Sales,Jawa,4327.43,2189.58,0.4,0.24,2017-01-08,30,63,YES
E-commerce Sales,NTB,8523.63,5683.0,0.37,0.24,2017-01-09,65,130,YES
E-commerce Sales,Papua,7496.94,7203.57,0.22,0.3,2017-01-10,63,336,YES
E-commerce Sales,Sumatra,8644.49,2279.98,0.35,0.3,2017-01-11,74,226,YES
E-commerce Sales,Bali,2924.27,7128.39,0.18,0.26,2017-01-12,23,105,NO
E-commerce Sales,Sulawesi,6313.31,7551.48,0.19,0.23,2017-01-13,42,170,NO
E-commerce Sales,Kalimantan,8671.41,5120.05,0.14,0.28,2017-01-14,72,269,YES
E-commerce Sales,Jawa,9402.31,7910.06,0.39,0.29,2017-01-15,83,168,YES
E-commerce Sales,NTB,6930.76,7048.09,0.42,0.23,2017-01-16,56,231,NO
E-commerce Sales,Papua,1929.77,4271.01,0.2,0.26,2017-01-17,14,31,NO
E-commerce Sales,Sumatra,5227.63,3720.17,0.23,0.28,2017-01-18,39,171,YES
E-commerce Sales,Bali,4452.24,4859.38,0.32,0.33,2017-01-19,34,154,NO
E-commerce Sales,Sulawesi,7597.94,7778.48,0.15,0.29,2017-01-20,62,125,NO
E-commerce Sales,Kalimantan,8695.86,5885.47,0.17,0.33,2017-01-21,71,290,YES
E-commerce Sales,Jawa,8509.25,5029.52,0.28,0.28,2017-01-22,64,186,YES
E-commerce Sales,NTB,6554.07,3047.27,0.32,0.29,2017-01-23,59,208,YES
E-commerce Sales,Papua,8011.04,2624.08,0.36,0.22,2017-01-24,72,161,YES
E-commerce Sales,Sumatra,4615.13,5055.24,0.41,0.3,2017-01-25,36,205,NO
E-commerce Sales,Bali,2144.53,5265.35,0.29,0.3,2017-01-26,17,78,NO
E-commerce Sales,Sulawesi,7241.89,7593.62,0.39,0.23,2017-01-27,64,234,NO
E-commerce Sales,Kalimantan,4691.07,7111.7,0.19,0.3,2017-01-28,39,155,NO
E-commerce Sales,Jawa,4438.12,7438.19,0.22,0.31,2017-01-29,34,141,NO
E-commerce Sales,NTB,10530.88,4025.25,0.32,0.31,2017-01-30,114,343,YES
E-commerce Sales,Papua,5054.52,4381.57,0.36,0.29,2017-01-31,38,184,YES
E-commerce Sales,Sumatra,1702.47,4336.68,0.18,0.29,2017-02-01,12,66,NO
E-commerce Sales,Bali,7596.73,2591.93,0.43,0.31,2017-02-02,60,199,YES
E-commerce Sales,Sulawesi,5392.31,2818.57,0.19,0.3,2017-02-03,39,92,YES
E-commerce Sales,Kalimantan,635.18,2381.72,0.37,0.28,2017-02-04,4,9,NO
E-commerce Sales,Jawa,4767.02,3962.26,0.24,0.3,2017-02-05,35,180,YES
E-commerce Sales,NTB,6566.96,2955.92,0.17,0.28,2017-02-06,51,258,YES
E-commerce Sales,Papua,5925.83,5830.79,0.37,0.31,2017-02-07,52,207,YES
E-commerce Sales,Sumatra,1687.08,2968.57,0.42,0.31,2017-02-08,11,48,NO
E-commerce Sales,Bali,10461.41,3013.91,0.41,0.24,2017-02-09,95,237,YES
E-commerce Sales,Sulawesi,4941.46,8047.48,0.32,0.31,2017-02-10,35,148,NO
E-commerce Sales,Kalimantan,9269.21,7078.03,0.19,0.28,2017-02-11,87,402,YES
E-commerce Sales,Jawa,7392.38,6133.22,0.35,0.3,2017-02-12,62,346,YES
E-commerce Sales,NTB,10710.55,4334.3,0.12,0.24,2017-02-13,130,361,YES
E-commerce Sales,Papua,3416.92,2254.33,0.28,0.24,2017-02-14,28,85,YES
E-commerce Sales,Sumatra,6352.56,7930.32,0.33,0.25,2017-02-15,51,235,NO
E-commerce Sales,Bali,10328.31,4392.24,0.26,0.31,2017-02-16,86,250,YES
E-commerce Sales,Sulawesi,8368.42,2989.34,0.21,0.25,2017-02-17,64,191,YES
E-commerce Sales,Kalimantan,3814.62,4198.1,0.19,0.31,2017-02-18,29,76,NO
E-commerce Sales,Jawa,8532.68,4663.07,0.24,0.3,2017-02-19,64,334,YES
E-commerce Sales,NTB,6207.32,3079.05,0.31,0.31,2017-02-20,51,132,YES
E-commerce Sales,Papua,5501.76,4931.8,0.31,0.28,2017-02-21,40,85,YES
E-commerce Sales,Sumatra,5884.79,4256.04,0.12,0.28,2017-02-22,47,117,YES
E-commerce Sales,Bali,7948.43,5629.52,0.42,0.31,2017-02-23,64,300,YES
E-commerce Sales,Sulawesi,5389.57,4154.18,0.41,0.25,2017-02-24,40,178,YES
E-commerce Sales,Kalimantan,1829.64,6888.69,0.17,0.28,2017-02-25,15,39,NO
E-commerce Sales,Jawa,8529.65,2519.5,0.2,0.24,2017-02-26,68,355,YES
E-commerce Sales,NTB,3164.16,5782.41,0.18,0.22,2017-02-27,23,123,NO
E-commerce Sales,Papua,852.35,5914.38,0.34,0.31,2017-02-28,4,21,NO
E-commerce Sales,Sumatra,6276.43,7690.49,0.24,0.26,2017-03-01,50,239,NO
E-commerce Sales,Bali,1202.13,4433.98,0.42,0.3,2017-03-02,8,31,NO
E-commerce Sales,Sulawesi,5015.66,2897.91,0.12,0.31,2017-03-03,45,116,YES
E-commerce Sales,Kalimantan,6242.89,3710.61,0.17,0.32,2017-03-04,51,176,YES
E-commerce Sales,Jawa,921.6,7623.12,0.44,0.32,2017-03-05,6,11,NO
E-commerce Sales,NTB,1835.52,7270.62,0.17,0.3,2017-03-06,15,78,NO
E-commerce Sales,Papua,3647.03,5193.56,0.44,0.26,2017-03-07,27,136,NO
E-commerce Sales,Sumatra,4707.16,5022.17,0.19,0.28,2017-03-08,35,60,NO
E-commerce Sales,Bali,6911.05,3905.64,0.39,0.3,2017-03-09,50,148,YES
