Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Enterprise Sales,Sumatra,7054.69,3784.32,0.19,0.19,2017-01-01,51,87,YES
Enterprise Sales,Bali,613.99,4253.23,0.23,0.15,2017-01-02,4,8,NO
Enterprise Sales,Sulawesi,3313.94,2940.65,0.27,0.21,2017-01-03,23,50,YES
Enterprise Sales,Kalimantan,3093.96,2371.74,0.07,0.2,2017-01-04,23,79,YES
Enterprise Sales,Jawa,2825.35,3537.76,0.13,0.19,2017-01-05,20,106,NO
Enterprise Sales,NTB,4801.58,5136.93,0.2,0.21,2017-01-06,35,141,NO
Enterprise Sales,Papua,1895.1,1614.46,0.08,0.17,2017-01-07,15,37,YES
Enterprise Sales,Sumatra,1614.1,4397.98,0.14,0.2,2017-01-08,12,59,NO
Enterprise Sales,Bali,3786.77,3047.6,0.16,0.2,2017-01-09,28,132,YES
Enterprise Sales,Sulawesi,2146.67,4970.91,0.24,0.18,2017-01-10,15,58,NO
Enterprise Sales,Kalimantan,5808.17,2797.08,0.21,0.2,2017-01-11,44,147,YES
Enterprise Sales,Jawa,3511.28,2218.26,0.19,0.18,2017-01-12,27,122,YES
Enterprise Sales,NTB,5895.27,4831.69,0.13,0.17,2017-01-13,48,134,YES
Enterprise Sales,Papua,6746.0,1464.61,0.23,0.2,2017-01-14,50,182,YES
Enterprise Sales,Sumatra,4627.47,1398.07,0.27,0.2,2017-01-15,35,171,YES
Enterprise Sales,Bali,6039.65,2242.02,0.2,0.17,2017-01-16,44,79,YES
Enterprise Sales,Sulawesi,2497.62,3620.58,0.24,0.18,2017-01-17,20,37,NO
Enterprise Sales,Kalimantan,6891.94,4472.06,0.24,0.15,2017-01-18,59,328,YES
Enterprise Sales,Jawa,1904.75,1359.16,0.24,0.16,2017-01-19,16,60,YES
Enterprise Sales,NTB,5597.52,1431.3,0.08,0.2,2017-01-20,45,196,YES
Enterprise Sales,Papua,3157.24,4836.86,0.08,0.15,2017-01-21,23,125,NO
Enterprise Sales,Sumatra,2288.89,1386.12,0.27,0.17,2017-01-22,17,87,YES
Enterprise Sales,Bali,6016.42,1870.56,0.21,0.14,2017-01-23,46,104,YES
Enterprise Sales,Sulawesi,3981.18,4908.34,0.15,0.2,2017-01-24,29,112,NO
Enterprise Sales,Kalimantan,2305.94,1752.52,0.26,0.16,2017-01-25,16,40,YES
Enterprise Sales,Jawa,1688.08,1309.51,0.08,0.16,2017-01-26,12,49,YES
Enterprise Sales,NTB,5200.53,2036.59,0.13,0.19,2017-01-27,40,123,YES
Enterprise Sales,Papua,193.56,3262.29,0.15,0.18,2017-01-28,2,4,NO
Enterprise Sales,Sumatra,1109.03,5139.2,0.22,0.17,2017-01-29,8,31,NO
Enterprise Sales,Bali,2435.88,2597.46,0.24,0.2,2017-01-30,15,56,NO
Enterprise Sales,Sulawesi,3632.07,2637.23,0.08,0.15,2017-01-31,30,82,YES
Enterprise Sales,Kalimantan,4982.53,3804.77,0.28,0.18,2017-02-01,40,213,YES
Enterprise Sales,Jawa,6559.52,5154.78,0.25,0.15,2017-02-02,53,224,YES
Enterprise Sales,NTB,194.6,4000.48,0.24,0.21,2017-02-03,2,4,NO
Enterprise Sales,Papua,4528.58,3244.09,0.15,0.19,2017-02-04,34,57,YES
Enterprise Sales,Sumatra,2027.97,1598.82,0.15,0.17,2017-02-05,14,62,YES
Enterprise Sales,Bali,2974.54,3379.67,0.27,0.15,2017-02-06,23,77,NO
Enterprise Sales,Sulawesi,7053.84,4336.1,0.15,0.17,2017-02-07,50,185,YES
Enterprise Sales,Kalimantan,6852.7,3820.02,0.1,0.21,2017-02-08,59,237,YES
Enterprise Sales,Jawa,838.24,2095.19,0.11,0.19,2017-02-09,3,9,NO
Enterprise Sales,NTB,1934.4,4837.2,0.26,0.15,2017-02-10,14,64,NO
Enterprise Sales,Papua,6554.35,4035.61,0.13,0.2,2017-02-11,52,184,YES
Enterprise Sales,Sumatra,7110.29,2304.65,0.16,0.17,2017-02-12,54,152,YES
Enterprise Sales,Bali,2740.72,1350.73,0.14,0.2,2017-02-13,20,70,YES
Enterprise Sales,Sulawesi,6659.97,2581.39,0.07,0.19,2017-02-14,53,243,YES
Enterprise Sales,Kalimantan,3790.48,4019.86,0.09,0.19,2017-02-15,29,125,NO
Enterprise Sales,Jawa,5145.97,1715.0,0.15,0.2,2017-02-16,45,87,YES
Enterprise Sales,NTB,6003.92,3981.02,0.13,0.2,2017-02-17,51,164,YES
Enterprise Sales,Papua,3842.24,5170.9,0.24,0.21,2017-02-18,33,165,NO
Enterprise Sales,Sumatra,3446.76,3370.12,0.1,0.17,2017-02-19,27,84,YES
Enterprise Sales,Bali,6139.22,1840.33,0.18,0.16,2017-02-20,52,241,YES
Enterprise Sales,Sulawesi,1102.16,1939.88,0.08,0.18,2017-02-21,6,21,NO
Enterprise Sales,Kalimantan,1735.65,4415.34,0.24,0.17,2017-02-22,14,69,NO
Enterprise Sales,Jawa,4610.61,3002.73,0.11,0.19,2017-02-23,38,136,YES
Enterprise Sales,NTB,6757.92,3951.92,0.26,0.17,2017-02-24,59,136,YES
Enterprise Sales,Papua,7096.94,4598.42,0.18,0.19,2017-02-25,57,277,YES
Enterprise Sales,Sumatra,4712.39,4738.71,0.13,0.15,2017-02-26,39,208,NO
Enterprise Sales,Bali,476.94,3375.96,0.11,0.15,2017-02-27,2,4,NO
Enterprise Sales,Sulawesi,1010.19,2200.64,0.27,0.2,2017-02-28,5,22,NO
Enterprise Sales,Kalimantan,5087.51,4498.33,0.13,0.14,2017-03-01,38,109,YES
Enterprise Sales,Jawa,5193.5,4378.81,0.1,0.2,2017-03-02,38,153,YES
Enterprise Sales,NTB,1527.08,2749.41,0.23,0.2,2017-03-03,14,57,NO
Enterprise Sales,Papua,4727.07,1637.35,0.15,0.21,2017-03-04,34,187,YES
Enterprise Sales,Sumatra,3558.41,2559.2,0.17,0.15,2017-03-05,29,82,YES
Enterprise Sales,Bali,3066.0,2499.39,0.23,0.17,2017-03-06,24,52,YES
Enterprise Sales,Sulawesi,1037.39,3483.52,0.18,0.18,2017-03-07,6,30,NO
Enterprise Sales,Kalimantan,6783.16,2136.36,0.13,0.15,2017-03-08,56,237,YES
Enterprise Sales,Jawa,4824.62,3370.18,0.27,0.2,2017-03-09,34,103,YES
Enterprise Sales,NTB,130.9,1866.47,0.1,0.17,2017-03-10,3,13,NO
Enterprise Sales,Papua,5062.65,1735.98,0.17,0.19,2017-03-11,44,132,YES
Enterprise Sales,Sumatra,2544.58,3793.1,0.23,0.15,2017-03-12,21,80,NO
Enterprise Sales,Bali,5517.53,2553.39,0.1,0.15,2017-03-13,44,129,YES
Enterprise Sales,Sulawesi,4279.28,3198.14,0.08,0.17,2017-03-14,29,152,YES
Enterprise Sales,Kalimantan,5780.19,4299.72,0.22,0.15,2017-03-15,51,283,YES
Enterprise Sales,Jawa,4973.98,1527.93,0.1,0.2,2017-03-16,35,119,YES
Enterprise Sales,NTB,696.18,4720.74,0.22,0.15,2017-03-17,5,25,NO
Enterprise Sales,Papua,5006.52,4569.34,0.16,0.16,2017-03-18,39,108,YES
Enterprise Sales,Sumatra,4829.43,1635.72,0.17,0.15,2017-03-19,39,204,YES
Enterprise Sales,Bali,4988.2,1760.95,0.17,0.18,2017-03-20,39,163,YES
Enterprise Sales,Sulawesi,5551.21,4240.51,0.08,0.15,2017-03-21,45,146,YES
Enterprise Sales,Kalimantan,3570.35,1704.92,0.16,0.19,2017-03-22,29,100,YES
Enterprise Sales,Jawa,4853.69,3862.4,0.22,0.18,2017-03-23,39,156,YES
Enterprise Sales,NTB,5697.89,3829.18,0.13,0.2,2017-03-24,52,274,YES
Enterprise Sales,Papua,5269.78,4923.26,0.18,0.2,2017-03-25,41,166,YES
Enterprise Sales,Sumatra,5869.97,4501.27,0.22,0.17,2017-03-26,47,235,YES
Enterprise Sales,Bali,2988.62,1863.43,0.13,0.16,2017-03-27,23,120,YES
Enterprise Sales,Sulawesi,2624.67,4052.71,0.17,0.17,2017-03-28,23,53,NO
Enterprise Sales,Kalimantan,3556.17,4738.49,0.17,0.18,2017-03-29,28,55,NO
Enterprise Sales,Jawa,4960.54,2831.75,0.13,0.15,2017-03-30,36,85,YES
Enterprise Sales,NTB,5270.52,4390.75,0.24,0.2,2017-03-31,41,109,YES
Enterprise Sales,Papua,4783.49,1885.46,0.23,0.17,2017-04-01,39,101,YES
Enterprise Sales,Sumatra,4517.52,2674.2,0.08,0.19,2017-04-02,34,108,YES
Enterprise Sales,Bali,6387.94,4752.65,0.11,0.2,2017-04-03,59,109,YES
Enterprise Sales,Sulawesi,2979.88,1953.81,0.2,0.16,2017-04-04,26,140,YES
Enterprise Sales,Kalimantan,1958.7,4222.47,0.17,0.15,2017-04-05,14,42,NO
Enterprise Sales,Jawa,4979.39,3368.07,0.13,0.18,2017-04-06,34,134,YES
Enterprise Sales,NTB,2816.42,4387.59,0.25,0.18,2017-04-07,23,56,NO
Enterprise Sales,Papua,339.67,1743.85,0.13,0.15,2017-04-08,3,10,NO
Enterprise Sales,Sumatra,1665.94,2085.26,0.25,0.17,2017-04-09,14,48,NO
Enterprise Sales,Bali,3278.68,3467.25,0.15,0.18,2017-04-10,24,45,NO
Enterprise Sales,Sulawesi,3809.76,4835.26,0.25,0.17,2017-04-11,32,123,NO
Enterprise Sales,Kalimantan,1645.96,1429.92,0.21,0.15,2017-04-12,14,68,YES
Enterprise Sales,Jawa,4223.92,2782.66,0.2,0.15,2017-04-13,34,75,YES
Enterprise Sales,NTB,5450.66,4482.62,0.24,0.14,2017-04-14,39,157,YES
Enterprise Sales,Papua,6901.83,3856.19,0.15,0.16,2017-04-15,59,210,YES
Enterprise Sales,Sumatra,830.68,3072.5,0.22,0.19,2017-04-16,6,12,NO
Enterprise Sales,Bali,6650.57,4275.52,0.2,0.18,2017-04-17,50,240,YES
Enterprise Sales,Sulawesi,3964.32,2607.85,0.21,0.21,2017-04-18,30,108,YES
Enterprise Sales,Kalimantan,4640.75,2982.05,0.19,0.15,2017-04-19,39,147,YES
Enterprise Sales,Jawa,623.39,4144.64,0.28,0.19,2017-04-20,5,23,NO
Enterprise Sales,NTB,2265.42,4631.59,0.27,0.17,2017-04-21,20,103,NO
Enterprise Sales,Papua,6359.54,2019.77,0.15,0.15,2017-04-22,54,214,YES
Enterprise Sales,Sumatra,3645.13,2000.45,0.28,0.18,2017-04-23,28,137,YES
Enterprise Sales,Bali,6475.85,5087.29,0.26,0.17,2017-04-24,51,180,YES
Enterprise Sales,Sulawesi,5591.94,1709.86,0.22,0.17,2017-04-25,42,129,YES
Enterprise Sales,Kalimantan,6513.31,1389.31,0.16,0.15,2017-04-26,50,146,YES
Enterprise Sales,Jawa,1775.58,1307.15,0.28,0.14,2017-04-27,12,36,YES
Enterprise Sales,NTB,5844.21,3117.28,0.13,0.18,2017-04-28,46,195,YES
Enterprise Sales,Papua,4401.33,1587.59,0.1,0.18,2017-04-29,35,191,YES
Enterprise Sales,Sumatra,1219.54,3123.23,0.2,0.16,2017-04-30,11,28,NO
Enterprise Sales,Bali,6930.26,3538.74,0.07,0.2,2017-05-01,52,226,YES
Enterprise Sales,Sulawesi,6842.19,5156.12,0.12,0.21,2017-05-02,59,256,YES
Enterprise Sales,Kalimantan,1387.96,1335.43,0.1,0.18,2017-05-03,8,42,YES
Enterprise Sales,Jawa,5584.95,1771.52,0.14,0.14,2017-05-04,45,215,YES
Enterprise Sales,NTB,6666.88,4670.84,0.13,0.2,2017-05-05,54,197,YES
Enterprise Sales,Papua,1988.24,4899.89,0.09,0.17,2017-05-06,17,43,NO
Enterprise Sales,Sumatra,2261.33,4158.29,0.17,0.19,2017-05-07,18,85,NO
Enterprise Sales,Bali,1889.24,2657.65,0.13,0.2,2017-05-08,17,89,NO
Enterprise Sales,Sulawesi,3499.11,2584.12,0.08,0.19,2017-05-09,27,125,YES
