Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Inside Sales,Sumatra,7044.96,5236.01,0.3,0.17,2017-01-01,52,256,YES
Inside Sales,Bali,5411.04,3090.04,0.22,0.23,2017-01-02,44,148,YES
Inside Sales,Sulawesi,3327.54,4777.8,0.14,0.18,2017-01-03,26,68,NO
Inside Sales,Kalimantan,5725.2,5228.31,0.14,0.17,2017-01-04,42,135,YES
Inside Sales,Jawa,7601.57,6189.88,0.3,0.18,2017-01-05,65,214,YES
Inside Sales,NTB,3927.67,3260.68,0.11,0.19,2017-01-06,35,121,YES
Inside Sales,Papua,895.81,3209.21,0.14,0.18,2017-01-07,6,21,NO
Inside Sales,Sumatra,1738.47,4875.97,0.26,0.17,2017-01-08,14,45,NO
Inside Sales,Bali,5599.41,4181.39,0.21,0.19,2017-01-09,41,234,YES
Inside Sales,Sulawesi,2332.74,5392.86,0.25,0.2,2017-01-10,17,63,NO
Inside Sales,Kalimantan,5297.69,6537.05,0.18,0.22,2017-01-11,42,171,NO
Inside Sales,Jawa,3331.99,5318.97,0.23,0.23,2017-01-12,23,44,NO
Inside Sales,NTB,6113.22,4946.69,0.24,0.22,2017-01-13,47,238,YES
Inside Sales,Papua,4738.98,3843.68,0.31,0.16,2017-01-14,34,182,YES
Inside Sales,Sumatra,3207.17,6884.15,0.21,0.2,2017-01-15,26,57,NO
Inside Sales,Bali,3625.85,5468.76,0.26,0.21,2017-01-16,29,108,NO
Inside Sales,Sulawesi,5793.9,5668.96,0.24,0.18,2017-01-17,48,212,YES
Inside Sales,Kalimantan,8925.48,3332.88,0.17,0.22,2017-01-18,65,249,YES
Inside Sales,Jawa,3434.85,1866.25,0.1,0.2,2017-01-19,29,117,YES
Inside Sales,NTB,4443.49,3249.22,0.09,0.18,2017-01-20,34,176,YES
Inside Sales,Papua,3783.86,4639.71,0.14,0.18,2017-01-21,30,62,NO
Inside Sales,Sumatra,8959.13,2527.34,0.24,0.22,2017-01-22,68,301,YES
Inside Sales,Bali,5494.2,2737.09,0.22,0.17,2017-01-23,45,78,YES
Inside Sales,Sulawesi,5076.14,3354.49,0.12,0.23,2017-01-24,45,152,YES
Inside Sales,Kalimantan,8754.11,6897.34,0.18,0.2,2017-01-25,69,139,YES
Inside Sales,Jawa,4341.5,5376.33,0.1,0.21,2017-01-26,38,153,NO
Inside Sales,NTB,1114.29,1902.07,0.22,0.22,2017-01-27,5,13,NO
Inside Sales,Papua,2436.48,4861.21,0.13,0.23,2017-01-28,18,98,NO
Inside Sales,Sumatra,1071.53,2499.88,0.13,0.2,2017-01-29,6,17,NO
Inside Sales,Bali,6515.16,5152.92,0.1,0.21,2017-01-30,56,291,YES
Inside Sales,Sulawesi,1235.51,4651.0,0.22,0.2,2017-01-31,8,23,NO
Inside Sales,Kalimantan,8096.66,5087.07,0.24,0.18,2017-02-01,65,244,YES
Inside Sales,Jawa,944.21,1887.98,0.26,0.18,2017-02-02,8,15,NO
Inside Sales,NTB,8909.94,3641.26,0.31,0.18,2017-02-03,69,335,YES
Inside Sales,Papua,6238.27,4009.48,0.26,0.21,2017-02-04,42,243,YES
Inside Sales,Sumatra,8071.37,2028.18,0.1,0.19,2017-02-05,72,215,YES
Inside Sales,Bali,4501.79,4795.32,0.2,0.22,2017-02-06,34,155,NO
Inside Sales,Sulawesi,9417.0,1889.14,0.18,0.2,2017-02-07,74,356,YES
Inside Sales,Kalimantan,6302.13,3109.68,0.27,0.23,2017-02-08,48,276,YES
Inside Sales,Jawa,5793.81,6502.65,0.31,0.18,2017-02-09,45,229,NO
Inside Sales,NTB,1766.87,3240.75,0.1,0.22,2017-02-10,14,29,NO
Inside Sales,Papua,5423.31,2251.53,0.15,0.2,2017-02-11,45,233,YES
Inside Sales,Sumatra,1692.92,4694.57,0.31,0.23,2017-02-12,11,27,NO
Inside Sales,Bali,1366.68,3068.86,0.27,0.22,2017-02-13,10,29,NO
Inside Sales,Sulawesi,8458.66,6888.53,0.16,0.23,2017-02-14,66,118,YES
Inside Sales,Kalimantan,2884.13,5883.48,0.15,0.22,2017-02-15,23,42,NO
Inside Sales,Jawa,9225.42,1989.01,0.14,0.21,2017-02-16,72,398,YES
Inside Sales,NTB,5571.4,5514.88,0.11,0.19,2017-02-17,42,160,YES
Inside Sales,Papua,9278.4,3348.79,0.22,0.16,2017-02-18,75,410,YES
Inside Sales,Sumatra,3671.6,5889.8,0.18,0.16,2017-02-19,28,146,NO
Inside Sales,Bali,9009.26,3307.51,0.26,0.23,2017-02-20,82,193,YES
Inside Sales,Sulawesi,2256.52,5730.8,0.26,0.18,2017-02-21,17,50,NO
Inside Sales,Kalimantan,1676.33,4991.53,0.09,0.21,2017-02-22,12,29,NO
Inside Sales,Jawa,1272.27,1765.3,0.24,0.22,2017-02-23,8,18,NO
Inside Sales,NTB,5003.96,5548.23,0.1,0.17,2017-02-24,41,204,NO
Inside Sales,Papua,4673.17,4945.54,0.2,0.24,2017-02-25,39,151,NO
Inside Sales,Sumatra,357.88,2356.49,0.29,0.24,2017-02-26,2,7,NO
Inside Sales,Bali,5748.97,4999.35,0.23,0.21,2017-02-27,48,178,YES
Inside Sales,Sulawesi,7410.59,2098.05,0.19,0.18,2017-02-28,62,341,YES
Inside Sales,Kalimantan,2741.9,6037.72,0.3,0.21,2017-03-01,21,60,NO
Inside Sales,Jawa,3513.02,4106.0,0.24,0.23,2017-03-02,29,62,NO
Inside Sales,NTB,6264.01,4850.32,0.08,0.22,2017-03-03,51,124,YES
Inside Sales,Papua,4680.01,5511.92,0.11,0.22,2017-03-04,38,162,NO
Inside Sales,Sumatra,5060.53,2429.15,0.32,0.24,2017-03-05,42,176,YES
Inside Sales,Bali,5012.91,3778.85,0.26,0.21,2017-03-06,41,182,YES
Inside Sales,Sulawesi,5772.47,2996.6,0.21,0.21,2017-03-07,42,103,YES
Inside Sales,Kalimantan,278.22,2770.95,0.14,0.22,2017-03-08,3,11,NO
