Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
International Sales,Kalimantan,6698.02,4792.32,0.17,0.2,2017-01-01,59,185,YES
International Sales,Jawa,3839.79,3815.15,0.18,0.29,2017-01-02,34,175,YES
International Sales,NTB,4465.66,4543.52,0.15,0.23,2017-01-03,38,127,NO
International Sales,Papua,5098.19,2571.65,0.32,0.26,2017-01-04,45,80,YES
International Sales,Sumatra,157.15,5438.49,0.26,0.27,2017-01-05,2,3,NO
International Sales,Bali,7075.73,4086.66,0.32,0.25,2017-01-06,50,208,YES
International Sales,Sulawesi,7919.28,2951.83,0.3,0.28,2017-01-07,65,335,YES
International Sales,Kalimantan,5596.4,2633.49,0.1,0.29,2017-01-08,39,200,YES
International Sales,Jawa,7842.48,2759.24,0.29,0.26,2017-01-09,62,216,YES
International Sales,NTB,3680.73,2798.71,0.2,0.3,2017-01-10,27,123,YES
International Sales,Papua,7770.84,3579.83,0.11,0.25,2017-01-11,62,317,YES
International Sales,Sumatra,7863.18,2715.39,0.39,0.27,2017-01-12,58,99,YES
International Sales,Bali,1230.91,5527.84,0.19,0.25,2017-01-13,10,35,NO
International Sales,Sulawesi,4198.81,3418.75,0.39,0.21,2017-01-14,35,193,YES
International Sales,Kalimantan,2223.68,2219.4,0.31,0.23,2017-01-15,17,98,YES
International Sales,Jawa,3221.48,2780.38,0.2,0.23,2017-01-16,23,111,YES
International Sales,NTB,656.52,1848.27,0.3,0.23,2017-01-17,3,14,NO
International Sales,Papua,2088.03,4209.9,0.36,0.26,2017-01-18,14,59,NO
International Sales,Sumatra,5843.35,4154.07,0.33,0.27,2017-01-19,50,91,YES
International Sales,Bali,2992.56,3093.93,0.27,0.26,2017-01-20,26,50,NO
International Sales,Sulawesi,1333.84,2151.32,0.2,0.27,2017-01-21,10,45,NO
International Sales,Kalimantan,7660.96,2369.42,0.21,0.21,2017-01-22,60,336,YES
International Sales,Jawa,7517.25,1914.75,0.11,0.23,2017-01-23,58,319,YES
International Sales,NTB,6974.44,3502.58,0.16,0.3,2017-01-24,59,159,YES
International Sales,Papua,4923.33,2386.64,0.14,0.22,2017-01-25,36,177,YES
International Sales,Sumatra,5381.14,3792.01,0.26,0.28,2017-01-26,41,82,YES
International Sales,Bali,4832.32,5214.04,0.16,0.28,2017-01-27,39,165,NO
International Sales,Sulawesi,5328.69,4103.37,0.24,0.25,2017-01-28,38,83,YES
International Sales,Kalimantan,7720.34,1671.97,0.23,0.28,2017-01-29,57,197,YES
International Sales,Jawa,7719.58,2028.05,0.2,0.29,2017-01-30,63,110,YES
International Sales,NTB,3378.63,5594.66,0.13,0.29,2017-01-31,28,64,NO
International Sales,Papua,3951.46,2046.08,0.19,0.25,2017-02-01,28,152,YES
International Sales,Sumatra,6878.64,2518.6,0.31,0.28,2017-02-02,56,129,YES
International Sales,Bali,3427.92,2011.0,0.12,0.24,2017-02-03,30,145,YES
