Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Key Accounts,Jawa,9427.77,5667.34,0.37,0.3,2017-01-01,82,186,YES
Key Accounts,NTB,3106.37,5892.55,0.14,0.26,2017-01-02,24,99,NO
Key Accounts,Papua,8138.61,6088.51,0.44,0.23,2017-01-03,64,305,YES
Key Accounts,Sumatra,999.14,3305.15,0.2,0.32,2017-01-04,9,42,NO
Key Accounts,Bali,8773.27,2669.77,0.4,0.32,2017-01-05,74,385,YES
Key Accounts,Sulawesi,7092.04,4043.2,0.39,0.31,2017-01-06,58,258,YES
Key Accounts,Kalimantan,9492.58,7782.35,0.25,0.3,2017-01-07,82,452,YES
Key Accounts,Jawa,4865.1,4257.2,0.28,0.25,2017-01-08,39,187,YES
Key Accounts,NTB,2155.06,2101.58,0.29,0.25,2017-01-09,14,65,YES
Key Accounts,Papua,10463.95,5042.87,0.28,0.23,2017-01-10,138,475,YES
Key Accounts,Sumatra,6202.89,4335.93,0.42,0.28,2017-01-11,46,124,YES
Key Accounts,Bali,702.27,6831.07,0.21,0.26,2017-01-12,5,9,NO
Key Accounts,Sulawesi,9179.5,4930.21,0.37,0.3,2017-01-13,80,293,YES
Key Accounts,Kalimantan,1572.47,5430.56,0.13,0.31,2017-01-14,11,55,NO
Key Accounts,Jawa,9256.61,2579.86,0.14,0.3,2017-01-15,72,239,YES
Key Accounts,NTB,285.28,3838.98,0.18,0.23,2017-01-16,2,4,NO
Key Accounts,Papua,820.93,7046.11,0.13,0.32,2017-01-17,4,21,NO
Key Accounts,Sumatra,9293.05,7360.52,0.12,0.25,2017-01-18,82,157,YES
Key Accounts,Bali,8118.58,5207.95,0.14,0.25,2017-01-19,65,321,YES
Key Accounts,Sulawesi,5617.84,7606.22,0.29,0.31,2017-01-20,41,209,NO
Key Accounts,Kalimantan,10296.82,5872.81,0.37,0.28,2017-01-21,81,287,YES
Key Accounts,Jawa,996.0,2378.36,0.25,0.28,2017-01-22,9,37,NO
Key Accounts,NTB,6801.6,5133.79,0.22,0.29,2017-01-23,53,91,YES
Key Accounts,Papua,3178.57,2753.09,0.33,0.26,2017-01-24,23,100,YES
Key Accounts,Sumatra,2228.63,6471.06,0.37,0.29,2017-01-25,16,35,NO
Key Accounts,Bali,4512.05,6953.9,0.35,0.29,2017-01-26,36,187,NO
Key Accounts,Sulawesi,865.21,7752.64,0.4,0.32,2017-01-27,3,6,NO
Key Accounts,Kalimantan,6506.38,4541.5,0.17,0.25,2017-01-28,50,102,YES
Key Accounts,Jawa,4925.3,6759.91,0.3,0.32,2017-01-29,39,138,NO
Key Accounts,NTB,1214.74,5632.96,0.22,0.26,2017-01-30,11,62,NO
Key Accounts,Papua,4564.93,5080.0,0.42,0.3,2017-01-31,34,100,NO
Key Accounts,Sumatra,882.69,2631.4,0.4,0.24,2017-02-01,6,34,NO
