Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Outside Sales,Kalimantan,4109.85,1882.47,0.14,0.2,2017-01-01,33,189,YES
Outside Sales,Jawa,3899.68,2864.95,0.32,0.2,2017-01-02,28,61,YES
Outside Sales,NTB,835.24,4999.64,0.14,0.23,2017-01-03,4,19,NO
Outside Sales,Papua,8480.25,3004.39,0.22,0.21,2017-01-04,66,246,YES
Outside Sales,Sumatra,2501.21,2260.89,0.26,0.23,2017-01-05,20,89,YES
Outside Sales,Bali,8947.51,5239.21,0.3,0.21,2017-01-06,74,365,YES
Outside Sales,Sulawesi,5213.06,2445.32,0.14,0.22,2017-01-07,41,192,YES
Outside Sales,Kalimantan,7817.88,6729.11,0.1,0.16,2017-01-08,59,278,YES
Outside Sales,Jawa,7133.27,3442.81,0.25,0.18,2017-01-09,66,219,YES
Outside Sales,NTB,6586.93,6517.56,0.27,0.21,2017-01-10,58,148,YES
Outside Sales,Papua,1305.85,6772.8,0.22,0.18,2017-01-11,11,63,NO
Outside Sales,Sumatra,8126.16,6182.84,0.17,0.18,2017-01-12,72,151,YES
Outside Sales,Bali,6323.76,6073.93,0.23,0.23,2017-01-13,46,110,YES
Outside Sales,Sulawesi,3630.28,4026.5,0.31,0.23,2017-01-14,27,154,NO
Outside Sales,Kalimantan,5822.15,2242.15,0.25,0.23,2017-01-15,42,160,YES
Outside Sales,Jawa,965.55,2000.74,0.12,0.21,2017-01-16,9,15,NO
Outside Sales,NTB,7384.41,4289.5,0.26,0.22,2017-01-17,59,198,YES
Outside Sales,Papua,7760.79,5201.88,0.28,0.22,2017-01-18,64,189,YES
Outside Sales,Sumatra,2372.89,6883.63,0.17,0.16,2017-01-19,18,100,NO
Outside Sales,Bali,563.83,6566.59,0.2,0.24,2017-01-20,3,13,NO
Outside Sales,Sulawesi,4337.05,6893.16,0.15,0.23,2017-01-21,35,202,NO
Outside Sales,Kalimantan,5819.47,6095.68,0.22,0.22,2017-01-22,52,206,NO
Outside Sales,Jawa,4878.12,5690.66,0.14,0.24,2017-01-23,39,215,NO
Outside Sales,NTB,3367.12,3564.62,0.26,0.22,2017-01-24,29,71,NO
Outside Sales,Papua,8912.49,6715.68,0.3,0.23,2017-01-25,75,308,YES
Outside Sales,Sumatra,749.07,4567.02,0.2,0.21,2017-01-26,3,10,NO
Outside Sales,Bali,627.0,5566.95,0.18,0.18,2017-01-27,4,21,NO
Outside Sales,Sulawesi,5324.37,5748.26,0.17,0.2,2017-01-28,42,201,NO
Outside Sales,Kalimantan,7779.73,3113.8,0.18,0.19,2017-01-29,66,379,YES
Outside Sales,Jawa,7619.62,5424.77,0.1,0.18,2017-01-30,60,213,YES
Outside Sales,NTB,6534.0,4579.72,0.31,0.2,2017-01-31,57,113,YES
Outside Sales,Papua,9353.76,2992.45,0.12,0.18,2017-02-01,74,414,YES
Outside Sales,Sumatra,2737.51,4514.98,0.12,0.2,2017-02-02,22,85,NO
Outside Sales,Bali,195.87,5741.12,0.26,0.22,2017-02-03,3,11,NO
Outside Sales,Sulawesi,1585.3,3862.31,0.25,0.23,2017-02-04,14,74,NO
Outside Sales,Kalimantan,4403.3,4884.19,0.15,0.22,2017-02-05,39,98,NO
Outside Sales,Jawa,1996.33,6395.9,0.26,0.18,2017-02-06,17,98,NO
Outside Sales,NTB,7153.26,3023.24,0.19,0.22,2017-02-07,58,319,YES
Outside Sales,Papua,694.5,6893.31,0.14,0.22,2017-02-08,5,25,NO
Outside Sales,Sumatra,5450.05,6583.78,0.11,0.22,2017-02-09,45,195,NO
Outside Sales,Bali,3050.11,3788.47,0.2,0.22,2017-02-10,24,51,NO
Outside Sales,Sulawesi,3381.51,3858.05,0.17,0.2,2017-02-11,29,61,NO
Outside Sales,Kalimantan,6213.63,5241.18,0.14,0.19,2017-02-12,52,224,YES
Outside Sales,Jawa,1881.04,5251.64,0.16,0.17,2017-02-13,15,67,NO
Outside Sales,NTB,3525.03,2704.81,0.3,0.23,2017-02-14,29,52,YES
Outside Sales,Papua,1059.25,5658.52,0.09,0.23,2017-02-15,6,20,NO
Outside Sales,Sumatra,3935.87,2946.24,0.19,0.22,2017-02-16,29,147,YES
Outside Sales,Bali,5776.62,6303.9,0.2,0.19,2017-02-17,51,186,NO
Outside Sales,Sulawesi,2518.11,4945.0,0.26,0.23,2017-02-18,20,35,NO
Outside Sales,Kalimantan,8554.84,2725.99,0.2,0.23,2017-02-19,71,210,YES
Outside Sales,Jawa,3381.35,3867.19,0.23,0.2,2017-02-20,29,110,NO
Outside Sales,NTB,4509.03,4373.99,0.18,0.2,2017-02-21,39,114,YES
Outside Sales,Papua,694.51,3066.83,0.12,0.24,2017-02-22,3,11,NO
Outside Sales,Sumatra,3120.54,3606.0,0.12,0.22,2017-02-23,24,78,NO
Outside Sales,Bali,2827.47,6029.5,0.3,0.18,2017-02-24,20,90,NO
Outside Sales,Sulawesi,8542.89,6231.7,0.2,0.24,2017-02-25,74,353,YES
Outside Sales,Kalimantan,2029.31,4713.44,0.23,0.18,2017-02-26,15,70,NO
Outside Sales,Jawa,5057.31,5043.31,0.15,0.18,2017-02-27,41,147,YES
Outside Sales,NTB,8025.36,5964.62,0.28,0.17,2017-02-28,68,217,YES
Outside Sales,Papua,815.5,2531.66,0.15,0.18,2017-03-01,5,9,NO
Outside Sales,Sumatra,1729.32,2663.18,0.18,0.18,2017-03-02,11,38,NO
Outside Sales,Bali,3741.87,3308.0,0.09,0.2,2017-03-03,30,102,YES
Outside Sales,Sulawesi,344.39,4750.29,0.24,0.16,2017-03-04,2,5,NO
Outside Sales,Kalimantan,1527.24,6564.83,0.3,0.18,2017-03-05,12,60,NO
Outside Sales,Jawa,4988.88,4997.29,0.09,0.18,2017-03-06,36,90,NO
Outside Sales,NTB,5375.39,6006.11,0.09,0.17,2017-03-07,42,98,NO
Outside Sales,Papua,3044.68,4354.68,0.16,0.16,2017-03-08,26,91,NO
Outside Sales,Sumatra,6832.27,4435.83,0.08,0.23,2017-03-09,56,202,YES
Outside Sales,Bali,455.21,4192.13,0.17,0.2,2017-03-10,3,12,NO
Outside Sales,Sulawesi,668.55,5374.18,0.28,0.19,2017-03-11,6,12,NO
Outside Sales,Kalimantan,4956.57,4160.51,0.26,0.19,2017-03-12,35,141,YES
Outside Sales,Jawa,9095.14,3966.38,0.3,0.23,2017-03-13,72,363,YES
Outside Sales,NTB,5504.13,3027.1,0.18,0.23,2017-03-14,44,83,YES
Outside Sales,Papua,6273.84,4170.8,0.3,0.16,2017-03-15,44,224,YES
Outside Sales,Sumatra,2218.91,5721.39,0.24,0.18,2017-03-16,20,71,NO
Outside Sales,Bali,2474.38,3424.71,0.22,0.23,2017-03-17,20,65,NO
Outside Sales,Sulawesi,7124.7,2896.66,0.17,0.18,2017-03-18,65,257,YES
Outside Sales,Kalimantan,556.79,3369.4,0.11,0.18,2017-03-19,5,21,NO
Outside Sales,Jawa,9227.43,3925.15,0.3,0.17,2017-03-20,84,295,YES
Outside Sales,NTB,8313.74,6014.25,0.25,0.18,2017-03-21,75,221,YES
Outside Sales,Papua,4844.33,5504.82,0.14,0.21,2017-03-22,38,130,NO
Outside Sales,Sumatra,6180.52,3802.82,0.19,0.21,2017-03-23,48,94,YES
Outside Sales,Bali,3507.47,3548.98,0.24,0.18,2017-03-24,28,130,NO
Outside Sales,Sulawesi,4219.96,4662.75,0.23,0.2,2017-03-25,30,66,NO
Outside Sales,Kalimantan,3669.25,6646.12,0.15,0.19,2017-03-26,28,115,NO
Outside Sales,Jawa,8075.97,5282.94,0.27,0.18,2017-03-27,70,378,YES
Outside Sales,NTB,8937.81,6742.02,0.22,0.22,2017-03-28,71,276,YES
Outside Sales,Papua,415.07,5259.93,0.24,0.19,2017-03-29,2,5,NO
Outside Sales,Sumatra,1365.22,6408.65,0.28,0.2,2017-03-30,9,17,NO
Outside Sales,Bali,4572.36,6185.19,0.22,0.18,2017-03-31,34,152,NO
Outside Sales,Sulawesi,766.87,3960.33,0.23,0.17,2017-04-01,5,26,NO
Outside Sales,Kalimantan,6158.45,6406.62,0.1,0.21,2017-04-02,50,202,NO
Outside Sales,Jawa,3231.99,4747.0,0.28,0.19,2017-04-03,26,44,NO
Outside Sales,NTB,6373.4,3851.51,0.14,0.19,2017-04-04,56,258,YES
Outside Sales,Papua,3975.21,2939.7,0.3,0.18,2017-04-05,30,143,YES
Outside Sales,Sumatra,7937.14,5209.65,0.24,0.19,2017-04-06,66,189,YES
Outside Sales,Bali,936.17,4692.31,0.09,0.22,2017-04-07,6,30,NO
Outside Sales,Sulawesi,3081.02,3987.43,0.31,0.22,2017-04-08,24,58,NO
Outside Sales,Kalimantan,3019.49,2972.94,0.27,0.22,2017-04-09,23,126,YES
Outside Sales,Jawa,2354.34,5073.51,0.17,0.17,2017-04-10,17,50,NO
Outside Sales,NTB,5844.64,6222.24,0.31,0.18,2017-04-11,52,270,NO
Outside Sales,Papua,2409.44,6240.87,0.14,0.21,2017-04-12,16,74,NO
Outside Sales,Sumatra,6414.91,2871.42,0.29,0.22,2017-04-13,52,216,YES
Outside Sales,Bali,2768.05,5064.44,0.26,0.2,2017-04-14,21,51,NO
Outside Sales,Sulawesi,4758.65,6526.77,0.3,0.24,2017-04-15,39,111,NO
Outside Sales,Kalimantan,1765.01,3670.19,0.25,0.18,2017-04-16,12,62,NO
