Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Retail Sales,Bali,2664.03,6583.61,0.23,0.21,2017-01-01,23,94,NO
Retail Sales,Sulawesi,8372.33,6039.36,0.15,0.17,2017-01-02,65,147,YES
Retail Sales,Kalimantan,4704.41,2836.07,0.18,0.17,2017-01-03,34,61,YES
Retail Sales,Jawa,6868.99,2783.45,0.23,0.18,2017-01-04,53,181,YES
Retail Sales,NTB,9154.41,3104.18,0.1,0.19,2017-01-05,86,210,YES
Retail Sales,Papua,1814.04,6694.1,0.21,0.17,2017-01-06,12,55,NO
Retail Sales,Sumatra,642.02,3693.27,0.13,0.18,2017-01-07,5,20,NO
Retail Sales,Bali,8399.48,2992.19,0.19,0.21,2017-01-08,71,312,YES
Retail Sales,Sulawesi,5424.77,3303.09,0.32,0.17,2017-01-09,39,189,YES
Retail Sales,Kalimantan,4761.19,2201.01,0.16,0.18,2017-01-10,36,109,YES
Retail Sales,Jawa,1933.14,5343.84,0.22,0.18,2017-01-11,16,30,NO
Retail Sales,NTB,3397.33,4773.97,0.23,0.19,2017-01-12,27,87,NO
Retail Sales,Papua,1183.8,2940.13,0.09,0.23,2017-01-13,11,20,NO
Retail Sales,Sumatra,7093.93,4455.23,0.26,0.2,2017-01-14,57,287,YES
Retail Sales,Bali,3602.59,5681.35,0.22,0.22,2017-01-15,28,138,NO
Retail Sales,Sulawesi,1247.52,1836.12,0.16,0.22,2017-01-16,9,31,NO
Retail Sales,Kalimantan,2484.55,3997.32,0.18,0.2,2017-01-17,20,35,NO
Retail Sales,Jawa,7965.4,3634.88,0.3,0.24,2017-01-18,57,277,YES
Retail Sales,NTB,5081.56,4357.99,0.32,0.21,2017-01-19,44,111,YES
Retail Sales,Papua,873.01,5032.87,0.17,0.22,2017-01-20,8,39,NO
Retail Sales,Sumatra,4371.6,5253.7,0.16,0.23,2017-01-21,38,214,NO
Retail Sales,Bali,1663.0,3425.43,0.22,0.18,2017-01-22,14,57,NO
Retail Sales,Sulawesi,7478.24,5751.63,0.22,0.22,2017-01-23,59,276,YES
Retail Sales,Kalimantan,5128.04,5035.1,0.1,0.19,2017-01-24,39,155,YES
Retail Sales,Jawa,6637.16,2050.04,0.11,0.18,2017-01-25,58,226,YES
Retail Sales,NTB,6348.12,4523.73,0.24,0.18,2017-01-26,42,220,YES
Retail Sales,Papua,5372.96,2423.15,0.14,0.18,2017-01-27,39,213,YES
Retail Sales,Sumatra,8073.5,6627.84,0.24,0.22,2017-01-28,68,206,YES
Retail Sales,Bali,890.71,2570.14,0.14,0.22,2017-01-29,5,18,NO
Retail Sales,Sulawesi,5713.72,2741.72,0.1,0.18,2017-01-30,48,240,YES
Retail Sales,Kalimantan,4938.02,4417.44,0.22,0.21,2017-01-31,34,196,YES
Retail Sales,Jawa,1880.83,5322.77,0.2,0.19,2017-02-01,15,68,NO
Retail Sales,NTB,2872.63,3113.91,0.29,0.24,2017-02-02,22,114,NO
Retail Sales,Papua,2357.65,5126.04,0.25,0.16,2017-02-03,15,76,NO
Retail Sales,Sumatra,7361.25,1814.52,0.1,0.18,2017-02-04,64,152,YES
Retail Sales,Bali,8174.16,4594.05,0.3,0.22,2017-02-05,72,225,YES
Retail Sales,Sulawesi,2710.47,2115.17,0.13,0.22,2017-02-06,22,62,YES
Retail Sales,Kalimantan,2783.45,2439.43,0.13,0.23,2017-02-07,22,109,YES
Retail Sales,Jawa,8962.08,3778.78,0.1,0.18,2017-02-08,69,115,YES
Retail Sales,NTB,5715.81,4909.13,0.19,0.16,2017-02-09,42,139,YES
Retail Sales,Papua,7716.72,2382.15,0.18,0.24,2017-02-10,60,298,YES
Retail Sales,Sumatra,8116.4,6286.46,0.09,0.18,2017-02-11,75,300,YES
Retail Sales,Bali,8567.96,5903.35,0.27,0.21,2017-02-12,64,279,YES
Retail Sales,Sulawesi,994.32,4913.47,0.23,0.19,2017-02-13,5,26,NO
Retail Sales,Kalimantan,2626.85,4440.0,0.13,0.22,2017-02-14,20,63,NO
Retail Sales,Jawa,6747.26,5242.39,0.26,0.21,2017-02-15,56,304,YES
Retail Sales,NTB,6905.81,2282.49,0.22,0.18,2017-02-16,59,237,YES
Retail Sales,Papua,408.61,2481.38,0.24,0.18,2017-02-17,2,6,NO
Retail Sales,Sumatra,5183.99,2204.65,0.14,0.18,2017-02-18,40,104,YES
Retail Sales,Bali,1163.17,5807.26,0.15,0.17,2017-02-19,6,35,NO
Retail Sales,Sulawesi,8364.53,4127.41,0.17,0.18,2017-02-20,74,259,YES
Retail Sales,Kalimantan,8638.46,4404.87,0.17,0.23,2017-02-21,75,342,YES
Retail Sales,Jawa,7894.57,6377.89,0.26,0.21,2017-02-22,58,175,YES
Retail Sales,NTB,3759.02,6831.37,0.22,0.2,2017-02-23,29,153,NO
Retail Sales,Papua,6459.21,5984.44,0.1,0.23,2017-02-24,56,135,YES
Retail Sales,Sumatra,4205.92,3702.5,0.11,0.24,2017-02-25,34,120,YES
Retail Sales,Bali,8372.04,4571.08,0.09,0.19,2017-02-26,75,344,YES
Retail Sales,Sulawesi,1874.88,3229.27,0.23,0.21,2017-02-27,17,92,NO
Retail Sales,Kalimantan,5945.5,6553.53,0.32,0.21,2017-02-28,51,291,NO
Retail Sales,Jawa,8475.39,2142.49,0.27,0.17,2017-03-01,64,163,YES
Retail Sales,NTB,3598.13,4745.89,0.14,0.22,2017-03-02,29,120,NO
Retail Sales,Papua,3017.12,6847.99,0.22,0.24,2017-03-03,24,77,NO
Retail Sales,Sumatra,8371.92,6343.85,0.27,0.16,2017-03-04,65,180,YES
Retail Sales,Bali,4027.0,5576.43,0.32,0.22,2017-03-05,29,100,NO
Retail Sales,Sulawesi,7341.6,6457.12,0.22,0.22,2017-03-06,58,229,YES
Retail Sales,Kalimantan,8887.13,6840.88,0.15,0.21,2017-03-07,69,381,YES
Retail Sales,Jawa,7185.57,5384.1,0.15,0.16,2017-03-08,64,158,YES
Retail Sales,NTB,5735.33,4800.84,0.28,0.22,2017-03-09,51,133,YES
Retail Sales,Papua,3708.49,4290.44,0.24,0.17,2017-03-10,30,155,NO
Retail Sales,Sumatra,8074.5,2955.31,0.2,0.19,2017-03-11,72,287,YES
Retail Sales,Bali,4800.59,6878.75,0.26,0.18,2017-03-12,38,130,NO
Retail Sales,Sulawesi,2536.72,4148.7,0.3,0.21,2017-03-13,21,52,NO
Retail Sales,Kalimantan,6057.22,3590.41,0.1,0.21,2017-03-14,45,159,YES
Retail Sales,Jawa,318.64,4252.44,0.08,0.18,2017-03-15,3,7,NO
Retail Sales,NTB,4418.41,3735.92,0.11,0.22,2017-03-16,34,180,YES
Retail Sales,Papua,3279.21,1897.59,0.18,0.18,2017-03-17,26,66,YES
Retail Sales,Sumatra,2340.69,6639.58,0.23,0.19,2017-03-18,16,88,NO
Retail Sales,Bali,6157.02,4752.5,0.14,0.23,2017-03-19,42,121,YES
Retail Sales,Sulawesi,9451.12,2073.89,0.26,0.21,2017-03-20,77,396,YES
Retail Sales,Kalimantan,1501.19,2902.55,0.11,0.17,2017-03-21,11,49,NO
Retail Sales,Jawa,8154.37,2706.65,0.1,0.22,2017-03-22,69,347,YES
Retail Sales,NTB,8201.0,3298.98,0.25,0.2,2017-03-23,74,249,YES
Retail Sales,Papua,1030.87,6104.26,0.1,0.18,2017-03-24,8,41,NO
Retail Sales,Sumatra,3970.67,3612.04,0.24,0.17,2017-03-25,34,82,YES
Retail Sales,Bali,8257.77,5995.45,0.3,0.2,2017-03-26,75,401,YES
Retail Sales,Sulawesi,4783.98,2402.96,0.29,0.21,2017-03-27,38,141,YES
Retail Sales,Kalimantan,2317.68,1913.92,0.14,0.22,2017-03-28,16,58,YES
Retail Sales,Jawa,4207.23,5908.13,0.15,0.22,2017-03-29,32,166,NO
Retail Sales,NTB,8279.55,6734.72,0.22,0.2,2017-03-30,65,146,YES
Retail Sales,Papua,8034.02,5133.66,0.11,0.18,2017-03-31,69,192,YES
Retail Sales,Sumatra,2461.9,5922.62,0.16,0.2,2017-04-01,15,69,NO
Retail Sales,Bali,5701.56,2979.1,0.26,0.22,2017-04-02,47,183,YES
Retail Sales,Sulawesi,3639.02,6865.44,0.15,0.2,2017-04-03,27,139,NO
Retail Sales,Kalimantan,2572.57,2322.32,0.1,0.18,2017-04-04,23,95,YES
Retail Sales,Jawa,5365.43,3176.7,0.18,0.21,2017-04-05,42,208,YES
Retail Sales,NTB,2595.4,4682.38,0.14,0.2,2017-04-06,21,38,NO
Retail Sales,Papua,2924.73,3705.47,0.1,0.22,2017-04-07,26,139,NO
Retail Sales,Sumatra,9061.6,3446.58,0.26,0.18,2017-04-08,76,368,YES
Retail Sales,Bali,6653.4,5437.93,0.2,0.18,2017-04-09,57,256,YES
Retail Sales,Sulawesi,6914.69,4119.9,0.27,0.18,2017-04-10,58,167,YES
Retail Sales,Kalimantan,4861.5,5278.19,0.14,0.16,2017-04-11,34,161,NO
Retail Sales,Jawa,2917.53,4499.64,0.18,0.17,2017-04-12,24,57,NO
Retail Sales,NTB,3271.19,5021.67,0.3,0.18,2017-04-13,24,57,NO
Retail Sales,Papua,7463.16,2142.81,0.31,0.19,2017-04-14,66,226,YES
Retail Sales,Sumatra,5642.38,6398.77,0.21,0.18,2017-04-15,40,96,NO
Retail Sales,Bali,9498.82,5962.54,0.3,0.22,2017-04-16,76,356,YES
Retail Sales,Sulawesi,8547.65,2366.14,0.11,0.2,2017-04-17,66,233,YES
Retail Sales,Kalimantan,8248.32,2656.04,0.2,0.19,2017-04-18,65,362,YES
Retail Sales,Jawa,387.66,4698.35,0.22,0.18,2017-04-19,2,4,NO
Retail Sales,NTB,3735.27,6412.58,0.18,0.17,2017-04-20,27,97,NO
Retail Sales,Papua,9375.67,5867.27,0.2,0.18,2017-04-21,78,173,YES
Retail Sales,Sumatra,4493.68,4930.42,0.2,0.19,2017-04-22,36,132,NO
Retail Sales,Bali,8236.51,6882.22,0.14,0.22,2017-04-23,71,158,YES
Retail Sales,Sulawesi,2057.7,5464.47,0.09,0.18,2017-04-24,14,51,NO
Retail Sales,Kalimantan,7861.08,2864.75,0.31,0.18,2017-04-25,59,308,YES
Retail Sales,Jawa,6027.98,2366.04,0.28,0.17,2017-04-26,48,189,YES
Retail Sales,NTB,7837.49,3721.91,0.22,0.19,2017-04-27,66,355,YES
Retail Sales,Papua,1340.44,2826.3,0.23,0.18,2017-04-28,8,36,NO
Retail Sales,Sumatra,3336.26,3595.88,0.29,0.19,2017-04-29,24,109,NO
Retail Sales,Bali,3240.16,3372.8,0.32,0.2,2017-04-30,24,97,NO
Retail Sales,Sulawesi,2212.8,6803.31,0.18,0.2,2017-05-01,16,35,NO
Retail Sales,Kalimantan,4041.12,1808.51,0.12,0.19,2017-05-02,34,192,YES
Retail Sales,Jawa,859.35,6700.58,0.1,0.22,2017-05-03,3,14,NO
Retail Sales,NTB,452.19,2660.62,0.16,0.22,2017-05-04,2,6,NO
Retail Sales,Papua,6588.92,3986.58,0.12,0.18,2017-05-05,53,180,YES
Retail Sales,Sumatra,8348.76,5590.22,0.14,0.23,2017-05-06,74,387,YES
Retail Sales,Bali,7814.36,4668.71,0.32,0.22,2017-05-07,64,165,YES
Retail Sales,Sulawesi,554.95,3195.16,0.22,0.17,2017-05-08,4,9,NO
Retail Sales,Kalimantan,4467.21,2009.74,0.1,0.22,2017-05-09,38,183,YES
Retail Sales,Jawa,8636.75,6719.14,0.19,0.22,2017-05-10,70,386,YES
Retail Sales,NTB,7718.69,2724.87,0.22,0.21,2017-05-11,65,251,YES
Retail Sales,Papua,5887.54,2145.8,0.22,0.23,2017-05-12,45,115,YES
Retail Sales,Sumatra,6755.98,4951.79,0.14,0.18,2017-05-13,58,211,YES
Retail Sales,Bali,6324.21,5784.11,0.27,0.21,2017-05-14,50,251,YES
Retail Sales,Sulawesi,4914.75,4742.42,0.16,0.18,2017-05-15,36,78,YES
Retail Sales,Kalimantan,8261.83,6490.14,0.3,0.19,2017-05-16,74,139,YES
Retail Sales,Jawa,7628.36,1762.56,0.28,0.16,2017-05-17,63,246,YES
Retail Sales,NTB,3832.59,3579.35,0.19,0.17,2017-05-18,28,109,YES
Retail Sales,Papua,4697.5,2541.61,0.15,0.18,2017-05-19,36,167,YES
Retail Sales,Sumatra,5447.85,3835.47,0.08,0.22,2017-05-20,40,102,YES
Retail Sales,Bali,8273.15,4757.89,0.15,0.21,2017-05-21,69,227,YES
Retail Sales,Sulawesi,4297.95,4454.8,0.08,0.18,2017-05-22,29,49,NO
Retail Sales,Kalimantan,4493.2,2330.71,0.1,0.22,2017-05-23,34,149,YES
Retail Sales,Jawa,3030.72,4148.09,0.13,0.16,2017-05-24,24,88,NO
Retail Sales,NTB,7081.89,4768.06,0.14,0.21,2017-05-25,59,165,YES
Retail Sales,Papua,2936.19,5974.57,0.21,0.18,2017-05-26,26,75,NO
Retail Sales,Sumatra,3201.8,2058.34,0.15,0.22,2017-05-27,24,88,YES
Retail Sales,Bali,2863.99,4489.34,0.16,0.2,2017-05-28,20,46,NO
Retail Sales,Sulawesi,6859.76,4379.93,0.23,0.19,2017-05-29,57,282,YES
Retail Sales,Kalimantan,7432.62,5819.59,0.23,0.19,2017-05-30,59,278,YES
Retail Sales,Jawa,2968.78,6223.88,0.14,0.18,2017-05-31,26,115,NO
Retail Sales,NTB,4865.86,6167.59,0.1,0.18,2017-06-01,38,91,NO
Retail Sales,Papua,5447.79,6778.4,0.26,0.2,2017-06-02,42,106,NO
Retail Sales,Sumatra,7773.06,2209.35,0.12,0.23,2017-06-03,63,223,YES
Retail Sales,Bali,5073.58,2547.96,0.08,0.23,2017-06-04,40,192,YES
Retail Sales,Sulawesi,8501.14,3051.39,0.27,0.2,2017-06-05,75,264,YES
Retail Sales,Kalimantan,7307.37,5911.42,0.31,0.18,2017-06-06,63,107,YES
Retail Sales,Jawa,6784.23,4634.51,0.28,0.19,2017-06-07,50,243,YES
Retail Sales,NTB,8531.5,5640.72,0.31,0.18,2017-06-08,66,236,YES
Retail Sales,Papua,4907.95,4194.22,0.15,0.22,2017-06-09,38,85,YES
Retail Sales,Sumatra,6772.41,6285.07,0.2,0.18,2017-06-10,57,222,YES
Retail Sales,Bali,8002.27,2240.08,0.21,0.22,2017-06-11,74,188,YES
Retail Sales,Sulawesi,8402.4,3920.0,0.22,0.23,2017-06-12,68,303,YES
Retail Sales,Kalimantan,1889.4,2735.45,0.24,0.19,2017-06-13,15,61,NO
Retail Sales,Jawa,2197.3,2717.97,0.13,0.23,2017-06-14,16,61,NO
Retail Sales,NTB,4554.43,6825.44,0.25,0.23,2017-06-15,38,137,NO
Retail Sales,Papua,8138.16,5792.88,0.18,0.18,2017-06-16,74,323,YES
Retail Sales,Sumatra,5786.02,4354.49,0.15,0.19,2017-06-17,42,97,YES
Retail Sales,Bali,6926.07,3971.92,0.3,0.18,2017-06-18,56,132,YES
Retail Sales,Sulawesi,4675.61,2485.48,0.14,0.18,2017-06-19,38,112,YES
Retail Sales,Kalimantan,6161.73,3780.81,0.12,0.22,2017-06-20,46,111,YES
Retail Sales,Jawa,8425.12,3036.1,0.2,0.18,2017-06-21,70,357,YES
Retail Sales,NTB,6880.72,2778.8,0.14,0.22,2017-06-22,56,293,YES
Retail Sales,Papua,3656.35,6585.03,0.21,0.22,2017-06-23,27,70,NO
Retail Sales,Sumatra,3063.73,5756.82,0.29,0.18,2017-06-24,24,74,NO
Retail Sales,Bali,3656.29,3091.42,0.1,0.22,2017-06-25,29,117,YES
Retail Sales,Sulawesi,7701.32,6482.3,0.15,0.2,2017-06-26,66,292,YES
Retail Sales,Kalimantan,9418.65,4753.3,0.14,0.21,2017-06-27,74,290,YES
Retail Sales,Jawa,4759.27,5821.21,0.21,0.18,2017-06-28,39,98,NO
Retail Sales,NTB,7709.89,2740.88,0.25,0.17,2017-06-29,62,171,YES
Retail Sales,Papua,2454.21,1812.9,0.14,0.19,2017-06-30,15,82,YES
Retail Sales,Sumatra,2553.64,6476.9,0.08,0.17,2017-07-01,22,52,NO
Retail Sales,Bali,3954.9,6131.55,0.15,0.21,2017-07-02,30,95,NO
Retail Sales,Sulawesi,4361.76,2502.12,0.1,0.22,2017-07-03,36,110,YES
Retail Sales,Kalimantan,5200.39,5645.92,0.09,0.18,2017-07-04,36,171,NO
Retail Sales,Jawa,203.85,2969.83,0.26,0.22,2017-07-05,3,7,NO
Retail Sales,NTB,3351.97,4967.73,0.09,0.22,2017-07-06,30,164,NO
Retail Sales,Papua,8260.08,4998.27,0.09,0.18,2017-07-07,75,364,YES
Retail Sales,Sumatra,4254.74,3034.94,0.18,0.18,2017-07-08,28,93,YES
Retail Sales,Bali,3717.94,4966.03,0.3,0.18,2017-07-09,29,124,NO
Retail Sales,Sulawesi,4366.86,4935.07,0.09,0.22,2017-07-10,34,123,NO
Retail Sales,Kalimantan,952.59,4450.0,0.1,0.18,2017-07-11,8,33,NO
Retail Sales,Jawa,4986.68,4475.71,0.18,0.21,2017-07-12,36,61,YES
Retail Sales,NTB,2894.03,6819.78,0.18,0.19,2017-07-13,21,67,NO
Retail Sales,Papua,5882.34,4345.33,0.26,0.18,2017-07-14,48,203,YES
Retail Sales,Sumatra,4235.33,5827.16,0.09,0.22,2017-07-15,30,111,NO
Retail Sales,Bali,5517.59,6614.38,0.18,0.21,2017-07-16,44,143,NO
Retail Sales,Sulawesi,7680.54,5792.66,0.18,0.22,2017-07-17,58,237,YES
Retail Sales,Kalimantan,4794.25,4022.93,0.14,0.18,2017-07-18,39,210,YES
Retail Sales,Jawa,6537.12,6041.09,0.18,0.2,2017-07-19,57,120,YES
Retail Sales,NTB,852.7,5104.35,0.3,0.17,2017-07-20,3,12,NO
Retail Sales,Papua,7169.01,5826.1,0.21,0.22,2017-07-21,65,287,YES
Retail Sales,Sumatra,9033.49,4624.21,0.08,0.18,2017-07-22,82,234,YES
Retail Sales,Bali,3200.36,5734.86,0.2,0.22,2017-07-23,23,74,NO
Retail Sales,Sulawesi,3614.47,2812.23,0.31,0.2,2017-07-24,30,142,YES
Retail Sales,Kalimantan,7632.2,5135.17,0.22,0.21,2017-07-25,65,200,YES
Retail Sales,Jawa,6750.86,3657.46,0.2,0.18,2017-07-26,53,139,YES
Retail Sales,NTB,2019.93,4957.49,0.26,0.16,2017-07-27,16,57,NO
Retail Sales,Papua,8215.96,1844.02,0.14,0.17,2017-07-28,74,417,YES
Retail Sales,Sumatra,3542.49,4479.12,0.14,0.18,2017-07-29,28,88,NO
Retail Sales,Bali,5828.53,6858.59,0.23,0.21,2017-07-30,50,253,NO
Retail Sales,Sulawesi,9228.8,6539.16,0.3,0.18,2017-07-31,77,318,YES
Retail Sales,Kalimantan,2813.9,4889.32,0.18,0.18,2017-08-01,20,40,NO
Retail Sales,Jawa,2870.93,1874.46,0.22,0.19,2017-08-02,21,42,YES
Retail Sales,NTB,2598.03,3658.46,0.1,0.2,2017-08-03,23,87,NO
Retail Sales,Papua,3648.76,6768.99,0.2,0.24,2017-08-04,27,63,NO
Retail Sales,Sumatra,5909.4,5545.92,0.31,0.22,2017-08-05,51,94,YES
Retail Sales,Bali,2420.91,4816.4,0.11,0.2,2017-08-06,16,52,NO
Retail Sales,Sulawesi,952.99,3259.73,0.17,0.22,2017-08-07,8,19,NO
Retail Sales,Kalimantan,5836.22,5796.98,0.21,0.2,2017-08-08,46,259,YES
Retail Sales,Jawa,7855.24,3524.83,0.15,0.2,2017-08-09,60,229,YES
Retail Sales,NTB,4186.97,3355.32,0.08,0.24,2017-08-10,30,77,YES
Retail Sales,Papua,8102.53,3832.16,0.11,0.16,2017-08-11,75,429,YES
Retail Sales,Sumatra,5936.08,1893.83,0.14,0.24,2017-08-12,46,129,YES
Retail Sales,Bali,2869.29,4740.18,0.31,0.19,2017-08-13,20,40,NO
Retail Sales,Sulawesi,1492.83,3646.31,0.21,0.17,2017-08-14,9,20,NO
Retail Sales,Kalimantan,2306.28,5162.33,0.12,0.18,2017-08-15,16,42,NO
Retail Sales,Jawa,796.88,3734.73,0.12,0.21,2017-08-16,4,17,NO
Retail Sales,NTB,2633.16,2770.06,0.16,0.18,2017-08-17,20,87,NO
Retail Sales,Papua,2407.9,4077.39,0.31,0.17,2017-08-18,16,85,NO
Retail Sales,Sumatra,8673.77,5075.34,0.09,0.22,2017-08-19,69,220,YES
Retail Sales,Bali,9242.65,4162.12,0.1,0.16,2017-08-20,82,141,YES
Retail Sales,Sulawesi,5133.01,3135.74,0.25,0.2,2017-08-21,45,247,YES
Retail Sales,Kalimantan,2184.78,2583.22,0.2,0.2,2017-08-22,15,47,NO
Retail Sales,Jawa,5445.36,4923.73,0.31,0.19,2017-08-23,41,161,YES
Retail Sales,NTB,1139.62,1769.36,0.3,0.21,2017-08-24,6,15,NO
Retail Sales,Papua,2337.55,4064.76,0.22,0.2,2017-08-25,16,56,NO
