Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Sales Administration,Papua,908.94,908.83,0.29,0.52,2017-01-01,5,14,YES
Sales Administration,Sumatra,1202.01,824.24,0.47,0.49,2017-01-02,10,52,YES
Sales Administration,Bali,2686.84,1379.72,0.47,0.49,2017-01-03,21,114,YES
Sales Administration,Sulawesi,1214.4,518.62,0.22,0.52,2017-01-04,11,27,YES
Sales Administration,Kalimantan,2069.7,1517.99,0.38,0.38,2017-01-05,14,31,YES
Sales Administration,Jawa,2310.87,1332.39,0.67,0.49,2017-01-06,15,77,YES
Sales Administration,NTB,1824.22,1644.39,0.68,0.4,2017-01-07,17,38,YES
Sales Administration,Papua,283.41,1592.76,0.45,0.5,2017-01-08,3,13,NO
Sales Administration,Sumatra,2064.63,1936.76,0.29,0.4,2017-01-09,17,33,YES
Sales Administration,Bali,1150.4,1282.08,0.72,0.49,2017-01-10,6,31,NO
Sales Administration,Sulawesi,1656.63,1818.98,0.65,0.43,2017-01-11,14,76,NO
Sales Administration,Kalimantan,797.43,1359.69,0.56,0.49,2017-01-12,6,32,NO
Sales Administration,Jawa,314.91,1845.53,0.25,0.45,2017-01-13,2,5,NO
Sales Administration,NTB,1353.99,1111.25,0.56,0.45,2017-01-14,8,22,YES
Sales Administration,Papua,975.27,513.23,0.65,0.47,2017-01-15,5,18,YES
Sales Administration,Sumatra,507.99,1275.85,0.23,0.45,2017-01-16,3,7,NO
Sales Administration,Bali,2020.12,1496.72,0.67,0.52,2017-01-17,16,53,YES
Sales Administration,Sulawesi,329.6,1782.99,0.65,0.41,2017-01-18,2,4,NO
Sales Administration,Kalimantan,955.38,571.03,0.47,0.5,2017-01-19,9,18,YES
Sales Administration,Jawa,1898.54,1938.61,0.38,0.5,2017-01-20,16,71,NO
Sales Administration,NTB,992.13,1926.65,0.67,0.5,2017-01-21,5,28,NO
Sales Administration,Papua,1397.3,1838.1,0.54,0.45,2017-01-22,10,48,NO
Sales Administration,Sumatra,462.54,1548.03,0.4,0.5,2017-01-23,2,6,NO
Sales Administration,Bali,924.49,1480.59,0.67,0.38,2017-01-24,9,43,NO
Sales Administration,Sulawesi,2085.44,1419.88,0.4,0.45,2017-01-25,14,75,YES
Sales Administration,Kalimantan,724.03,1027.4,0.32,0.52,2017-01-26,3,6,NO
Sales Administration,Jawa,2021.67,1348.98,0.43,0.52,2017-01-27,17,62,YES
Sales Administration,NTB,68.4,1338.09,0.18,0.45,2017-01-28,2,3,NO
Sales Administration,Papua,977.36,1666.74,0.7,0.43,2017-01-29,6,31,NO
Sales Administration,Sumatra,597.04,979.04,0.7,0.54,2017-01-30,3,9,NO
Sales Administration,Bali,435.99,975.57,0.43,0.4,2017-01-31,3,5,NO
Sales Administration,Sulawesi,196.3,1046.87,0.18,0.38,2017-02-01,2,6,NO
Sales Administration,Kalimantan,2122.83,1526.46,0.45,0.47,2017-02-02,16,58,YES
Sales Administration,Jawa,2039.24,658.87,0.34,0.52,2017-02-03,17,80,YES
Sales Administration,NTB,893.84,1277.09,0.29,0.5,2017-02-04,9,15,NO
Sales Administration,Papua,2647.02,608.21,0.43,0.41,2017-02-05,21,107,YES
Sales Administration,Sumatra,1917.56,1753.5,0.56,0.36,2017-02-06,16,46,YES
Sales Administration,Bali,539.78,986.14,0.31,0.52,2017-02-07,3,14,NO
Sales Administration,Sulawesi,1653.29,769.13,0.34,0.49,2017-02-08,12,51,YES
Sales Administration,Kalimantan,696.92,579.05,0.49,0.5,2017-02-09,5,23,YES
Sales Administration,Jawa,1297.32,1824.68,0.61,0.47,2017-02-10,8,39,NO
Sales Administration,NTB,1064.1,1402.2,0.27,0.52,2017-02-11,6,23,NO
Sales Administration,Papua,2027.78,840.21,0.47,0.5,2017-02-12,17,70,YES
Sales Administration,Sumatra,1937.89,1024.66,0.25,0.43,2017-02-13,16,38,YES
Sales Administration,Bali,295.57,1277.7,0.58,0.38,2017-02-14,2,5,NO
Sales Administration,Sulawesi,2333.91,1348.21,0.72,0.38,2017-02-15,15,65,YES
Sales Administration,Kalimantan,1842.45,1949.76,0.25,0.45,2017-02-16,17,62,NO
Sales Administration,Jawa,2063.0,1811.64,0.58,0.47,2017-02-17,16,32,YES
Sales Administration,NTB,1720.66,1443.15,0.7,0.49,2017-02-18,11,52,YES
Sales Administration,Papua,1893.72,1886.23,0.61,0.49,2017-02-19,17,90,YES
Sales Administration,Sumatra,1430.74,551.16,0.49,0.43,2017-02-20,11,45,YES
Sales Administration,Bali,372.44,852.28,0.61,0.49,2017-02-21,2,4,NO
Sales Administration,Sulawesi,316.34,706.44,0.43,0.4,2017-02-22,3,5,NO
Sales Administration,Kalimantan,1454.24,854.28,0.27,0.36,2017-02-23,10,36,YES
Sales Administration,Jawa,602.25,881.54,0.52,0.4,2017-02-24,6,26,NO
Sales Administration,NTB,1134.69,1548.1,0.22,0.5,2017-02-25,6,13,NO
Sales Administration,Papua,128.16,1507.29,0.65,0.41,2017-02-26,3,11,NO
Sales Administration,Sumatra,460.5,1250.29,0.36,0.41,2017-02-27,2,3,NO
Sales Administration,Bali,1926.26,1045.54,0.25,0.52,2017-02-28,14,41,YES
Sales Administration,Sulawesi,314.71,1600.46,0.47,0.4,2017-03-01,3,10,NO
Sales Administration,Kalimantan,867.95,1608.96,0.49,0.38,2017-03-02,5,26,NO
Sales Administration,Jawa,2414.79,1744.04,0.18,0.49,2017-03-03,18,43,YES
Sales Administration,NTB,466.13,1971.45,0.67,0.41,2017-03-04,2,5,NO
Sales Administration,Papua,901.99,1428.6,0.58,0.47,2017-03-05,8,35,NO
Sales Administration,Sumatra,1744.76,886.71,0.43,0.52,2017-03-06,14,47,YES
Sales Administration,Bali,2715.55,506.39,0.2,0.47,2017-03-07,22,48,YES
Sales Administration,Sulawesi,118.27,1233.79,0.45,0.4,2017-03-08,3,9,NO
Sales Administration,Kalimantan,1324.86,1192.84,0.56,0.49,2017-03-09,8,13,YES
Sales Administration,Jawa,912.05,1366.26,0.67,0.41,2017-03-10,5,25,NO
Sales Administration,NTB,2170.17,1206.98,0.22,0.52,2017-03-11,20,67,YES
Sales Administration,Papua,2098.21,1309.18,0.38,0.49,2017-03-12,17,66,YES
Sales Administration,Sumatra,2651.17,904.18,0.41,0.45,2017-03-13,21,40,YES
Sales Administration,Bali,2760.65,560.02,0.22,0.5,2017-03-14,21,47,YES
Sales Administration,Sulawesi,1712.04,560.88,0.27,0.45,2017-03-15,12,60,YES
Sales Administration,Kalimantan,1693.25,1697.79,0.52,0.47,2017-03-16,12,60,NO
Sales Administration,Jawa,1045.4,1440.13,0.38,0.4,2017-03-17,5,16,NO
Sales Administration,NTB,1368.32,1971.73,0.59,0.36,2017-03-18,9,22,NO
Sales Administration,Papua,1033.07,727.69,0.65,0.43,2017-03-19,5,19,YES
Sales Administration,Sumatra,2440.83,708.87,0.27,0.41,2017-03-20,18,90,YES
Sales Administration,Bali,738.99,604.17,0.54,0.5,2017-03-21,3,5,YES
Sales Administration,Sulawesi,327.24,1903.03,0.7,0.38,2017-03-22,3,9,NO
Sales Administration,Kalimantan,1396.76,1971.95,0.52,0.43,2017-03-23,8,34,NO
Sales Administration,Jawa,1751.3,1189.28,0.59,0.4,2017-03-24,11,58,YES
Sales Administration,NTB,698.36,688.88,0.61,0.41,2017-03-25,3,10,YES
Sales Administration,Papua,1283.99,545.36,0.22,0.47,2017-03-26,9,15,YES
Sales Administration,Sumatra,1297.34,519.61,0.25,0.41,2017-03-27,11,25,YES
Sales Administration,Bali,2413.22,777.15,0.27,0.45,2017-03-28,16,90,YES
Sales Administration,Sulawesi,1231.86,1148.14,0.2,0.41,2017-03-29,11,20,YES
Sales Administration,Kalimantan,2388.28,820.35,0.52,0.47,2017-03-30,16,37,YES
Sales Administration,Jawa,401.75,805.62,0.5,0.38,2017-03-31,3,9,NO
Sales Administration,NTB,1298.94,1792.81,0.61,0.43,2017-04-01,11,46,NO
Sales Administration,Papua,2725.6,1721.75,0.72,0.47,2017-04-02,20,95,YES
Sales Administration,Sumatra,1186.88,1370.46,0.49,0.52,2017-04-03,10,35,NO
Sales Administration,Bali,1173.93,994.22,0.38,0.5,2017-04-04,8,35,YES
Sales Administration,Sulawesi,93.6,1550.07,0.52,0.36,2017-04-05,3,9,NO
Sales Administration,Kalimantan,191.55,1923.41,0.41,0.54,2017-04-06,2,6,NO
Sales Administration,Jawa,943.62,795.02,0.23,0.47,2017-04-07,9,36,YES
Sales Administration,NTB,588.8,767.3,0.67,0.49,2017-04-08,5,25,NO
Sales Administration,Papua,1068.57,1336.44,0.25,0.38,2017-04-09,8,19,NO
Sales Administration,Sumatra,2321.02,1017.81,0.41,0.49,2017-04-10,17,85,YES
Sales Administration,Bali,1292.28,1562.88,0.56,0.41,2017-04-11,11,55,NO
Sales Administration,Sulawesi,2000.19,1860.28,0.4,0.41,2017-04-12,15,27,YES
Sales Administration,Kalimantan,2491.07,970.98,0.58,0.5,2017-04-13,15,63,YES
Sales Administration,Jawa,1670.26,735.03,0.58,0.41,2017-04-14,14,42,YES
Sales Administration,NTB,1781.83,1678.35,0.36,0.38,2017-04-15,12,30,YES
Sales Administration,Papua,810.99,1561.29,0.61,0.43,2017-04-16,4,16,NO
Sales Administration,Sumatra,1797.94,1353.59,0.65,0.5,2017-04-17,11,32,YES
Sales Administration,Bali,1945.66,798.98,0.65,0.43,2017-04-18,15,65,YES
Sales Administration,Sulawesi,2262.7,533.85,0.49,0.45,2017-04-19,17,50,YES
Sales Administration,Kalimantan,1696.81,1138.56,0.27,0.54,2017-04-20,11,46,YES
Sales Administration,Jawa,2621.95,753.65,0.22,0.49,2017-04-21,22,72,YES
Sales Administration,NTB,387.45,1240.96,0.27,0.49,2017-04-22,3,8,NO
Sales Administration,Papua,2745.86,1908.79,0.41,0.47,2017-04-23,21,117,YES
Sales Administration,Sumatra,2585.12,1265.85,0.2,0.47,2017-04-24,23,51,YES
Sales Administration,Bali,2273.53,837.6,0.32,0.47,2017-04-25,18,48,YES
Sales Administration,Sulawesi,2456.9,1748.04,0.23,0.4,2017-04-26,15,58,YES
Sales Administration,Kalimantan,1001.19,1787.31,0.65,0.5,2017-04-27,8,25,NO
Sales Administration,Jawa,580.38,667.9,0.22,0.47,2017-04-28,6,21,NO
Sales Administration,NTB,1539.49,1969.04,0.59,0.38,2017-04-29,14,75,NO
Sales Administration,Papua,1034.24,1154.33,0.43,0.38,2017-04-30,5,21,NO
Sales Administration,Sumatra,1953.66,1485.16,0.43,0.43,2017-05-01,15,70,YES
Sales Administration,Bali,1623.08,698.85,0.52,0.54,2017-05-02,12,52,YES
Sales Administration,Sulawesi,1367.41,1432.37,0.47,0.4,2017-05-03,8,37,NO
Sales Administration,Kalimantan,1578.96,1087.01,0.5,0.45,2017-05-04,11,34,YES
Sales Administration,Jawa,1718.06,1732.48,0.32,0.4,2017-05-05,11,25,NO
Sales Administration,NTB,792.27,651.89,0.52,0.49,2017-05-06,3,14,YES
Sales Administration,Papua,87.31,1037.17,0.56,0.52,2017-05-07,3,5,NO
Sales Administration,Sumatra,787.05,2009.82,0.29,0.47,2017-05-08,3,13,NO
Sales Administration,Bali,442.73,1623.51,0.45,0.4,2017-05-09,2,3,NO
Sales Administration,Sulawesi,973.81,1585.35,0.61,0.41,2017-05-10,8,31,NO
Sales Administration,Kalimantan,1400.79,1762.59,0.49,0.45,2017-05-11,11,38,NO
Sales Administration,Jawa,2258.61,1311.7,0.65,0.49,2017-05-12,15,76,YES
Sales Administration,NTB,361.31,1258.34,0.2,0.41,2017-05-13,3,10,NO
Sales Administration,Papua,209.85,1923.51,0.32,0.47,2017-05-14,3,12,NO
Sales Administration,Sumatra,1188.24,1612.37,0.63,0.45,2017-05-15,9,46,NO
Sales Administration,Bali,1272.11,1122.22,0.41,0.5,2017-05-16,9,29,YES
Sales Administration,Sulawesi,766.34,1811.13,0.72,0.49,2017-05-17,4,18,NO
Sales Administration,Kalimantan,1968.64,1673.81,0.45,0.5,2017-05-18,15,54,YES
Sales Administration,Jawa,2125.31,1132.06,0.18,0.5,2017-05-19,14,61,YES
Sales Administration,NTB,1953.49,1072.04,0.59,0.4,2017-05-20,17,35,YES
Sales Administration,Papua,2135.29,1003.2,0.59,0.47,2017-05-21,14,60,YES
Sales Administration,Sumatra,2693.46,1748.87,0.65,0.52,2017-05-22,21,113,YES
Sales Administration,Bali,2503.87,792.92,0.59,0.38,2017-05-23,15,83,YES
Sales Administration,Sulawesi,2438.42,1657.92,0.67,0.45,2017-05-24,16,49,YES
Sales Administration,Kalimantan,974.62,1492.92,0.41,0.41,2017-05-25,8,37,NO
Sales Administration,Jawa,1772.96,1155.82,0.32,0.54,2017-05-26,12,34,YES
Sales Administration,NTB,623.66,1558.96,0.54,0.41,2017-05-27,5,18,NO
Sales Administration,Papua,2043.01,1933.57,0.36,0.4,2017-05-28,15,31,YES
Sales Administration,Sumatra,314.74,1474.76,0.22,0.52,2017-05-29,2,5,NO
Sales Administration,Bali,947.2,605.61,0.49,0.45,2017-05-30,6,22,YES
Sales Administration,Sulawesi,879.51,1903.05,0.41,0.47,2017-05-31,8,19,NO
Sales Administration,Kalimantan,1071.04,657.37,0.52,0.41,2017-06-01,5,11,YES
Sales Administration,Jawa,2061.49,1487.48,0.22,0.47,2017-06-02,17,67,YES
Sales Administration,NTB,745.19,673.33,0.43,0.36,2017-06-03,5,25,YES
Sales Administration,Papua,2507.69,697.84,0.54,0.43,2017-06-04,20,112,YES
Sales Administration,Sumatra,352.87,1336.31,0.34,0.52,2017-06-05,2,5,NO
Sales Administration,Bali,463.67,1174.39,0.54,0.5,2017-06-06,3,11,NO
Sales Administration,Sulawesi,2510.15,1141.8,0.4,0.49,2017-06-07,15,38,YES
Sales Administration,Kalimantan,2437.06,1115.81,0.32,0.49,2017-06-08,18,70,YES
Sales Administration,Jawa,2644.53,763.07,0.49,0.47,2017-06-09,23,127,YES
Sales Administration,NTB,509.03,1960.96,0.47,0.36,2017-06-10,3,7,NO
Sales Administration,Papua,1234.67,628.57,0.2,0.38,2017-06-11,11,24,YES
Sales Administration,Sumatra,1683.71,1451.32,0.4,0.49,2017-06-12,14,40,YES
Sales Administration,Bali,512.84,1914.39,0.38,0.38,2017-06-13,3,14,NO
Sales Administration,Sulawesi,2317.19,1675.17,0.52,0.38,2017-06-14,17,29,YES
Sales Administration,Kalimantan,2584.05,1388.35,0.27,0.52,2017-06-15,21,62,YES
Sales Administration,Jawa,2256.96,1723.02,0.23,0.38,2017-06-16,20,49,YES
Sales Administration,NTB,2275.86,624.89,0.59,0.49,2017-06-17,18,97,YES
Sales Administration,Papua,888.67,743.8,0.52,0.49,2017-06-18,9,17,YES
Sales Administration,Sumatra,819.13,1699.56,0.41,0.5,2017-06-19,3,6,NO
Sales Administration,Bali,646.43,855.79,0.27,0.52,2017-06-20,4,15,NO
Sales Administration,Sulawesi,2214.09,1512.53,0.68,0.38,2017-06-21,18,101,YES
Sales Administration,Kalimantan,2071.25,937.21,0.23,0.43,2017-06-22,14,30,YES
Sales Administration,Jawa,1423.48,666.99,0.25,0.38,2017-06-23,10,38,YES
Sales Administration,NTB,1829.52,577.66,0.5,0.49,2017-06-24,14,43,YES
Sales Administration,Papua,1644.09,517.39,0.65,0.38,2017-06-25,12,36,YES
Sales Administration,Sumatra,1327.72,641.58,0.45,0.41,2017-06-26,10,35,YES
