Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Sales Analytics,Sumatra,6039.19,7901.41,0.23,0.29,2017-01-01,42,85,NO
Sales Analytics,Bali,5141.02,7784.68,0.4,0.25,2017-01-02,41,86,NO
Sales Analytics,Sulawesi,4584.69,4068.1,0.4,0.24,2017-01-03,35,168,YES
Sales Analytics,Kalimantan,9791.05,7333.82,0.23,0.24,2017-01-04,86,431,YES
Sales Analytics,Jawa,2623.1,6954.71,0.26,0.25,2017-01-05,20,40,NO
Sales Analytics,NTB,7525.93,3374.63,0.18,0.22,2017-01-06,58,334,YES
Sales Analytics,Papua,6147.0,5664.47,0.19,0.24,2017-01-07,46,139,YES
Sales Analytics,Sumatra,9450.42,6989.46,0.14,0.33,2017-01-08,87,463,YES
Sales Analytics,Bali,10808.16,5362.72,0.34,0.23,2017-01-09,117,273,YES
Sales Analytics,Sulawesi,635.54,4628.92,0.22,0.25,2017-01-10,3,12,NO
Sales Analytics,Kalimantan,9774.29,7241.63,0.2,0.31,2017-01-11,86,281,YES
Sales Analytics,Jawa,1786.33,5228.5,0.3,0.31,2017-01-12,11,35,NO
Sales Analytics,NTB,3888.98,2712.54,0.43,0.23,2017-01-13,32,66,YES
Sales Analytics,Papua,2456.8,3322.07,0.4,0.25,2017-01-14,18,43,NO
Sales Analytics,Sumatra,9038.84,5380.92,0.31,0.29,2017-01-15,72,216,YES
Sales Analytics,Bali,2983.29,4000.49,0.11,0.3,2017-01-16,23,55,NO
Sales Analytics,Sulawesi,9512.65,5735.58,0.28,0.28,2017-01-17,86,260,YES
Sales Analytics,Kalimantan,8543.92,2808.59,0.23,0.24,2017-01-18,74,155,YES
Sales Analytics,Jawa,3480.06,2304.79,0.25,0.31,2017-01-19,30,102,YES
Sales Analytics,NTB,8116.91,2493.35,0.31,0.31,2017-01-20,72,262,YES
Sales Analytics,Papua,1522.8,3231.53,0.15,0.31,2017-01-21,12,33,NO
Sales Analytics,Sumatra,2422.67,5685.08,0.21,0.3,2017-01-22,17,91,NO
Sales Analytics,Bali,1970.65,8007.25,0.35,0.25,2017-01-23,16,45,NO
Sales Analytics,Sulawesi,10872.03,6965.54,0.43,0.31,2017-01-24,88,511,YES
Sales Analytics,Kalimantan,8445.69,3077.38,0.4,0.32,2017-01-25,75,163,YES
Sales Analytics,Jawa,694.63,4099.72,0.13,0.33,2017-01-26,4,16,NO
Sales Analytics,NTB,7016.4,4599.71,0.28,0.33,2017-01-27,50,116,YES
Sales Analytics,Papua,4336.68,7056.19,0.28,0.3,2017-01-28,29,102,NO
Sales Analytics,Sumatra,1239.74,5210.31,0.12,0.24,2017-01-29,9,32,NO
Sales Analytics,Bali,3378.77,4361.41,0.14,0.32,2017-01-30,30,155,NO
Sales Analytics,Sulawesi,6119.93,6798.27,0.23,0.32,2017-01-31,50,226,NO
Sales Analytics,Kalimantan,3750.41,4783.26,0.2,0.32,2017-02-01,29,89,NO
Sales Analytics,Jawa,9092.82,4671.49,0.44,0.31,2017-02-02,75,307,YES
Sales Analytics,NTB,1554.09,7203.07,0.25,0.22,2017-02-03,14,35,NO
Sales Analytics,Papua,8342.93,3803.44,0.13,0.32,2017-02-04,72,225,YES
Sales Analytics,Sumatra,6479.27,2482.11,0.26,0.26,2017-02-05,54,107,YES
Sales Analytics,Bali,9969.83,5159.51,0.34,0.26,2017-02-06,78,194,YES
Sales Analytics,Sulawesi,666.4,4804.08,0.17,0.29,2017-02-07,4,14,NO
Sales Analytics,Kalimantan,1184.18,3422.91,0.19,0.28,2017-02-08,11,26,NO
Sales Analytics,Jawa,4324.42,5318.35,0.14,0.28,2017-02-09,30,55,NO
Sales Analytics,NTB,9111.1,4547.89,0.29,0.32,2017-02-10,72,195,YES
Sales Analytics,Papua,9660.79,2828.76,0.43,0.26,2017-02-11,78,388,YES
Sales Analytics,Sumatra,4525.16,2634.8,0.28,0.3,2017-02-12,34,130,YES
Sales Analytics,Bali,1697.01,3227.4,0.24,0.29,2017-02-13,11,48,NO
