Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Sales Enablement,NTB,2884.52,2005.19,0.4,0.44,2017-01-01,23,48,YES
Sales Enablement,Papua,3550.44,1676.59,0.78,0.58,2017-01-02,29,125,YES
Sales Enablement,Sumatra,1718.77,2173.31,0.68,0.44,2017-01-03,11,28,NO
Sales Enablement,Bali,2415.18,1231.2,0.38,0.56,2017-01-04,18,40,YES
Sales Enablement,Sulawesi,151.53,2079.88,0.4,0.58,2017-01-05,3,12,NO
Sales Enablement,Kalimantan,1612.01,1063.44,0.48,0.58,2017-01-06,14,66,YES
Sales Enablement,Jawa,2108.61,2000.1,0.72,0.56,2017-01-07,16,67,YES
Sales Enablement,NTB,421.37,2149.7,0.72,0.52,2017-01-08,2,4,NO
Sales Enablement,Papua,1759.1,2056.59,0.78,0.5,2017-01-09,14,29,NO
Sales Enablement,Sumatra,645.39,1246.0,0.64,0.52,2017-01-10,5,21,NO
Sales Enablement,Bali,2976.64,1616.85,0.62,0.5,2017-01-11,26,138,YES
Sales Enablement,Sulawesi,2677.88,1491.64,0.26,0.52,2017-01-12,22,75,YES
Sales Enablement,Kalimantan,679.41,904.92,0.52,0.6,2017-01-13,6,28,NO
Sales Enablement,Jawa,3032.24,1531.97,0.6,0.52,2017-01-14,23,105,YES
Sales Enablement,NTB,1520.42,832.85,0.46,0.54,2017-01-15,11,53,YES
Sales Enablement,Papua,1569.15,1198.63,0.6,0.5,2017-01-16,14,60,YES
Sales Enablement,Sumatra,303.75,1507.65,0.38,0.46,2017-01-17,2,3,NO
Sales Enablement,Bali,3380.88,1593.3,0.34,0.42,2017-01-18,28,66,YES
Sales Enablement,Sulawesi,550.47,2019.56,0.46,0.4,2017-01-19,2,6,NO
Sales Enablement,Kalimantan,500.37,1363.44,0.74,0.54,2017-01-20,3,8,NO
Sales Enablement,Jawa,3023.44,1269.27,0.4,0.42,2017-01-21,24,85,YES
Sales Enablement,NTB,1807.53,1867.2,0.38,0.6,2017-01-22,11,50,NO
Sales Enablement,Papua,761.34,1637.74,0.5,0.4,2017-01-23,6,12,NO
Sales Enablement,Sumatra,1106.21,1209.82,0.32,0.54,2017-01-24,6,23,NO
Sales Enablement,Bali,3349.01,2302.46,0.48,0.44,2017-01-25,30,158,YES
Sales Enablement,Sulawesi,2894.57,1529.48,0.5,0.5,2017-01-26,22,100,YES
Sales Enablement,Kalimantan,2157.03,1955.4,0.4,0.46,2017-01-27,17,95,YES
Sales Enablement,Jawa,3264.22,1368.65,0.44,0.52,2017-01-28,26,92,YES
Sales Enablement,NTB,2722.74,829.77,0.42,0.52,2017-01-29,23,65,YES
Sales Enablement,Papua,1008.76,905.59,0.32,0.48,2017-01-30,9,17,YES
Sales Enablement,Sumatra,2280.96,1118.49,0.6,0.54,2017-01-31,17,39,YES
Sales Enablement,Bali,2213.68,1031.6,0.56,0.48,2017-02-01,16,59,YES
Sales Enablement,Sulawesi,2943.29,728.88,0.64,0.5,2017-02-02,23,39,YES
Sales Enablement,Kalimantan,1004.46,2258.29,0.4,0.52,2017-02-03,9,32,NO
Sales Enablement,Jawa,1033.96,811.79,0.54,0.52,2017-02-04,5,27,YES
Sales Enablement,NTB,2586.9,972.58,0.28,0.56,2017-02-05,22,113,YES
Sales Enablement,Papua,2364.84,2298.47,0.64,0.42,2017-02-06,18,43,YES
Sales Enablement,Sumatra,2320.69,1780.04,0.36,0.56,2017-02-07,16,55,YES
Sales Enablement,Bali,3263.0,702.84,0.62,0.58,2017-02-08,26,121,YES
Sales Enablement,Sulawesi,1627.65,1163.58,0.34,0.42,2017-02-09,14,74,YES
Sales Enablement,Kalimantan,856.47,1170.09,0.24,0.56,2017-02-10,4,9,NO
Sales Enablement,Jawa,1224.76,1109.85,0.64,0.58,2017-02-11,9,19,YES
Sales Enablement,NTB,947.97,2213.09,0.38,0.6,2017-02-12,8,16,NO
