Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Sales Engineering,Sulawesi,2435.53,979.79,0.54,0.43,2017-01-01,15,28,YES
Sales Engineering,Kalimantan,597.86,975.31,0.72,0.47,2017-01-02,3,10,NO
Sales Engineering,Jawa,205.98,1387.28,0.45,0.52,2017-01-03,2,3,NO
Sales Engineering,NTB,2510.52,1328.93,0.63,0.47,2017-01-04,20,92,YES
Sales Engineering,Papua,1858.19,1003.26,0.34,0.5,2017-01-05,16,31,YES
Sales Engineering,Sumatra,1342.27,895.9,0.31,0.47,2017-01-06,8,30,YES
Sales Engineering,Bali,105.87,734.4,0.25,0.49,2017-01-07,3,14,NO
Sales Engineering,Sulawesi,1929.96,1480.61,0.45,0.5,2017-01-08,14,75,YES
Sales Engineering,Kalimantan,1847.82,741.47,0.27,0.38,2017-01-09,16,40,YES
Sales Engineering,Jawa,1527.12,1128.83,0.29,0.43,2017-01-10,14,30,YES
Sales Engineering,NTB,1481.83,1194.87,0.58,0.43,2017-01-11,8,23,YES
Sales Engineering,Papua,183.87,1420.89,0.45,0.52,2017-01-12,2,5,NO
Sales Engineering,Sumatra,1875.2,1627.63,0.68,0.43,2017-01-13,14,63,YES
Sales Engineering,Bali,2526.24,615.11,0.22,0.47,2017-01-14,23,111,YES
Sales Engineering,Sulawesi,1141.17,718.52,0.52,0.36,2017-01-15,8,32,YES
Sales Engineering,Kalimantan,2515.95,1032.26,0.58,0.5,2017-01-16,15,83,YES
Sales Engineering,Jawa,957.67,1385.11,0.25,0.41,2017-01-17,5,20,NO
Sales Engineering,NTB,2127.3,916.46,0.67,0.38,2017-01-18,15,54,YES
Sales Engineering,Papua,526.92,1682.06,0.43,0.49,2017-01-19,2,7,NO
Sales Engineering,Sumatra,1612.38,1304.54,0.4,0.47,2017-01-20,11,60,YES
Sales Engineering,Bali,732.44,1464.21,0.49,0.38,2017-01-21,5,13,NO
Sales Engineering,Sulawesi,1511.06,1784.92,0.41,0.52,2017-01-22,11,57,NO
Sales Engineering,Kalimantan,2555.68,1823.7,0.58,0.38,2017-01-23,21,66,YES
Sales Engineering,Jawa,1612.96,1313.15,0.58,0.52,2017-01-24,12,46,YES
Sales Engineering,NTB,1331.8,1316.72,0.54,0.4,2017-01-25,9,35,YES
Sales Engineering,Papua,2023.63,674.63,0.61,0.43,2017-01-26,17,33,YES
Sales Engineering,Sumatra,956.59,1951.01,0.18,0.52,2017-01-27,9,24,NO
Sales Engineering,Bali,798.13,1981.94,0.2,0.5,2017-01-28,6,24,NO
Sales Engineering,Sulawesi,2155.71,548.8,0.32,0.54,2017-01-29,15,49,YES
Sales Engineering,Kalimantan,843.61,1554.77,0.45,0.47,2017-01-30,6,31,NO
Sales Engineering,Jawa,1364.73,1223.96,0.41,0.49,2017-01-31,10,28,YES
Sales Engineering,NTB,2269.09,1961.31,0.45,0.45,2017-02-01,15,67,YES
Sales Engineering,Papua,781.73,1130.31,0.43,0.47,2017-02-02,4,9,NO
Sales Engineering,Sumatra,423.6,1673.47,0.59,0.38,2017-02-03,2,6,NO
Sales Engineering,Bali,1510.24,1094.79,0.52,0.5,2017-02-04,11,51,YES
Sales Engineering,Sulawesi,2349.73,998.87,0.49,0.36,2017-02-05,17,32,YES
Sales Engineering,Kalimantan,2325.46,999.62,0.23,0.4,2017-02-06,18,77,YES
Sales Engineering,Jawa,2169.27,592.59,0.72,0.45,2017-02-07,16,52,YES
Sales Engineering,NTB,396.99,1605.99,0.68,0.52,2017-02-08,2,6,NO
Sales Engineering,Papua,468.42,1049.57,0.41,0.41,2017-02-09,3,5,NO
Sales Engineering,Sumatra,1472.6,1138.42,0.4,0.38,2017-02-10,9,38,YES
Sales Engineering,Bali,1647.65,1032.84,0.27,0.52,2017-02-11,14,35,YES
Sales Engineering,Sulawesi,2517.6,1519.86,0.45,0.5,2017-02-12,17,83,YES
Sales Engineering,Kalimantan,1652.53,756.53,0.63,0.41,2017-02-13,11,40,YES
Sales Engineering,Jawa,746.84,853.52,0.72,0.41,2017-02-14,5,25,NO
Sales Engineering,NTB,1801.47,741.27,0.63,0.52,2017-02-15,14,35,YES
Sales Engineering,Papua,1493.84,577.44,0.68,0.5,2017-02-16,11,37,YES
Sales Engineering,Sumatra,697.05,1689.87,0.61,0.41,2017-02-17,4,12,NO
Sales Engineering,Bali,923.86,1888.89,0.68,0.43,2017-02-18,9,27,NO
Sales Engineering,Sulawesi,1065.92,1939.59,0.49,0.47,2017-02-19,8,15,NO
Sales Engineering,Kalimantan,1656.24,1874.33,0.49,0.45,2017-02-20,11,60,NO
Sales Engineering,Jawa,1360.9,1227.96,0.29,0.4,2017-02-21,9,39,YES
Sales Engineering,NTB,2388.4,932.3,0.65,0.43,2017-02-22,15,38,YES
Sales Engineering,Papua,701.57,504.43,0.27,0.54,2017-02-23,6,29,YES
Sales Engineering,Sumatra,340.76,1895.33,0.54,0.49,2017-02-24,3,7,NO
Sales Engineering,Bali,1347.35,1456.36,0.41,0.41,2017-02-25,11,45,NO
Sales Engineering,Sulawesi,1346.3,1978.17,0.47,0.41,2017-02-26,8,26,NO
Sales Engineering,Kalimantan,2226.23,2012.92,0.43,0.5,2017-02-27,16,79,YES
Sales Engineering,Jawa,1371.2,1165.51,0.34,0.49,2017-02-28,8,35,YES
Sales Engineering,NTB,1482.48,880.13,0.52,0.4,2017-03-01,10,31,YES
Sales Engineering,Papua,202.59,1669.59,0.36,0.5,2017-03-02,3,8,NO
Sales Engineering,Sumatra,353.25,1184.49,0.2,0.4,2017-03-03,2,7,NO
Sales Engineering,Bali,1526.14,816.61,0.25,0.45,2017-03-04,14,55,YES
Sales Engineering,Sulawesi,1479.86,1828.18,0.61,0.45,2017-03-05,10,17,NO
Sales Engineering,Kalimantan,1529.6,512.7,0.65,0.4,2017-03-06,12,64,YES
Sales Engineering,Jawa,371.35,1786.28,0.61,0.54,2017-03-07,3,8,NO
Sales Engineering,NTB,2564.16,1611.45,0.47,0.5,2017-03-08,23,109,YES
Sales Engineering,Papua,1317.02,854.32,0.31,0.52,2017-03-09,11,50,YES
Sales Engineering,Sumatra,2617.78,1161.3,0.7,0.41,2017-03-10,22,64,YES
Sales Engineering,Bali,291.11,1218.34,0.58,0.54,2017-03-11,3,11,NO
Sales Engineering,Sulawesi,1342.04,723.47,0.65,0.36,2017-03-12,11,63,YES
Sales Engineering,Kalimantan,2577.64,1426.78,0.27,0.45,2017-03-13,23,124,YES
Sales Engineering,Jawa,166.92,682.7,0.61,0.49,2017-03-14,2,4,NO
Sales Engineering,NTB,2636.73,1452.31,0.59,0.41,2017-03-15,20,69,YES
Sales Engineering,Papua,512.9,1970.84,0.65,0.38,2017-03-16,2,5,NO
Sales Engineering,Sumatra,1571.2,605.32,0.56,0.4,2017-03-17,14,32,YES
Sales Engineering,Bali,1011.46,1193.36,0.27,0.52,2017-03-18,5,23,NO
Sales Engineering,Sulawesi,1065.1,934.39,0.38,0.54,2017-03-19,6,29,YES
Sales Engineering,Kalimantan,1192.15,1883.1,0.38,0.41,2017-03-20,8,31,NO
Sales Engineering,Jawa,2179.7,1895.18,0.29,0.52,2017-03-21,16,53,YES
Sales Engineering,NTB,2704.52,1016.01,0.5,0.54,2017-03-22,21,85,YES
Sales Engineering,Papua,2711.53,988.57,0.2,0.36,2017-03-23,22,121,YES
Sales Engineering,Sumatra,101.03,1567.44,0.65,0.47,2017-03-24,3,7,NO
Sales Engineering,Bali,1640.71,1093.61,0.58,0.4,2017-03-25,14,72,YES
Sales Engineering,Sulawesi,1765.43,1700.02,0.25,0.43,2017-03-26,14,48,YES
Sales Engineering,Kalimantan,1936.54,1542.53,0.56,0.49,2017-03-27,14,46,YES
Sales Engineering,Jawa,792.82,1851.03,0.5,0.47,2017-03-28,4,11,NO
Sales Engineering,NTB,1311.93,843.03,0.56,0.4,2017-03-29,11,62,YES
Sales Engineering,Papua,1236.44,1450.6,0.61,0.4,2017-03-30,9,43,NO
Sales Engineering,Sumatra,1182.54,2006.57,0.34,0.4,2017-03-31,8,42,NO
Sales Engineering,Bali,131.4,724.12,0.18,0.5,2017-04-01,2,6,NO
Sales Engineering,Sulawesi,2484.43,1453.15,0.47,0.47,2017-04-02,20,112,YES
Sales Engineering,Kalimantan,2176.92,1222.55,0.58,0.47,2017-04-03,17,89,YES
Sales Engineering,Jawa,379.63,810.27,0.59,0.47,2017-04-04,2,5,NO
Sales Engineering,NTB,1347.32,1866.99,0.54,0.43,2017-04-05,11,25,NO
Sales Engineering,Papua,796.22,1532.42,0.43,0.43,2017-04-06,5,26,NO
Sales Engineering,Sumatra,234.23,1697.6,0.29,0.47,2017-04-07,3,7,NO
Sales Engineering,Bali,975.24,1342.41,0.27,0.36,2017-04-08,8,42,NO
Sales Engineering,Sulawesi,1260.17,1035.58,0.5,0.45,2017-04-09,11,49,YES
Sales Engineering,Kalimantan,1148.21,1681.32,0.47,0.41,2017-04-10,6,32,NO
Sales Engineering,Jawa,1718.81,1728.69,0.27,0.4,2017-04-11,14,32,NO
Sales Engineering,NTB,193.05,511.06,0.59,0.5,2017-04-12,2,5,NO
