Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Sales Operations,Jawa,6139.41,1857.66,0.14,0.18,2017-01-01,50,213,YES
Sales Operations,NTB,8706.63,4106.69,0.14,0.18,2017-01-02,69,364,YES
Sales Operations,Papua,4260.8,4411.12,0.11,0.18,2017-01-03,32,66,NO
Sales Operations,Sumatra,1641.84,6708.69,0.1,0.18,2017-01-04,11,35,NO
Sales Operations,Bali,1554.7,2388.69,0.15,0.23,2017-01-05,12,37,NO
Sales Operations,Sulawesi,6888.96,3284.87,0.15,0.19,2017-01-06,58,210,YES
Sales Operations,Kalimantan,7318.76,4430.42,0.23,0.18,2017-01-07,62,120,YES
Sales Operations,Jawa,5435.32,2857.92,0.25,0.22,2017-01-08,44,211,YES
Sales Operations,NTB,1041.11,2876.76,0.25,0.18,2017-01-09,6,19,NO
Sales Operations,Papua,197.77,4063.41,0.22,0.18,2017-01-10,2,6,NO
Sales Operations,Sumatra,7231.32,4970.13,0.26,0.18,2017-01-11,58,260,YES
Sales Operations,Bali,6282.69,2528.21,0.19,0.24,2017-01-12,47,144,YES
Sales Operations,Sulawesi,2843.34,5869.3,0.22,0.19,2017-01-13,22,60,NO
Sales Operations,Kalimantan,7099.06,2529.04,0.18,0.17,2017-01-14,58,284,YES
Sales Operations,Jawa,785.69,3153.69,0.23,0.2,2017-01-15,4,19,NO
Sales Operations,NTB,7134.91,2843.25,0.18,0.18,2017-01-16,63,324,YES
Sales Operations,Papua,7778.07,2952.82,0.11,0.18,2017-01-17,59,199,YES
Sales Operations,Sumatra,9202.56,5348.92,0.18,0.21,2017-01-18,72,379,YES
Sales Operations,Bali,4254.94,6634.21,0.14,0.2,2017-01-19,29,95,NO
Sales Operations,Sulawesi,6067.64,5934.8,0.1,0.22,2017-01-20,44,223,YES
Sales Operations,Kalimantan,2501.97,2316.12,0.26,0.2,2017-01-21,17,91,YES
Sales Operations,Jawa,2998.51,4493.55,0.2,0.18,2017-01-22,26,114,NO
Sales Operations,NTB,6961.32,5687.83,0.17,0.19,2017-01-23,53,296,YES
Sales Operations,Papua,1461.28,2802.87,0.16,0.22,2017-01-24,8,38,NO
Sales Operations,Sumatra,8694.33,2635.53,0.29,0.18,2017-01-25,70,292,YES
Sales Operations,Bali,2481.94,5640.57,0.29,0.17,2017-01-26,16,61,NO
Sales Operations,Sulawesi,7321.0,6309.39,0.08,0.18,2017-01-27,64,199,YES
Sales Operations,Kalimantan,9150.13,2336.17,0.32,0.2,2017-01-28,81,181,YES
Sales Operations,Jawa,6462.35,5907.17,0.3,0.17,2017-01-29,52,250,YES
Sales Operations,NTB,4750.72,3572.52,0.3,0.19,2017-01-30,39,218,YES
Sales Operations,Papua,2434.91,3677.47,0.27,0.19,2017-01-31,18,62,NO
Sales Operations,Sumatra,3148.6,3284.57,0.27,0.17,2017-02-01,23,123,NO
Sales Operations,Bali,6561.84,3882.63,0.28,0.2,2017-02-02,50,287,YES
Sales Operations,Sulawesi,8385.44,2210.6,0.2,0.18,2017-02-03,75,204,YES
Sales Operations,Kalimantan,9438.13,2468.55,0.21,0.16,2017-02-04,81,172,YES
Sales Operations,Jawa,6527.87,2070.75,0.25,0.22,2017-02-05,54,92,YES
Sales Operations,NTB,2045.29,4650.77,0.15,0.21,2017-02-06,14,74,NO
Sales Operations,Papua,3492.3,4389.78,0.24,0.18,2017-02-07,29,155,NO
Sales Operations,Sumatra,7328.36,6909.96,0.31,0.17,2017-02-08,62,196,YES
Sales Operations,Bali,3826.92,6882.36,0.31,0.16,2017-02-09,33,72,NO
Sales Operations,Sulawesi,6350.24,4839.52,0.13,0.16,2017-02-10,42,162,YES
Sales Operations,Kalimantan,5658.93,5659.43,0.3,0.23,2017-02-11,45,100,NO
Sales Operations,Jawa,7161.51,5299.0,0.15,0.19,2017-02-12,60,236,YES
Sales Operations,NTB,8016.97,6271.75,0.12,0.17,2017-02-13,66,238,YES
Sales Operations,Papua,2886.57,5501.09,0.22,0.18,2017-02-14,22,103,NO
Sales Operations,Sumatra,4505.07,2245.42,0.12,0.16,2017-02-15,35,179,YES
Sales Operations,Bali,8285.49,2116.11,0.2,0.18,2017-02-16,72,273,YES
Sales Operations,Sulawesi,4679.14,4363.2,0.3,0.18,2017-02-17,34,165,YES
Sales Operations,Kalimantan,6373.32,6530.89,0.18,0.24,2017-02-18,50,172,NO
Sales Operations,Jawa,5213.87,3194.19,0.3,0.22,2017-02-19,40,127,YES
Sales Operations,NTB,1322.73,1754.08,0.22,0.2,2017-02-20,9,39,NO
Sales Operations,Papua,9492.13,4175.38,0.26,0.19,2017-02-21,74,372,YES
Sales Operations,Sumatra,7949.09,1844.37,0.09,0.21,2017-02-22,66,311,YES
Sales Operations,Bali,1936.58,5404.23,0.27,0.21,2017-02-23,15,62,NO
Sales Operations,Sulawesi,7448.08,3558.61,0.18,0.21,2017-02-24,66,287,YES
Sales Operations,Kalimantan,5900.54,5689.84,0.21,0.16,2017-02-25,47,209,YES
Sales Operations,Jawa,3541.0,4632.85,0.3,0.18,2017-02-26,28,65,NO
Sales Operations,NTB,4323.73,6754.12,0.25,0.18,2017-02-27,32,120,NO
Sales Operations,Papua,3254.41,6100.95,0.31,0.17,2017-02-28,23,96,NO
Sales Operations,Sumatra,1943.64,2695.48,0.16,0.22,2017-03-01,16,36,NO
Sales Operations,Bali,7163.68,3880.31,0.1,0.21,2017-03-02,59,201,YES
Sales Operations,Sulawesi,4059.45,6226.83,0.29,0.18,2017-03-03,32,85,NO
Sales Operations,Kalimantan,5193.04,2784.5,0.21,0.18,2017-03-04,40,84,YES
Sales Operations,Jawa,7638.74,6199.65,0.15,0.22,2017-03-05,64,305,YES
Sales Operations,NTB,4386.86,6015.23,0.09,0.24,2017-03-06,36,119,NO
Sales Operations,Papua,5667.6,4194.1,0.18,0.17,2017-03-07,52,138,YES
Sales Operations,Sumatra,4036.29,3458.39,0.22,0.21,2017-03-08,35,129,YES
Sales Operations,Bali,1509.91,6247.41,0.28,0.23,2017-03-09,12,46,NO
Sales Operations,Sulawesi,5929.62,6460.27,0.18,0.22,2017-03-10,45,182,NO
Sales Operations,Kalimantan,1005.96,1770.09,0.32,0.19,2017-03-11,8,16,NO
Sales Operations,Jawa,901.4,5013.03,0.27,0.18,2017-03-12,8,17,NO
Sales Operations,NTB,8824.9,4054.68,0.24,0.24,2017-03-13,65,213,YES
Sales Operations,Papua,1515.3,5712.97,0.14,0.21,2017-03-14,14,64,NO
Sales Operations,Sumatra,4449.95,5243.16,0.29,0.17,2017-03-15,34,174,NO
Sales Operations,Bali,215.45,2949.55,0.11,0.2,2017-03-16,3,6,NO
Sales Operations,Sulawesi,8169.39,4264.08,0.32,0.21,2017-03-17,68,137,YES
