Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Sales Training,Papua,7309.58,2129.34,0.22,0.3,2017-01-01,66,324,YES
Sales Training,Sumatra,3204.12,5460.35,0.36,0.29,2017-01-02,24,67,NO
Sales Training,Bali,2712.44,7057.07,0.3,0.38,2017-01-03,21,49,NO
Sales Training,Sulawesi,6798.11,1915.93,0.45,0.3,2017-01-04,59,238,YES
Sales Training,Kalimantan,3505.52,6726.21,0.51,0.3,2017-01-05,28,144,NO
Sales Training,Jawa,4376.69,5408.77,0.21,0.35,2017-01-06,35,140,NO
Sales Training,NTB,4274.35,2798.88,0.31,0.27,2017-01-07,29,82,YES
Sales Training,Papua,7604.99,7294.1,0.23,0.36,2017-01-08,59,173,YES
Sales Training,Sumatra,4932.23,4345.68,0.21,0.27,2017-01-09,36,166,YES
Sales Training,Bali,9798.52,7485.61,0.39,0.3,2017-01-10,87,163,YES
Sales Training,Sulawesi,3046.36,3548.69,0.36,0.39,2017-01-11,23,131,NO
Sales Training,Kalimantan,2621.69,6998.46,0.18,0.33,2017-01-12,20,55,NO
Sales Training,Jawa,9965.15,6390.56,0.27,0.36,2017-01-13,80,160,YES
Sales Training,NTB,1649.84,2602.04,0.23,0.29,2017-01-14,14,34,NO
Sales Training,Papua,7771.67,6747.21,0.42,0.39,2017-01-15,65,371,YES
Sales Training,Sumatra,8611.4,6399.62,0.16,0.38,2017-01-16,68,214,YES
Sales Training,Bali,8373.47,5532.71,0.26,0.33,2017-01-17,66,288,YES
Sales Training,Sulawesi,4611.56,4179.38,0.39,0.29,2017-01-18,35,116,YES
Sales Training,Kalimantan,353.35,4766.36,0.22,0.27,2017-01-19,3,7,NO
Sales Training,Jawa,3285.5,5256.32,0.3,0.35,2017-01-20,26,43,NO
Sales Training,NTB,5763.69,5308.72,0.17,0.3,2017-01-21,44,146,YES
Sales Training,Papua,3932.93,5026.22,0.26,0.33,2017-01-22,33,152,NO
Sales Training,Sumatra,3217.72,6453.26,0.27,0.35,2017-01-23,26,114,NO
Sales Training,Bali,4659.09,3312.19,0.31,0.29,2017-01-24,34,162,YES
Sales Training,Sulawesi,2055.12,2661.68,0.26,0.29,2017-01-25,15,44,NO
Sales Training,Kalimantan,4320.35,6190.56,0.43,0.39,2017-01-26,30,73,NO
Sales Training,Jawa,4395.74,2710.01,0.27,0.36,2017-01-27,34,105,YES
Sales Training,NTB,6673.97,4627.2,0.2,0.36,2017-01-28,50,258,YES
Sales Training,Papua,938.76,7070.08,0.48,0.34,2017-01-29,6,21,NO
Sales Training,Sumatra,4035.93,2651.73,0.25,0.33,2017-01-30,34,142,YES
Sales Training,Bali,6834.77,3865.74,0.38,0.26,2017-01-31,54,290,YES
Sales Training,Sulawesi,6121.12,3825.94,0.45,0.34,2017-02-01,46,253,YES
Sales Training,Kalimantan,7372.07,5425.63,0.2,0.27,2017-02-02,58,258,YES
Sales Training,Jawa,6757.88,2764.81,0.49,0.3,2017-02-03,56,194,YES
Sales Training,NTB,6191.12,4838.86,0.51,0.39,2017-02-04,50,172,YES
Sales Training,Papua,1227.46,5095.09,0.42,0.29,2017-02-05,11,22,NO
Sales Training,Sumatra,8476.04,2292.25,0.35,0.31,2017-02-06,70,247,YES
Sales Training,Bali,1934.08,3077.84,0.21,0.3,2017-02-07,17,68,NO
Sales Training,Sulawesi,7434.58,7031.87,0.45,0.3,2017-02-08,63,157,YES
Sales Training,Kalimantan,932.31,6621.81,0.25,0.3,2017-02-09,5,22,NO
Sales Training,Jawa,9313.2,5883.55,0.33,0.38,2017-02-10,83,312,YES
Sales Training,NTB,2086.99,3059.16,0.45,0.35,2017-02-11,14,61,NO
Sales Training,Papua,3204.43,2479.1,0.16,0.39,2017-02-12,23,109,YES
Sales Training,Sumatra,8061.35,4610.25,0.38,0.29,2017-02-13,72,357,YES
Sales Training,Bali,6884.11,3388.19,0.36,0.27,2017-02-14,54,290,YES
Sales Training,Sulawesi,3812.2,2033.84,0.4,0.36,2017-02-15,32,84,YES
Sales Training,Kalimantan,7863.02,3117.33,0.26,0.36,2017-02-16,62,310,YES
Sales Training,Jawa,1353.82,3850.16,0.31,0.34,2017-02-17,9,21,NO
Sales Training,NTB,6410.28,5589.17,0.33,0.34,2017-02-18,59,193,YES
