YearMonth,Revenue
2017-01,4434.209032258065
2017-02,4366.771785714286
2017-03,3666.4309677419355
2017-04,3683.81
2017-05,3982.1338709677416
2017-06,4027.2406666666666
2017-07,4743.253548387097
2017-08,4304.576451612903
2017-09,3723.8053333333332
2017-10,4159.125483870967
2017-11,4477.246666666667
2017-12,4156.929032258065
2018-01,9206.194516129033
2018-02,7758.348571428572
2018-03,7876.622258064516
2018-04,7212.592333333333
2018-05,9377.784193548387
2018-06,8903.079
2018-07,7612.61064516129
2018-08,8253.766774193547
2018-09,9817.794
2018-10,7824.58806451613
2018-11,8794.443
2018-12,9015.709677419354
2019-01,4983.565483870968
2019-02,6228.864285714286
2019-03,6582.213225806451
2019-04,4317.755999999999
2019-05,6412.039677419355
2019-06,4631.878333333333
2019-07,5406.794193548387
2019-08,5181.03
2019-09,6109.333666666667
2019-10,4991.279032258064
2019-11,5258.223333333333
2019-12,6026.90870967742
2020-01,7346.200645161291
2020-02,6376.322068965517
2020-03,4728.907096774194
2020-04,0.0
2020-05,0.0
2020-06,1669.4163333333333
2020-07,2923.7329032258067
2020-08,3908.171935483871
2020-09,3942.3326666666667
2020-10,4912.7919354838705
2020-11,6071.732999999999
2020-12,8445.45064516129
2021-01,1726.350322580645
2021-02,1461.5835714285713
2021-03,1717.819677419355
2021-04,2234.603666666667
2021-05,2106.746129032258
2021-06,2142.87
2021-07,2421.007741935484
2021-08,2199.5812903225806
2021-09,2561.9146666666666
2021-10,2446.1270967741934
2021-11,3658.154666666667
2021-12,3210.3270967741937
2022-01,1399.2912903225806
2022-02,1757.3628571428574
2022-03,1462.2674193548387
2022-04,1178.6470000000002
2022-05,1522.7893548387096
2022-06,1407.745
2022-07,1419.251935483871
2022-08,1673.2135483870968
2022-09,1245.2556666666667
2022-10,1505.5848387096773
2022-11,1966.299
2022-12,2301.857741935484
