Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Account Management,Papua,315.3,2069.08,0.2,0.17,2,6,2017-01,NO
Account Management,Sumatra,765.82,1479.18,0.09,0.18,3,11,2017-01,NO
Account Management,Bali,6145.68,1571.49,0.12,0.19,46,103,2017-01,YES
Account Management,Sulawesi,3063.5,3565.32,0.18,0.2,23,119,2017-01,NO
Account Management,Kalimantan,2973.6,3709.12,0.1,0.2,24,85,2017-01,NO
Account Management,Jawa,2235.77,3426.38,0.07,0.16,15,42,2017-01,NO
Account Management,NTB,5073.39,1545.72,0.15,0.17,42,196,2017-01,YES
Account Management,Papua,2312.8,3929.53,0.27,0.17,16,59,2017-01,NO
Account Management,Sumatra,1889.02,1765.11,0.11,0.15,16,45,2017-01,YES
Account Management,Bali,4756.82,4926.11,0.16,0.17,34,180,2017-01,NO
Account Management,Sulawesi,1238.0,3437.67,0.19,0.15,9,28,2017-01,NO
Account Management,Kalimantan,5159.46,4248.56,0.25,0.14,42,158,2017-01,YES
Account Management,Jawa,4652.96,2497.13,0.16,0.18,39,91,2017-01,YES
Account Management,NTB,824.92,3961.93,0.18,0.21,3,5,2017-01,NO
Account Management,Papua,4684.97,4285.73,0.22,0.15,38,112,2017-01,YES
Account Management,Sumatra,4846.31,2353.94,0.21,0.17,39,137,2017-01,YES
Account Management,Bali,3271.22,4889.1,0.19,0.18,24,98,2017-01,NO
Account Management,Sulawesi,4926.41,3342.61,0.2,0.17,36,111,2017-01,YES
Account Management,Kalimantan,6643.89,4558.72,0.2,0.2,59,220,2017-01,YES
Account Management,Jawa,3929.95,2280.89,0.23,0.15,33,151,2017-01,YES
Account Management,NTB,3567.21,1772.81,0.25,0.17,30,77,2017-01,YES
Account Management,Papua,328.18,1472.76,0.2,0.18,3,9,2017-01,NO
Account Management,Sumatra,4891.31,1757.94,0.27,0.17,39,207,2017-01,YES
Account Management,Bali,4631.73,3991.61,0.2,0.15,36,88,2017-01,YES
Account Management,Sulawesi,194.46,3504.24,0.09,0.21,3,7,2017-01,NO
Account Management,Kalimantan,1178.32,2571.71,0.18,0.15,6,24,2017-01,NO
Account Management,Jawa,1650.12,4654.18,0.08,0.17,12,58,2017-01,NO
Account Management,NTB,2643.84,2312.94,0.17,0.17,21,97,2017-01,YES
Account Management,Papua,2971.15,3492.73,0.28,0.15,24,125,2017-01,NO
Account Management,Sumatra,5110.2,3760.6,0.22,0.16,45,109,2017-01,YES
Account Management,Bali,5087.03,3000.7,0.13,0.19,38,153,2017-01,YES
Account Management,Sulawesi,4047.64,5022.5,0.12,0.17,33,139,2017-02,NO
Account Management,Kalimantan,5326.04,4273.89,0.18,0.15,45,186,2017-02,YES
Account Management,Jawa,3338.02,3878.19,0.15,0.15,28,61,2017-02,NO
Account Management,NTB,736.29,1686.61,0.23,0.18,5,24,2017-02,NO
Account Management,Papua,5313.02,1760.4,0.22,0.19,41,182,2017-02,YES
Account Management,Sumatra,174.24,2890.22,0.12,0.16,2,3,2017-02,NO
Account Management,Bali,1107.92,1342.48,0.24,0.21,6,23,2017-02,NO
Account Management,Sulawesi,5710.06,2675.48,0.24,0.2,47,221,2017-02,YES
Account Management,Kalimantan,1795.19,5115.5,0.1,0.2,12,48,2017-02,NO
Account Management,Jawa,767.42,3411.56,0.11,0.2,4,13,2017-02,NO
Account Management,NTB,4391.37,1441.67,0.13,0.15,34,72,2017-02,YES
Account Management,Papua,269.93,4329.82,0.23,0.14,2,7,2017-02,NO
Account Management,Sumatra,2616.02,4189.49,0.13,0.2,23,131,2017-02,NO
Account Management,Bali,2952.69,2184.09,0.22,0.15,23,107,2017-02,YES
Account Management,Sulawesi,4772.03,1958.96,0.15,0.17,36,190,2017-02,YES
Account Management,Kalimantan,3265.57,4626.42,0.16,0.15,23,58,2017-02,NO
Account Management,Jawa,6984.53,4857.06,0.23,0.16,54,266,2017-02,YES
Account Management,NTB,5938.16,4839.85,0.22,0.18,44,186,2017-02,YES
Account Management,Papua,1301.1,5014.01,0.18,0.14,9,36,2017-02,NO
Account Management,Sumatra,1256.03,2154.41,0.24,0.15,8,23,2017-02,NO
Account Management,Bali,4767.28,4592.95,0.24,0.18,36,200,2017-02,YES
Account Management,Sulawesi,4324.15,3487.29,0.08,0.19,33,83,2017-02,YES
Account Management,Kalimantan,1904.63,4620.15,0.16,0.17,16,86,2017-02,NO
Account Management,Jawa,6871.06,2371.06,0.2,0.15,52,201,2017-02,YES
Account Management,NTB,6540.19,2385.68,0.12,0.18,58,316,2017-02,YES
Account Management,Papua,5590.51,2676.67,0.21,0.17,45,105,2017-02,YES
Account Management,Sumatra,3906.42,4424.7,0.16,0.17,34,98,2017-02,NO
Account Management,Bali,5505.39,2263.97,0.23,0.17,40,143,2017-02,YES
Account Management,Sulawesi,2698.8,1298.79,0.2,0.17,21,41,2017-03,YES
Account Management,Kalimantan,1236.59,5177.91,0.16,0.17,9,17,2017-03,NO
Account Management,Jawa,1176.42,3249.33,0.12,0.15,8,31,2017-03,NO
Account Management,NTB,1321.57,2400.25,0.24,0.18,10,25,2017-03,NO
Account Management,Papua,4030.1,4984.16,0.1,0.16,33,64,2017-03,NO
Account Management,Sumatra,2915.25,2480.1,0.24,0.17,23,126,2017-03,YES
Account Management,Bali,4701.5,1438.76,0.25,0.19,38,70,2017-03,YES
Account Management,Sulawesi,4929.35,2623.2,0.22,0.18,38,138,2017-03,YES
Account Management,Kalimantan,4937.86,3606.58,0.09,0.17,34,63,2017-03,YES
Account Management,Jawa,1324.94,4281.75,0.2,0.15,8,13,2017-03,NO
Account Management,NTB,6156.96,4661.77,0.12,0.19,45,108,2017-03,YES
Account Management,Papua,6852.14,4399.49,0.13,0.14,50,263,2017-03,YES
Account Management,Sumatra,2473.83,2334.43,0.09,0.19,15,46,2017-03,YES
Account Management,Bali,1171.34,3785.63,0.27,0.19,5,21,2017-03,NO
Account Management,Sulawesi,5037.55,1803.53,0.1,0.14,38,216,2017-03,YES
Account Management,Kalimantan,1485.32,4393.24,0.22,0.21,11,41,2017-03,NO
Account Management,Jawa,4271.05,1875.2,0.19,0.14,35,114,2017-03,YES
Account Management,NTB,4890.1,2373.55,0.08,0.16,34,134,2017-03,YES
Account Management,Papua,1420.78,3482.94,0.08,0.16,8,31,2017-03,NO
Account Management,Sumatra,4238.91,1630.67,0.11,0.17,29,90,2017-03,YES
Account Management,Bali,4926.61,3972.3,0.09,0.18,38,105,2017-03,YES
Account Management,Sulawesi,823.18,3543.78,0.07,0.15,4,14,2017-03,NO
Account Management,Kalimantan,2960.06,3179.87,0.13,0.2,23,73,2017-03,NO
Account Management,Jawa,4665.14,3599.77,0.26,0.15,34,118,2017-03,YES
Account Management,NTB,2678.93,1870.43,0.1,0.19,20,38,2017-03,YES
Account Management,Papua,4907.68,5041.37,0.25,0.2,35,69,2017-03,NO
Account Management,Sumatra,3477.38,4154.36,0.13,0.19,28,142,2017-03,NO
Account Management,Bali,448.1,2282.21,0.2,0.16,2,4,2017-03,NO
Account Management,Sulawesi,4261.03,4994.34,0.24,0.15,32,93,2017-03,NO
Account Management,Kalimantan,2197.5,1481.56,0.08,0.14,17,58,2017-03,YES
Account Management,Jawa,4114.7,4537.97,0.08,0.14,30,147,2017-03,NO
Account Management,NTB,1697.92,2298.41,0.14,0.17,14,32,2017-04,NO
Account Management,Papua,5122.05,3863.48,0.18,0.16,36,166,2017-04,YES
Account Management,Sumatra,815.36,4062.86,0.24,0.15,4,17,2017-04,NO
Account Management,Bali,3915.69,5021.02,0.26,0.19,30,58,2017-04,NO
Account Management,Sulawesi,6872.37,3920.77,0.12,0.18,52,259,2017-04,YES
Account Management,Kalimantan,5817.77,4513.19,0.15,0.15,47,251,2017-04,YES
Account Management,Jawa,6974.71,2943.81,0.08,0.15,59,142,2017-04,YES
Account Management,NTB,2307.43,4737.74,0.23,0.15,15,70,2017-04,NO
Account Management,Papua,6716.22,5094.98,0.28,0.2,52,299,2017-04,YES
Account Management,Sumatra,6026.47,3289.72,0.2,0.2,52,265,2017-04,YES
Account Management,Bali,2863.44,3374.09,0.11,0.15,20,97,2017-04,NO
Account Management,Sulawesi,2172.36,4858.56,0.22,0.19,15,29,2017-04,NO
Account Management,Kalimantan,5941.43,1948.74,0.1,0.17,47,176,2017-04,YES
Account Management,Jawa,6971.0,3815.61,0.13,0.14,50,264,2017-04,YES
Account Management,NTB,2741.01,3199.38,0.2,0.18,23,106,2017-04,NO
Account Management,Papua,1403.21,4983.7,0.17,0.2,8,18,2017-04,NO
Account Management,Sumatra,4416.77,1612.37,0.16,0.2,35,170,2017-04,YES
Account Management,Bali,6986.98,2538.78,0.15,0.19,57,152,2017-04,YES
Account Management,Sulawesi,5210.14,3534.26,0.21,0.21,36,179,2017-04,YES
Account Management,Kalimantan,1031.11,2097.82,0.1,0.18,9,28,2017-04,NO
Account Management,Jawa,6909.47,2768.13,0.09,0.2,51,121,2017-04,YES
Account Management,NTB,5127.57,4027.68,0.22,0.15,38,192,2017-04,YES
Account Management,Papua,411.32,2830.0,0.22,0.2,3,13,2017-04,NO
Account Management,Sumatra,462.41,1454.98,0.08,0.19,3,6,2017-04,NO
Account Management,Bali,2029.62,2011.65,0.1,0.15,16,74,2017-04,YES
Account Management,Sulawesi,1269.76,1987.03,0.15,0.18,8,42,2017-04,NO
Account Management,Kalimantan,2240.06,4474.68,0.14,0.15,16,85,2017-04,NO
Account Management,Jawa,4767.78,1582.82,0.24,0.2,36,126,2017-04,YES
Account Management,NTB,449.29,2519.09,0.27,0.14,3,8,2017-04,NO
Account Management,Papua,4109.82,1449.94,0.25,0.17,29,51,2017-04,YES
Account Management,Sumatra,6439.65,2625.77,0.23,0.15,54,227,2017-05,YES
Account Management,Bali,6604.07,4628.0,0.28,0.2,58,112,2017-05,YES
Account Management,Sulawesi,3190.84,3741.13,0.2,0.14,24,109,2017-05,NO
Account Management,Kalimantan,6800.69,2651.17,0.19,0.16,58,230,2017-05,YES
Account Management,Jawa,998.05,1961.4,0.14,0.17,6,11,2017-05,NO
Account Management,NTB,1710.04,2321.71,0.13,0.15,11,61,2017-05,NO
