Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Channel Sales,Bali,3414.28,1302.34,0.26,0.42,30,66,2017-01,YES
Channel Sales,Sulawesi,104.98,2049.09,0.6,0.5,2,6,2017-01,NO
Channel Sales,Kalimantan,403.98,1485.96,0.46,0.5,3,9,2017-01,NO
Channel Sales,Jawa,318.64,1538.91,0.8,0.6,2,7,2017-01,NO
Channel Sales,NTB,2871.98,2327.75,0.68,0.46,20,88,2017-01,YES
Channel Sales,Papua,2850.25,977.88,0.26,0.5,22,67,2017-01,YES
Channel Sales,Sumatra,1395.84,659.46,0.42,0.56,8,30,2017-01,YES
Channel Sales,Bali,488.4,2560.59,0.66,0.46,3,14,2017-01,NO
Channel Sales,Sulawesi,1055.07,843.42,0.32,0.44,6,24,2017-01,YES
Channel Sales,Kalimantan,1074.72,889.75,0.62,0.54,6,14,2017-01,YES
Channel Sales,Jawa,1021.56,2270.71,0.78,0.44,8,37,2017-01,NO
Channel Sales,NTB,3118.13,1510.52,0.62,0.58,23,57,2017-01,YES
Channel Sales,Papua,1922.36,2423.82,0.7,0.46,14,45,2017-01,NO
Channel Sales,Sumatra,2154.34,689.52,0.68,0.44,16,65,2017-01,YES
Channel Sales,Bali,1374.55,944.73,0.76,0.42,8,15,2017-01,YES
Channel Sales,Sulawesi,2399.23,736.29,0.44,0.52,16,59,2017-01,YES
Channel Sales,Kalimantan,261.36,1634.26,0.38,0.5,3,10,2017-01,NO
Channel Sales,Jawa,334.81,2289.57,0.26,0.56,2,4,2017-01,NO
Channel Sales,NTB,342.03,1145.52,0.7,0.5,2,7,2017-01,NO
Channel Sales,Papua,3195.32,1399.64,0.78,0.5,23,127,2017-01,YES
Channel Sales,Sumatra,1961.97,2380.75,0.72,0.54,14,77,2017-01,NO
Channel Sales,Bali,1754.73,2212.32,0.62,0.46,11,54,2017-01,NO
Channel Sales,Sulawesi,544.32,1295.42,0.48,0.5,3,8,2017-01,NO
Channel Sales,Kalimantan,1174.19,1326.07,0.76,0.56,9,20,2017-01,NO
Channel Sales,Jawa,458.97,963.89,0.48,0.46,2,5,2017-01,NO
Channel Sales,NTB,266.83,1546.86,0.68,0.54,3,5,2017-01,NO
Channel Sales,Papua,566.09,1931.46,0.34,0.46,5,21,2017-01,NO
Channel Sales,Sumatra,839.09,931.68,0.36,0.58,5,25,2017-01,NO
Channel Sales,Bali,261.16,666.37,0.3,0.5,3,6,2017-01,NO
Channel Sales,Sulawesi,2005.95,1441.24,0.22,0.48,14,50,2017-01,YES
Channel Sales,Kalimantan,2825.93,791.8,0.8,0.5,23,55,2017-01,YES
Channel Sales,Jawa,2530.81,1048.05,0.66,0.56,23,94,2017-02,YES
Channel Sales,NTB,3528.23,847.09,0.7,0.56,27,98,2017-02,YES
Channel Sales,Papua,2045.85,1591.49,0.4,0.54,15,60,2017-02,YES
Channel Sales,Sumatra,2190.89,2162.32,0.62,0.56,18,60,2017-02,YES
Channel Sales,Bali,1005.26,2371.19,0.66,0.4,9,44,2017-02,NO
Channel Sales,Sulawesi,1918.73,1110.99,0.5,0.42,14,63,2017-02,YES
Channel Sales,Kalimantan,141.08,773.34,0.74,0.48,2,6,2017-02,NO
Channel Sales,Jawa,2036.98,1742.69,0.32,0.6,16,52,2017-02,YES
Channel Sales,NTB,962.9,858.02,0.2,0.48,8,32,2017-02,YES
