Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Customer Success,Kalimantan,6593.46,4112.01,0.36,0.26,59,240,2017-01,YES
Customer Success,Jawa,4036.56,2211.78,0.37,0.29,32,106,2017-01,YES
Customer Success,NTB,1623.07,3378.01,0.23,0.23,11,55,2017-01,NO
Customer Success,Papua,6627.2,4479.29,0.28,0.3,51,100,2017-01,YES
Customer Success,Sumatra,6328.61,2423.22,0.11,0.22,47,168,2017-01,YES
Customer Success,Bali,2047.9,3492.59,0.35,0.21,15,63,2017-01,NO
Customer Success,Sulawesi,3533.05,1565.38,0.2,0.27,28,95,2017-01,YES
Customer Success,Kalimantan,5086.31,5020.01,0.31,0.24,36,121,2017-01,YES
Customer Success,Jawa,6897.15,3560.6,0.36,0.26,58,256,2017-01,YES
Customer Success,NTB,854.16,5595.45,0.35,0.26,3,7,2017-01,NO
Customer Success,Papua,3370.59,5475.96,0.25,0.28,27,88,2017-01,NO
Customer Success,Sumatra,1465.79,1781.15,0.36,0.26,10,45,2017-01,NO
Customer Success,Bali,7659.5,5155.8,0.32,0.3,66,213,2017-01,YES
Customer Success,Sulawesi,1291.38,5330.29,0.1,0.29,11,43,2017-01,NO
Customer Success,Kalimantan,2707.33,1968.03,0.21,0.27,22,85,2017-01,YES
Customer Success,Jawa,1510.2,3082.49,0.31,0.25,12,25,2017-01,NO
Customer Success,NTB,4454.37,4860.65,0.37,0.24,36,159,2017-01,NO
Customer Success,Papua,6608.53,4771.14,0.34,0.22,52,128,2017-01,YES
Customer Success,Sumatra,3698.51,1918.9,0.37,0.26,29,84,2017-01,YES
Customer Success,Bali,4385.61,2827.63,0.12,0.27,39,220,2017-01,YES
Customer Success,Sulawesi,348.38,3833.37,0.21,0.28,2,7,2017-01,NO
Customer Success,Kalimantan,5853.14,5158.56,0.39,0.21,45,214,2017-01,YES
Customer Success,Jawa,2759.64,5018.21,0.26,0.27,23,39,2017-01,NO
Customer Success,NTB,2402.55,2682.56,0.31,0.23,17,46,2017-01,NO
Customer Success,Papua,6574.68,3666.01,0.13,0.27,51,94,2017-01,YES
Customer Success,Sumatra,7411.32,1738.17,0.38,0.2,57,327,2017-01,YES
Customer Success,Bali,7465.78,4340.2,0.34,0.23,58,260,2017-01,YES
Customer Success,Sulawesi,5469.36,2551.65,0.35,0.3,40,145,2017-01,YES
Customer Success,Kalimantan,6894.48,5274.23,0.24,0.2,58,300,2017-01,YES
Customer Success,Jawa,7182.89,5665.71,0.27,0.22,62,134,2017-01,YES
Customer Success,NTB,4318.98,4196.94,0.13,0.28,34,148,2017-01,YES
Customer Success,Papua,4247.51,4200.96,0.28,0.26,35,99,2017-02,YES
Customer Success,Sumatra,1986.49,4942.24,0.28,0.24,15,49,2017-02,NO
Customer Success,Bali,7593.65,2314.01,0.31,0.21,64,338,2017-02,YES
Customer Success,Sulawesi,7567.53,3577.91,0.13,0.25,59,246,2017-02,YES
Customer Success,Kalimantan,4028.96,3888.95,0.21,0.23,33,104,2017-02,YES
Customer Success,Jawa,7722.14,1806.78,0.13,0.21,65,266,2017-02,YES
Customer Success,NTB,6533.42,3146.4,0.11,0.27,54,94,2017-02,YES
Customer Success,Papua,149.31,5405.31,0.16,0.21,3,10,2017-02,NO
Customer Success,Sumatra,6862.85,4252.19,0.31,0.22,58,229,2017-02,YES
Customer Success,Bali,3836.23,5248.74,0.24,0.21,29,95,2017-02,NO
Customer Success,Sulawesi,6565.61,2603.89,0.23,0.26,52,293,2017-02,YES
Customer Success,Kalimantan,6701.37,3056.67,0.29,0.26,57,312,2017-02,YES
Customer Success,Jawa,7193.88,3416.7,0.19,0.27,62,339,2017-02,YES
Customer Success,NTB,5549.82,4162.94,0.19,0.27,41,98,2017-02,YES
Customer Success,Papua,6382.41,4370.66,0.15,0.24,54,106,2017-02,YES
Customer Success,Sumatra,3823.08,4278.96,0.31,0.21,35,88,2017-02,NO
Customer Success,Bali,7595.94,3616.82,0.31,0.23,59,130,2017-02,YES
Customer Success,Sulawesi,1339.2,2833.76,0.12,0.29,9,35,2017-02,NO
Customer Success,Kalimantan,4614.91,2423.43,0.18,0.24,35,93,2017-02,YES
Customer Success,Jawa,3648.23,4102.6,0.19,0.26,27,103,2017-02,NO
Customer Success,NTB,505.09,5676.15,0.2,0.27,3,5,2017-02,NO
Customer Success,Papua,988.24,2314.15,0.36,0.25,6,30,2017-02,NO
Customer Success,Sumatra,3258.76,2902.05,0.27,0.27,24,111,2017-02,YES
Customer Success,Bali,3726.56,3975.09,0.11,0.21,30,68,2017-02,NO
Customer Success,Sulawesi,3809.17,4088.52,0.21,0.25,30,84,2017-02,NO
Customer Success,Kalimantan,3603.53,5167.32,0.21,0.26,27,140,2017-02,NO
Customer Success,Jawa,1413.59,4624.34,0.22,0.24,11,20,2017-02,NO
Customer Success,NTB,1022.13,4174.17,0.2,0.22,8,30,2017-02,NO
Customer Success,Papua,6936.28,2312.99,0.25,0.21,50,202,2017-03,YES
Customer Success,Sumatra,7868.76,2743.95,0.19,0.22,66,362,2017-03,YES
Customer Success,Bali,5215.88,2287.15,0.28,0.27,39,143,2017-03,YES
Customer Success,Sulawesi,3705.31,5441.83,0.11,0.22,28,82,2017-03,NO
Customer Success,Kalimantan,5489.05,2992.0,0.31,0.25,42,230,2017-03,YES
Customer Success,Jawa,2088.63,4428.22,0.37,0.28,14,29,2017-03,NO
Customer Success,NTB,3466.87,3818.03,0.19,0.21,29,55,2017-03,NO
Customer Success,Papua,4311.04,2339.7,0.31,0.28,28,63,2017-03,YES
Customer Success,Sumatra,2620.54,2051.52,0.31,0.23,21,66,2017-03,YES
Customer Success,Bali,1980.33,4302.49,0.12,0.29,17,80,2017-03,NO
Customer Success,Sulawesi,7843.94,1805.75,0.29,0.24,59,317,2017-03,YES
Customer Success,Kalimantan,1011.41,2194.33,0.28,0.22,9,44,2017-03,NO
Customer Success,Jawa,858.93,5494.35,0.3,0.28,5,23,2017-03,NO
Customer Success,NTB,3259.18,4171.42,0.39,0.21,24,89,2017-03,NO
Customer Success,Papua,6311.16,4741.46,0.28,0.23,46,261,2017-03,YES
Customer Success,Sumatra,2678.76,2298.6,0.3,0.23,23,117,2017-03,YES
