Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
E-commerce Sales,Jawa,2064.69,6425.76,0.17,0.26,17,30,2017-01,NO
E-commerce Sales,NTB,9759.96,7743.15,0.14,0.28,80,240,2017-01,YES
E-commerce Sales,Papua,4327.24,7975.15,0.2,0.31,35,63,2017-01,NO
E-commerce Sales,Sumatra,5519.95,7491.47,0.39,0.23,36,86,2017-01,NO
E-commerce Sales,Bali,8132.83,3913.11,0.31,0.28,68,255,2017-01,YES
E-commerce Sales,Sulawesi,2914.47,7146.73,0.26,0.31,26,138,2017-01,NO
E-commerce Sales,Kalimantan,8488.66,4308.96,0.36,0.31,72,269,2017-01,YES
E-commerce Sales,Jawa,4327.43,2189.58,0.4,0.24,30,63,2017-01,YES
E-commerce Sales,NTB,8523.63,5683.0,0.37,0.24,65,130,2017-01,YES
E-commerce Sales,Papua,7496.94,7203.57,0.22,0.3,63,336,2017-01,YES
E-commerce Sales,Sumatra,8644.49,2279.98,0.35,0.3,74,226,2017-01,YES
E-commerce Sales,Bali,2924.27,7128.39,0.18,0.26,23,105,2017-01,NO
E-commerce Sales,Sulawesi,6313.31,7551.48,0.19,0.23,42,170,2017-01,NO
E-commerce Sales,Kalimantan,8671.41,5120.05,0.14,0.28,72,269,2017-01,YES
E-commerce Sales,Jawa,9402.31,7910.06,0.39,0.29,83,168,2017-01,YES
E-commerce Sales,NTB,6930.76,7048.09,0.42,0.23,56,231,2017-01,NO
E-commerce Sales,Papua,1929.77,4271.01,0.2,0.26,14,31,2017-01,NO
E-commerce Sales,Sumatra,5227.63,3720.17,0.23,0.28,39,171,2017-01,YES
E-commerce Sales,Bali,4452.24,4859.38,0.32,0.33,34,154,2017-01,NO
E-commerce Sales,Sulawesi,7597.94,7778.48,0.15,0.29,62,125,2017-01,NO
E-commerce Sales,Kalimantan,8695.86,5885.47,0.17,0.33,71,290,2017-01,YES
E-commerce Sales,Jawa,8509.25,5029.52,0.28,0.28,64,186,2017-01,YES
E-commerce Sales,NTB,6554.07,3047.27,0.32,0.29,59,208,2017-01,YES
E-commerce Sales,Papua,8011.04,2624.08,0.36,0.22,72,161,2017-01,YES
E-commerce Sales,Sumatra,4615.13,5055.24,0.41,0.3,36,205,2017-01,NO
E-commerce Sales,Bali,2144.53,5265.35,0.29,0.3,17,78,2017-01,NO
E-commerce Sales,Sulawesi,7241.89,7593.62,0.39,0.23,64,234,2017-01,NO
E-commerce Sales,Kalimantan,4691.07,7111.7,0.19,0.3,39,155,2017-01,NO
E-commerce Sales,Jawa,4438.12,7438.19,0.22,0.31,34,141,2017-01,NO
E-commerce Sales,NTB,10530.88,4025.25,0.32,0.31,114,343,2017-01,YES
E-commerce Sales,Papua,5054.52,4381.57,0.36,0.29,38,184,2017-01,YES
E-commerce Sales,Sumatra,1702.47,4336.68,0.18,0.29,12,66,2017-02,NO
E-commerce Sales,Bali,7596.73,2591.93,0.43,0.31,60,199,2017-02,YES
E-commerce Sales,Sulawesi,5392.31,2818.57,0.19,0.3,39,92,2017-02,YES
E-commerce Sales,Kalimantan,635.18,2381.72,0.37,0.28,4,9,2017-02,NO
E-commerce Sales,Jawa,4767.02,3962.26,0.24,0.3,35,180,2017-02,YES
E-commerce Sales,NTB,6566.96,2955.92,0.17,0.28,51,258,2017-02,YES
E-commerce Sales,Papua,5925.83,5830.79,0.37,0.31,52,207,2017-02,YES
E-commerce Sales,Sumatra,1687.08,2968.57,0.42,0.31,11,48,2017-02,NO
E-commerce Sales,Bali,10461.41,3013.91,0.41,0.24,95,237,2017-02,YES
