Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Enterprise Sales,Sumatra,7054.69,3784.32,0.19,0.19,51,87,2017-01,YES
Enterprise Sales,Bali,613.99,4253.23,0.23,0.15,4,8,2017-01,NO
Enterprise Sales,Sulawesi,3313.94,2940.65,0.27,0.21,23,50,2017-01,YES
Enterprise Sales,Kalimantan,3093.96,2371.74,0.07,0.2,23,79,2017-01,YES
Enterprise Sales,Jawa,2825.35,3537.76,0.13,0.19,20,106,2017-01,NO
Enterprise Sales,NTB,4801.58,5136.93,0.2,0.21,35,141,2017-01,NO
Enterprise Sales,Papua,1895.1,1614.46,0.08,0.17,15,37,2017-01,YES
Enterprise Sales,Sumatra,1614.1,4397.98,0.14,0.2,12,59,2017-01,NO
Enterprise Sales,Bali,3786.77,3047.6,0.16,0.2,28,132,2017-01,YES
Enterprise Sales,Sulawesi,2146.67,4970.91,0.24,0.18,15,58,2017-01,NO
Enterprise Sales,Kalimantan,5808.17,2797.08,0.21,0.2,44,147,2017-01,YES
Enterprise Sales,Jawa,3511.28,2218.26,0.19,0.18,27,122,2017-01,YES
Enterprise Sales,NTB,5895.27,4831.69,0.13,0.17,48,134,2017-01,YES
Enterprise Sales,Papua,6746.0,1464.61,0.23,0.2,50,182,2017-01,YES
Enterprise Sales,Sumatra,4627.47,1398.07,0.27,0.2,35,171,2017-01,YES
Enterprise Sales,Bali,6039.65,2242.02,0.2,0.17,44,79,2017-01,YES
Enterprise Sales,Sulawesi,2497.62,3620.58,0.24,0.18,20,37,2017-01,NO
Enterprise Sales,Kalimantan,6891.94,4472.06,0.24,0.15,59,328,2017-01,YES
Enterprise Sales,Jawa,1904.75,1359.16,0.24,0.16,16,60,2017-01,YES
Enterprise Sales,NTB,5597.52,1431.3,0.08,0.2,45,196,2017-01,YES
Enterprise Sales,Papua,3157.24,4836.86,0.08,0.15,23,125,2017-01,NO
Enterprise Sales,Sumatra,2288.89,1386.12,0.27,0.17,17,87,2017-01,YES
Enterprise Sales,Bali,6016.42,1870.56,0.21,0.14,46,104,2017-01,YES
Enterprise Sales,Sulawesi,3981.18,4908.34,0.15,0.2,29,112,2017-01,NO
Enterprise Sales,Kalimantan,2305.94,1752.52,0.26,0.16,16,40,2017-01,YES
Enterprise Sales,Jawa,1688.08,1309.51,0.08,0.16,12,49,2017-01,YES
Enterprise Sales,NTB,5200.53,2036.59,0.13,0.19,40,123,2017-01,YES
Enterprise Sales,Papua,193.56,3262.29,0.15,0.18,2,4,2017-01,NO
Enterprise Sales,Sumatra,1109.03,5139.2,0.22,0.17,8,31,2017-01,NO
Enterprise Sales,Bali,2435.88,2597.46,0.24,0.2,15,56,2017-01,NO
Enterprise Sales,Sulawesi,3632.07,2637.23,0.08,0.15,30,82,2017-01,YES
Enterprise Sales,Kalimantan,4982.53,3804.77,0.28,0.18,40,213,2017-02,YES
Enterprise Sales,Jawa,6559.52,5154.78,0.25,0.15,53,224,2017-02,YES
Enterprise Sales,NTB,194.6,4000.48,0.24,0.21,2,4,2017-02,NO
Enterprise Sales,Papua,4528.58,3244.09,0.15,0.19,34,57,2017-02,YES
Enterprise Sales,Sumatra,2027.97,1598.82,0.15,0.17,14,62,2017-02,YES
Enterprise Sales,Bali,2974.54,3379.67,0.27,0.15,23,77,2017-02,NO
Enterprise Sales,Sulawesi,7053.84,4336.1,0.15,0.17,50,185,2017-02,YES
Enterprise Sales,Kalimantan,6852.7,3820.02,0.1,0.21,59,237,2017-02,YES
Enterprise Sales,Jawa,838.24,2095.19,0.11,0.19,3,9,2017-02,NO
Enterprise Sales,NTB,1934.4,4837.2,0.26,0.15,14,64,2017-02,NO
Enterprise Sales,Papua,6554.35,4035.61,0.13,0.2,52,184,2017-02,YES
Enterprise Sales,Sumatra,7110.29,2304.65,0.16,0.17,54,152,2017-02,YES
Enterprise Sales,Bali,2740.72,1350.73,0.14,0.2,20,70,2017-02,YES
Enterprise Sales,Sulawesi,6659.97,2581.39,0.07,0.19,53,243,2017-02,YES
Enterprise Sales,Kalimantan,3790.48,4019.86,0.09,0.19,29,125,2017-02,NO
Enterprise Sales,Jawa,5145.97,1715.0,0.15,0.2,45,87,2017-02,YES
Enterprise Sales,NTB,6003.92,3981.02,0.13,0.2,51,164,2017-02,YES
Enterprise Sales,Papua,3842.24,5170.9,0.24,0.21,33,165,2017-02,NO
Enterprise Sales,Sumatra,3446.76,3370.12,0.1,0.17,27,84,2017-02,YES
Enterprise Sales,Bali,6139.22,1840.33,0.18,0.16,52,241,2017-02,YES
Enterprise Sales,Sulawesi,1102.16,1939.88,0.08,0.18,6,21,2017-02,NO
Enterprise Sales,Kalimantan,1735.65,4415.34,0.24,0.17,14,69,2017-02,NO
Enterprise Sales,Jawa,4610.61,3002.73,0.11,0.19,38,136,2017-02,YES
Enterprise Sales,NTB,6757.92,3951.92,0.26,0.17,59,136,2017-02,YES
Enterprise Sales,Papua,7096.94,4598.42,0.18,0.19,57,277,2017-02,YES
Enterprise Sales,Sumatra,4712.39,4738.71,0.13,0.15,39,208,2017-02,NO
Enterprise Sales,Bali,476.94,3375.96,0.11,0.15,2,4,2017-02,NO
Enterprise Sales,Sulawesi,1010.19,2200.64,0.27,0.2,5,22,2017-02,NO
Enterprise Sales,Kalimantan,5087.51,4498.33,0.13,0.14,38,109,2017-03,YES
Enterprise Sales,Jawa,5193.5,4378.81,0.1,0.2,38,153,2017-03,YES
Enterprise Sales,NTB,1527.08,2749.41,0.23,0.2,14,57,2017-03,NO
Enterprise Sales,Papua,4727.07,1637.35,0.15,0.21,34,187,2017-03,YES
Enterprise Sales,Sumatra,3558.41,2559.2,0.17,0.15,29,82,2017-03,YES
Enterprise Sales,Bali,3066.0,2499.39,0.23,0.17,24,52,2017-03,YES
Enterprise Sales,Sulawesi,1037.39,3483.52,0.18,0.18,6,30,2017-03,NO
Enterprise Sales,Kalimantan,6783.16,2136.36,0.13,0.15,56,237,2017-03,YES
Enterprise Sales,Jawa,4824.62,3370.18,0.27,0.2,34,103,2017-03,YES
Enterprise Sales,NTB,130.9,1866.47,0.1,0.17,3,13,2017-03,NO
Enterprise Sales,Papua,5062.65,1735.98,0.17,0.19,44,132,2017-03,YES
Enterprise Sales,Sumatra,2544.58,3793.1,0.23,0.15,21,80,2017-03,NO
Enterprise Sales,Bali,5517.53,2553.39,0.1,0.15,44,129,2017-03,YES
Enterprise Sales,Sulawesi,4279.28,3198.14,0.08,0.17,29,152,2017-03,YES
Enterprise Sales,Kalimantan,5780.19,4299.72,0.22,0.15,51,283,2017-03,YES
Enterprise Sales,Jawa,4973.98,1527.93,0.1,0.2,35,119,2017-03,YES
Enterprise Sales,NTB,696.18,4720.74,0.22,0.15,5,25,2017-03,NO
Enterprise Sales,Papua,5006.52,4569.34,0.16,0.16,39,108,2017-03,YES
Enterprise Sales,Sumatra,4829.43,1635.72,0.17,0.15,39,204,2017-03,YES
Enterprise Sales,Bali,4988.2,1760.95,0.17,0.18,39,163,2017-03,YES
Enterprise Sales,Sulawesi,5551.21,4240.51,0.08,0.15,45,146,2017-03,YES
Enterprise Sales,Kalimantan,3570.35,1704.92,0.16,0.19,29,100,2017-03,YES
Enterprise Sales,Jawa,4853.69,3862.4,0.22,0.18,39,156,2017-03,YES
Enterprise Sales,NTB,5697.89,3829.18,0.13,0.2,52,274,2017-03,YES
Enterprise Sales,Papua,5269.78,4923.26,0.18,0.2,41,166,2017-03,YES
Enterprise Sales,Sumatra,5869.97,4501.27,0.22,0.17,47,235,2017-03,YES
Enterprise Sales,Bali,2988.62,1863.43,0.13,0.16,23,120,2017-03,YES
Enterprise Sales,Sulawesi,2624.67,4052.71,0.17,0.17,23,53,2017-03,NO
Enterprise Sales,Kalimantan,3556.17,4738.49,0.17,0.18,28,55,2017-03,NO
Enterprise Sales,Jawa,4960.54,2831.75,0.13,0.15,36,85,2017-03,YES
Enterprise Sales,NTB,5270.52,4390.75,0.24,0.2,41,109,2017-03,YES
Enterprise Sales,Papua,4783.49,1885.46,0.23,0.17,39,101,2017-04,YES
Enterprise Sales,Sumatra,4517.52,2674.2,0.08,0.19,34,108,2017-04,YES
Enterprise Sales,Bali,6387.94,4752.65,0.11,0.2,59,109,2017-04,YES
Enterprise Sales,Sulawesi,2979.88,1953.81,0.2,0.16,26,140,2017-04,YES
Enterprise Sales,Kalimantan,1958.7,4222.47,0.17,0.15,14,42,2017-04,NO
Enterprise Sales,Jawa,4979.39,3368.07,0.13,0.18,34,134,2017-04,YES
Enterprise Sales,NTB,2816.42,4387.59,0.25,0.18,23,56,2017-04,NO
Enterprise Sales,Papua,339.67,1743.85,0.13,0.15,3,10,2017-04,NO
Enterprise Sales,Sumatra,1665.94,2085.26,0.25,0.17,14,48,2017-04,NO
Enterprise Sales,Bali,3278.68,3467.25,0.15,0.18,24,45,2017-04,NO
Enterprise Sales,Sulawesi,3809.76,4835.26,0.25,0.17,32,123,2017-04,NO
Enterprise Sales,Kalimantan,1645.96,1429.92,0.21,0.15,14,68,2017-04,YES
Enterprise Sales,Jawa,4223.92,2782.66,0.2,0.15,34,75,2017-04,YES
Enterprise Sales,NTB,5450.66,4482.62,0.24,0.14,39,157,2017-04,YES
Enterprise Sales,Papua,6901.83,3856.19,0.15,0.16,59,210,2017-04,YES
Enterprise Sales,Sumatra,830.68,3072.5,0.22,0.19,6,12,2017-04,NO
Enterprise Sales,Bali,6650.57,4275.52,0.2,0.18,50,240,2017-04,YES
Enterprise Sales,Sulawesi,3964.32,2607.85,0.21,0.21,30,108,2017-04,YES
Enterprise Sales,Kalimantan,4640.75,2982.05,0.19,0.15,39,147,2017-04,YES
Enterprise Sales,Jawa,623.39,4144.64,0.28,0.19,5,23,2017-04,NO
Enterprise Sales,NTB,2265.42,4631.59,0.27,0.17,20,103,2017-04,NO
Enterprise Sales,Papua,6359.54,2019.77,0.15,0.15,54,214,2017-04,YES
Enterprise Sales,Sumatra,3645.13,2000.45,0.28,0.18,28,137,2017-04,YES
Enterprise Sales,Bali,6475.85,5087.29,0.26,0.17,51,180,2017-04,YES
Enterprise Sales,Sulawesi,5591.94,1709.86,0.22,0.17,42,129,2017-04,YES
Enterprise Sales,Kalimantan,6513.31,1389.31,0.16,0.15,50,146,2017-04,YES
Enterprise Sales,Jawa,1775.58,1307.15,0.28,0.14,12,36,2017-04,YES
Enterprise Sales,NTB,5844.21,3117.28,0.13,0.18,46,195,2017-04,YES
Enterprise Sales,Papua,4401.33,1587.59,0.1,0.18,35,191,2017-04,YES
Enterprise Sales,Sumatra,1219.54,3123.23,0.2,0.16,11,28,2017-04,NO
Enterprise Sales,Bali,6930.26,3538.74,0.07,0.2,52,226,2017-05,YES
Enterprise Sales,Sulawesi,6842.19,5156.12,0.12,0.21,59,256,2017-05,YES
Enterprise Sales,Kalimantan,1387.96,1335.43,0.1,0.18,8,42,2017-05,YES
Enterprise Sales,Jawa,5584.95,1771.52,0.14,0.14,45,215,2017-05,YES
Enterprise Sales,NTB,6666.88,4670.84,0.13,0.2,54,197,2017-05,YES
Enterprise Sales,Papua,1988.24,4899.89,0.09,0.17,17,43,2017-05,NO
Enterprise Sales,Sumatra,2261.33,4158.29,0.17,0.19,18,85,2017-05,NO
Enterprise Sales,Bali,1889.24,2657.65,0.13,0.2,17,89,2017-05,NO
Enterprise Sales,Sulawesi,3499.11,2584.12,0.08,0.19,27,125,2017-05,YES
Enterprise Sales,Kalimantan,3651.24,2652.26,0.22,0.17,30,78,2017-05,YES
Enterprise Sales,Jawa,2645.96,2882.4,0.18,0.15,20,63,2017-05,NO
Enterprise Sales,NTB,4680.92,2973.74,0.13,0.2,38,212,2017-05,YES
Enterprise Sales,Papua,1604.65,2743.85,0.24,0.15,14,64,2017-05,NO
Enterprise Sales,Sumatra,1380.82,3095.06,0.16,0.17,8,33,2017-05,NO
Enterprise Sales,Bali,7112.75,1600.99,0.08,0.2,56,129,2017-05,YES
Enterprise Sales,Sulawesi,6410.15,4788.79,0.2,0.18,50,194,2017-05,YES
Enterprise Sales,Kalimantan,3775.03,4527.07,0.13,0.15,27,145,2017-05,NO
Enterprise Sales,Jawa,6913.58,2561.14,0.21,0.15,54,119,2017-05,YES
Enterprise Sales,NTB,5616.72,3843.72,0.1,0.19,38,197,2017-05,YES
Enterprise Sales,Papua,4692.61,2547.3,0.22,0.17,38,182,2017-05,YES
Enterprise Sales,Sumatra,671.8,1888.62,0.22,0.16,4,14,2017-05,NO
Enterprise Sales,Bali,4376.04,1426.35,0.13,0.17,34,117,2017-05,YES
Enterprise Sales,Sulawesi,5649.49,2141.74,0.15,0.15,42,134,2017-05,YES
Enterprise Sales,Kalimantan,2924.29,4538.97,0.13,0.17,24,54,2017-05,NO
Enterprise Sales,Jawa,4402.58,4218.55,0.26,0.18,38,181,2017-05,YES
Enterprise Sales,NTB,4299.11,2684.97,0.08,0.19,35,144,2017-05,YES
Enterprise Sales,Papua,2852.25,4911.35,0.07,0.16,21,119,2017-05,NO
Enterprise Sales,Sumatra,6947.78,2891.22,0.2,0.18,51,180,2017-05,YES
Enterprise Sales,Bali,5403.44,1730.62,0.1,0.17,41,220,2017-05,YES
Enterprise Sales,Sulawesi,6048.48,4340.64,0.18,0.15,44,207,2017-05,YES
Enterprise Sales,Kalimantan,6747.96,3191.72,0.14,0.21,58,290,2017-05,YES
Enterprise Sales,Jawa,6925.98,1474.85,0.21,0.19,58,193,2017-06,YES
Enterprise Sales,NTB,4398.84,5156.6,0.23,0.2,35,151,2017-06,NO
Enterprise Sales,Papua,3552.58,3647.66,0.22,0.16,27,96,2017-06,NO
Enterprise Sales,Sumatra,7011.6,4624.68,0.18,0.15,51,285,2017-06,YES
Enterprise Sales,Bali,3762.27,1541.39,0.15,0.18,27,66,2017-06,YES
Enterprise Sales,Sulawesi,5968.57,1570.22,0.27,0.16,44,183,2017-06,YES
Enterprise Sales,Kalimantan,4261.06,4381.52,0.27,0.18,34,134,2017-06,NO
Enterprise Sales,Jawa,4052.1,4238.32,0.18,0.17,30,67,2017-06,NO
Enterprise Sales,NTB,4007.22,5125.98,0.17,0.18,28,61,2017-06,NO
Enterprise Sales,Papua,2507.1,4219.06,0.18,0.14,16,37,2017-06,NO
Enterprise Sales,Sumatra,2888.27,3420.33,0.11,0.16,21,97,2017-06,NO
Enterprise Sales,Bali,2037.47,3979.81,0.15,0.17,16,31,2017-06,NO
Enterprise Sales,Sulawesi,4026.69,1853.4,0.27,0.15,32,182,2017-06,YES
Enterprise Sales,Kalimantan,5476.2,2883.11,0.2,0.15,38,63,2017-06,YES
Enterprise Sales,Jawa,5418.12,1823.21,0.15,0.17,41,76,2017-06,YES
Enterprise Sales,NTB,1995.88,4847.13,0.27,0.15,16,31,2017-06,NO
Enterprise Sales,Papua,6905.02,2274.48,0.23,0.15,57,167,2017-06,YES
Enterprise Sales,Sumatra,2392.07,3149.41,0.13,0.15,16,87,2017-06,NO
Enterprise Sales,Bali,4649.46,5019.64,0.2,0.15,34,94,2017-06,NO
Enterprise Sales,Sulawesi,1954.47,2226.27,0.2,0.18,16,32,2017-06,NO
Enterprise Sales,Kalimantan,5168.04,4095.24,0.17,0.17,41,128,2017-06,YES
Enterprise Sales,Jawa,7098.87,1467.55,0.19,0.2,57,111,2017-06,YES
Enterprise Sales,NTB,874.41,3786.15,0.17,0.2,8,21,2017-06,NO
Enterprise Sales,Papua,5594.2,4933.37,0.16,0.17,40,148,2017-06,YES
Enterprise Sales,Sumatra,1161.07,1813.94,0.22,0.14,5,11,2017-06,NO
Enterprise Sales,Bali,2831.64,4683.07,0.22,0.19,23,128,2017-06,NO
Enterprise Sales,Sulawesi,4295.55,3148.11,0.15,0.15,28,132,2017-06,YES
Enterprise Sales,Kalimantan,2739.73,4031.04,0.2,0.19,21,53,2017-06,NO
