Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Inside Sales,Sumatra,7044.96,5236.01,0.3,0.17,52,256,2017-01,YES
Inside Sales,Bali,5411.04,3090.04,0.22,0.23,44,148,2017-01,YES
Inside Sales,Sulawesi,3327.54,4777.8,0.14,0.18,26,68,2017-01,NO
Inside Sales,Kalimantan,5725.2,5228.31,0.14,0.17,42,135,2017-01,YES
Inside Sales,Jawa,7601.57,6189.88,0.3,0.18,65,214,2017-01,YES
Inside Sales,NTB,3927.67,3260.68,0.11,0.19,35,121,2017-01,YES
Inside Sales,Papua,895.81,3209.21,0.14,0.18,6,21,2017-01,NO
Inside Sales,Sumatra,1738.47,4875.97,0.26,0.17,14,45,2017-01,NO
Inside Sales,Bali,5599.41,4181.39,0.21,0.19,41,234,2017-01,YES
Inside Sales,Sulawesi,2332.74,5392.86,0.25,0.2,17,63,2017-01,NO
Inside Sales,Kalimantan,5297.69,6537.05,0.18,0.22,42,171,2017-01,NO
Inside Sales,Jawa,3331.99,5318.97,0.23,0.23,23,44,2017-01,NO
Inside Sales,NTB,6113.22,4946.69,0.24,0.22,47,238,2017-01,YES
Inside Sales,Papua,4738.98,3843.68,0.31,0.16,34,182,2017-01,YES
Inside Sales,Sumatra,3207.17,6884.15,0.21,0.2,26,57,2017-01,NO
Inside Sales,Bali,3625.85,5468.76,0.26,0.21,29,108,2017-01,NO
Inside Sales,Sulawesi,5793.9,5668.96,0.24,0.18,48,212,2017-01,YES
Inside Sales,Kalimantan,8925.48,3332.88,0.17,0.22,65,249,2017-01,YES
Inside Sales,Jawa,3434.85,1866.25,0.1,0.2,29,117,2017-01,YES
Inside Sales,NTB,4443.49,3249.22,0.09,0.18,34,176,2017-01,YES
Inside Sales,Papua,3783.86,4639.71,0.14,0.18,30,62,2017-01,NO
Inside Sales,Sumatra,8959.13,2527.34,0.24,0.22,68,301,2017-01,YES
Inside Sales,Bali,5494.2,2737.09,0.22,0.17,45,78,2017-01,YES
Inside Sales,Sulawesi,5076.14,3354.49,0.12,0.23,45,152,2017-01,YES
Inside Sales,Kalimantan,8754.11,6897.34,0.18,0.2,69,139,2017-01,YES
Inside Sales,Jawa,4341.5,5376.33,0.1,0.21,38,153,2017-01,NO
Inside Sales,NTB,1114.29,1902.07,0.22,0.22,5,13,2017-01,NO
Inside Sales,Papua,2436.48,4861.21,0.13,0.23,18,98,2017-01,NO
Inside Sales,Sumatra,1071.53,2499.88,0.13,0.2,6,17,2017-01,NO
Inside Sales,Bali,6515.16,5152.92,0.1,0.21,56,291,2017-01,YES
Inside Sales,Sulawesi,1235.51,4651.0,0.22,0.2,8,23,2017-01,NO
Inside Sales,Kalimantan,8096.66,5087.07,0.24,0.18,65,244,2017-02,YES
Inside Sales,Jawa,944.21,1887.98,0.26,0.18,8,15,2017-02,NO
