Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
International Sales,Kalimantan,6698.02,4792.32,0.17,0.2,59,185,2017-01,YES
International Sales,Jawa,3839.79,3815.15,0.18,0.29,34,175,2017-01,YES
International Sales,NTB,4465.66,4543.52,0.15,0.23,38,127,2017-01,NO
International Sales,Papua,5098.19,2571.65,0.32,0.26,45,80,2017-01,YES
International Sales,Sumatra,157.15,5438.49,0.26,0.27,2,3,2017-01,NO
International Sales,Bali,7075.73,4086.66,0.32,0.25,50,208,2017-01,YES
International Sales,Sulawesi,7919.28,2951.83,0.3,0.28,65,335,2017-01,YES
International Sales,Kalimantan,5596.4,2633.49,0.1,0.29,39,200,2017-01,YES
International Sales,Jawa,7842.48,2759.24,0.29,0.26,62,216,2017-01,YES
International Sales,NTB,3680.73,2798.71,0.2,0.3,27,123,2017-01,YES
International Sales,Papua,7770.84,3579.83,0.11,0.25,62,317,2017-01,YES
International Sales,Sumatra,7863.18,2715.39,0.39,0.27,58,99,2017-01,YES
International Sales,Bali,1230.91,5527.84,0.19,0.25,10,35,2017-01,NO
International Sales,Sulawesi,4198.81,3418.75,0.39,0.21,35,193,2017-01,YES
International Sales,Kalimantan,2223.68,2219.4,0.31,0.23,17,98,2017-01,YES
International Sales,Jawa,3221.48,2780.38,0.2,0.23,23,111,2017-01,YES
International Sales,NTB,656.52,1848.27,0.3,0.23,3,14,2017-01,NO
International Sales,Papua,2088.03,4209.9,0.36,0.26,14,59,2017-01,NO
International Sales,Sumatra,5843.35,4154.07,0.33,0.27,50,91,2017-01,YES
International Sales,Bali,2992.56,3093.93,0.27,0.26,26,50,2017-01,NO
International Sales,Sulawesi,1333.84,2151.32,0.2,0.27,10,45,2017-01,NO
International Sales,Kalimantan,7660.96,2369.42,0.21,0.21,60,336,2017-01,YES
International Sales,Jawa,7517.25,1914.75,0.11,0.23,58,319,2017-01,YES
International Sales,NTB,6974.44,3502.58,0.16,0.3,59,159,2017-01,YES
International Sales,Papua,4923.33,2386.64,0.14,0.22,36,177,2017-01,YES
International Sales,Sumatra,5381.14,3792.01,0.26,0.28,41,82,2017-01,YES
International Sales,Bali,4832.32,5214.04,0.16,0.28,39,165,2017-01,NO
International Sales,Sulawesi,5328.69,4103.37,0.24,0.25,38,83,2017-01,YES
International Sales,Kalimantan,7720.34,1671.97,0.23,0.28,57,197,2017-01,YES
