Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Key Accounts,Jawa,9427.77,5667.34,0.37,0.3,82,186,2017-01,YES
Key Accounts,NTB,3106.37,5892.55,0.14,0.26,24,99,2017-01,NO
Key Accounts,Papua,8138.61,6088.51,0.44,0.23,64,305,2017-01,YES
Key Accounts,Sumatra,999.14,3305.15,0.2,0.32,9,42,2017-01,NO
Key Accounts,Bali,8773.27,2669.77,0.4,0.32,74,385,2017-01,YES
Key Accounts,Sulawesi,7092.04,4043.2,0.39,0.31,58,258,2017-01,YES
Key Accounts,Kalimantan,9492.58,7782.35,0.25,0.3,82,452,2017-01,YES
Key Accounts,Jawa,4865.1,4257.2,0.28,0.25,39,187,2017-01,YES
Key Accounts,NTB,2155.06,2101.58,0.29,0.25,14,65,2017-01,YES
Key Accounts,Papua,10463.95,5042.87,0.28,0.23,138,475,2017-01,YES
Key Accounts,Sumatra,6202.89,4335.93,0.42,0.28,46,124,2017-01,YES
Key Accounts,Bali,702.27,6831.07,0.21,0.26,5,9,2017-01,NO
Key Accounts,Sulawesi,9179.5,4930.21,0.37,0.3,80,293,2017-01,YES
Key Accounts,Kalimantan,1572.47,5430.56,0.13,0.31,11,55,2017-01,NO
Key Accounts,Jawa,9256.61,2579.86,0.14,0.3,72,239,2017-01,YES
Key Accounts,NTB,285.28,3838.98,0.18,0.23,2,4,2017-01,NO
Key Accounts,Papua,820.93,7046.11,0.13,0.32,4,21,2017-01,NO
Key Accounts,Sumatra,9293.05,7360.52,0.12,0.25,82,157,2017-01,YES
Key Accounts,Bali,8118.58,5207.95,0.14,0.25,65,321,2017-01,YES
Key Accounts,Sulawesi,5617.84,7606.22,0.29,0.31,41,209,2017-01,NO
Key Accounts,Kalimantan,10296.82,5872.81,0.37,0.28,81,287,2017-01,YES
Key Accounts,Jawa,996.0,2378.36,0.25,0.28,9,37,2017-01,NO
Key Accounts,NTB,6801.6,5133.79,0.22,0.29,53,91,2017-01,YES
Key Accounts,Papua,3178.57,2753.09,0.33,0.26,23,100,2017-01,YES
Key Accounts,Sumatra,2228.63,6471.06,0.37,0.29,16,35,2017-01,NO
Key Accounts,Bali,4512.05,6953.9,0.35,0.29,36,187,2017-01,NO
Key Accounts,Sulawesi,865.21,7752.64,0.4,0.32,3,6,2017-01,NO
Key Accounts,Kalimantan,6506.38,4541.5,0.17,0.25,50,102,2017-01,YES
