Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Retail Sales,Bali,2664.03,6583.61,0.23,0.21,23,94,2017-01,NO
Retail Sales,Sulawesi,8372.33,6039.36,0.15,0.17,65,147,2017-01,YES
Retail Sales,Kalimantan,4704.41,2836.07,0.18,0.17,34,61,2017-01,YES
Retail Sales,Jawa,6868.99,2783.45,0.23,0.18,53,181,2017-01,YES
Retail Sales,NTB,9154.41,3104.18,0.1,0.19,86,210,2017-01,YES
Retail Sales,Papua,1814.04,6694.1,0.21,0.17,12,55,2017-01,NO
Retail Sales,Sumatra,642.02,3693.27,0.13,0.18,5,20,2017-01,NO
Retail Sales,Bali,8399.48,2992.19,0.19,0.21,71,312,2017-01,YES
Retail Sales,Sulawesi,5424.77,3303.09,0.32,0.17,39,189,2017-01,YES
Retail Sales,Kalimantan,4761.19,2201.01,0.16,0.18,36,109,2017-01,YES
Retail Sales,Jawa,1933.14,5343.84,0.22,0.18,16,30,2017-01,NO
Retail Sales,NTB,3397.33,4773.97,0.23,0.19,27,87,2017-01,NO
Retail Sales,Papua,1183.8,2940.13,0.09,0.23,11,20,2017-01,NO
Retail Sales,Sumatra,7093.93,4455.23,0.26,0.2,57,287,2017-01,YES
Retail Sales,Bali,3602.59,5681.35,0.22,0.22,28,138,2017-01,NO
Retail Sales,Sulawesi,1247.52,1836.12,0.16,0.22,9,31,2017-01,NO
Retail Sales,Kalimantan,2484.55,3997.32,0.18,0.2,20,35,2017-01,NO
Retail Sales,Jawa,7965.4,3634.88,0.3,0.24,57,277,2017-01,YES
Retail Sales,NTB,5081.56,4357.99,0.32,0.21,44,111,2017-01,YES
Retail Sales,Papua,873.01,5032.87,0.17,0.22,8,39,2017-01,NO
Retail Sales,Sumatra,4371.6,5253.7,0.16,0.23,38,214,2017-01,NO
Retail Sales,Bali,1663.0,3425.43,0.22,0.18,14,57,2017-01,NO
Retail Sales,Sulawesi,7478.24,5751.63,0.22,0.22,59,276,2017-01,YES
Retail Sales,Kalimantan,5128.04,5035.1,0.1,0.19,39,155,2017-01,YES
Retail Sales,Jawa,6637.16,2050.04,0.11,0.18,58,226,2017-01,YES
Retail Sales,NTB,6348.12,4523.73,0.24,0.18,42,220,2017-01,YES
Retail Sales,Papua,5372.96,2423.15,0.14,0.18,39,213,2017-01,YES
Retail Sales,Sumatra,8073.5,6627.84,0.24,0.22,68,206,2017-01,YES
Retail Sales,Bali,890.71,2570.14,0.14,0.22,5,18,2017-01,NO
Retail Sales,Sulawesi,5713.72,2741.72,0.1,0.18,48,240,2017-01,YES
Retail Sales,Kalimantan,4938.02,4417.44,0.22,0.21,34,196,2017-01,YES
Retail Sales,Jawa,1880.83,5322.77,0.2,0.19,15,68,2017-02,NO
Retail Sales,NTB,2872.63,3113.91,0.29,0.24,22,114,2017-02,NO
Retail Sales,Papua,2357.65,5126.04,0.25,0.16,15,76,2017-02,NO
Retail Sales,Sumatra,7361.25,1814.52,0.1,0.18,64,152,2017-02,YES
Retail Sales,Bali,8174.16,4594.05,0.3,0.22,72,225,2017-02,YES
Retail Sales,Sulawesi,2710.47,2115.17,0.13,0.22,22,62,2017-02,YES
Retail Sales,Kalimantan,2783.45,2439.43,0.13,0.23,22,109,2017-02,YES
Retail Sales,Jawa,8962.08,3778.78,0.1,0.18,69,115,2017-02,YES
Retail Sales,NTB,5715.81,4909.13,0.19,0.16,42,139,2017-02,YES
Retail Sales,Papua,7716.72,2382.15,0.18,0.24,60,298,2017-02,YES
Retail Sales,Sumatra,8116.4,6286.46,0.09,0.18,75,300,2017-02,YES
Retail Sales,Bali,8567.96,5903.35,0.27,0.21,64,279,2017-02,YES
Retail Sales,Sulawesi,994.32,4913.47,0.23,0.19,5,26,2017-02,NO
Retail Sales,Kalimantan,2626.85,4440.0,0.13,0.22,20,63,2017-02,NO
Retail Sales,Jawa,6747.26,5242.39,0.26,0.21,56,304,2017-02,YES
