Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Sales Administration,Papua,908.94,908.83,0.29,0.52,5,14,2017-01,YES
Sales Administration,Sumatra,1202.01,824.24,0.47,0.49,10,52,2017-01,YES
Sales Administration,Bali,2686.84,1379.72,0.47,0.49,21,114,2017-01,YES
Sales Administration,Sulawesi,1214.4,518.62,0.22,0.52,11,27,2017-01,YES
Sales Administration,Kalimantan,2069.7,1517.99,0.38,0.38,14,31,2017-01,YES
Sales Administration,Jawa,2310.87,1332.39,0.67,0.49,15,77,2017-01,YES
Sales Administration,NTB,1824.22,1644.39,0.68,0.4,17,38,2017-01,YES
Sales Administration,Papua,283.41,1592.76,0.45,0.5,3,13,2017-01,NO
Sales Administration,Sumatra,2064.63,1936.76,0.29,0.4,17,33,2017-01,YES
Sales Administration,Bali,1150.4,1282.08,0.72,0.49,6,31,2017-01,NO
Sales Administration,Sulawesi,1656.63,1818.98,0.65,0.43,14,76,2017-01,NO
Sales Administration,Kalimantan,797.43,1359.69,0.56,0.49,6,32,2017-01,NO
Sales Administration,Jawa,314.91,1845.53,0.25,0.45,2,5,2017-01,NO
Sales Administration,NTB,1353.99,1111.25,0.56,0.45,8,22,2017-01,YES
Sales Administration,Papua,975.27,513.23,0.65,0.47,5,18,2017-01,YES
Sales Administration,Sumatra,507.99,1275.85,0.23,0.45,3,7,2017-01,NO
Sales Administration,Bali,2020.12,1496.72,0.67,0.52,16,53,2017-01,YES
Sales Administration,Sulawesi,329.6,1782.99,0.65,0.41,2,4,2017-01,NO
Sales Administration,Kalimantan,955.38,571.03,0.47,0.5,9,18,2017-01,YES
Sales Administration,Jawa,1898.54,1938.61,0.38,0.5,16,71,2017-01,NO
Sales Administration,NTB,992.13,1926.65,0.67,0.5,5,28,2017-01,NO
Sales Administration,Papua,1397.3,1838.1,0.54,0.45,10,48,2017-01,NO
Sales Administration,Sumatra,462.54,1548.03,0.4,0.5,2,6,2017-01,NO
