Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Sales Analytics,Sumatra,6039.19,7901.41,0.23,0.29,42,85,2017-01,NO
Sales Analytics,Bali,5141.02,7784.68,0.4,0.25,41,86,2017-01,NO
Sales Analytics,Sulawesi,4584.69,4068.1,0.4,0.24,35,168,2017-01,YES
Sales Analytics,Kalimantan,9791.05,7333.82,0.23,0.24,86,431,2017-01,YES
Sales Analytics,Jawa,2623.1,6954.71,0.26,0.25,20,40,2017-01,NO
Sales Analytics,NTB,7525.93,3374.63,0.18,0.22,58,334,2017-01,YES
Sales Analytics,Papua,6147.0,5664.47,0.19,0.24,46,139,2017-01,YES
Sales Analytics,Sumatra,9450.42,6989.46,0.14,0.33,87,463,2017-01,YES
Sales Analytics,Bali,10808.16,5362.72,0.34,0.23,117,273,2017-01,YES
Sales Analytics,Sulawesi,635.54,4628.92,0.22,0.25,3,12,2017-01,NO
Sales Analytics,Kalimantan,9774.29,7241.63,0.2,0.31,86,281,2017-01,YES
Sales Analytics,Jawa,1786.33,5228.5,0.3,0.31,11,35,2017-01,NO
Sales Analytics,NTB,3888.98,2712.54,0.43,0.23,32,66,2017-01,YES
Sales Analytics,Papua,2456.8,3322.07,0.4,0.25,18,43,2017-01,NO
Sales Analytics,Sumatra,9038.84,5380.92,0.31,0.29,72,216,2017-01,YES
Sales Analytics,Bali,2983.29,4000.49,0.11,0.3,23,55,2017-01,NO
Sales Analytics,Sulawesi,9512.65,5735.58,0.28,0.28,86,260,2017-01,YES
Sales Analytics,Kalimantan,8543.92,2808.59,0.23,0.24,74,155,2017-01,YES
Sales Analytics,Jawa,3480.06,2304.79,0.25,0.31,30,102,2017-01,YES
Sales Analytics,NTB,8116.91,2493.35,0.31,0.31,72,262,2017-01,YES
Sales Analytics,Papua,1522.8,3231.53,0.15,0.31,12,33,2017-01,NO
Sales Analytics,Sumatra,2422.67,5685.08,0.21,0.3,17,91,2017-01,NO
Sales Analytics,Bali,1970.65,8007.25,0.35,0.25,16,45,2017-01,NO
Sales Analytics,Sulawesi,10872.03,6965.54,0.43,0.31,88,511,2017-01,YES
Sales Analytics,Kalimantan,8445.69,3077.38,0.4,0.32,75,163,2017-01,YES
Sales Analytics,Jawa,694.63,4099.72,0.13,0.33,4,16,2017-01,NO
Sales Analytics,NTB,7016.4,4599.71,0.28,0.33,50,116,2017-01,YES
Sales Analytics,Papua,4336.68,7056.19,0.28,0.3,29,102,2017-01,NO
Sales Analytics,Sumatra,1239.74,5210.31,0.12,0.24,9,32,2017-01,NO
Sales Analytics,Bali,3378.77,4361.41,0.14,0.32,30,155,2017-01,NO
Sales Analytics,Sulawesi,6119.93,6798.27,0.23,0.32,50,226,2017-01,NO
Sales Analytics,Kalimantan,3750.41,4783.26,0.2,0.32,29,89,2017-02,NO
Sales Analytics,Jawa,9092.82,4671.49,0.44,0.31,75,307,2017-02,YES
Sales Analytics,NTB,1554.09,7203.07,0.25,0.22,14,35,2017-02,NO
Sales Analytics,Papua,8342.93,3803.44,0.13,0.32,72,225,2017-02,YES
Sales Analytics,Sumatra,6479.27,2482.11,0.26,0.26,54,107,2017-02,YES
Sales Analytics,Bali,9969.83,5159.51,0.34,0.26,78,194,2017-02,YES
Sales Analytics,Sulawesi,666.4,4804.08,0.17,0.29,4,14,2017-02,NO
Sales Analytics,Kalimantan,1184.18,3422.91,0.19,0.28,11,26,2017-02,NO
Sales Analytics,Jawa,4324.42,5318.35,0.14,0.28,30,55,2017-02,NO
Sales Analytics,NTB,9111.1,4547.89,0.29,0.32,72,195,2017-02,YES
Sales Analytics,Papua,9660.79,2828.76,0.43,0.26,78,388,2017-02,YES
Sales Analytics,Sumatra,4525.16,2634.8,0.28,0.3,34,130,2017-02,YES
Sales Analytics,Bali,1697.01,3227.4,0.24,0.29,11,48,2017-02,NO
Sales Analytics,Sulawesi,4341.2,5325.97,0.26,0.24,38,182,2017-02,NO
Sales Analytics,Kalimantan,10461.67,2980.04,0.24,0.29,141,807,2017-02,YES
Sales Analytics,Jawa,2628.37,4764.57,0.3,0.29,21,42,2017-02,NO
Sales Analytics,NTB,3960.62,6082.52,0.43,0.3,33,96,2017-02,NO
Sales Analytics,Papua,2977.82,4015.25,0.34,0.24,24,77,2017-02,NO
Sales Analytics,Sumatra,1154.38,2344.2,0.37,0.29,9,29,2017-02,NO
Sales Analytics,Bali,1290.73,5762.84,0.41,0.25,11,54,2017-02,NO
Sales Analytics,Sulawesi,10083.47,4200.84,0.26,0.28,81,286,2017-02,YES
Sales Analytics,Kalimantan,5138.27,5587.93,0.19,0.26,41,204,2017-02,NO
Sales Analytics,Jawa,5063.4,6245.42,0.17,0.24,44,201,2017-02,NO
Sales Analytics,NTB,8583.77,6597.2,0.43,0.28,66,173,2017-02,YES
Sales Analytics,Papua,6872.54,3586.67,0.29,0.24,51,201,2017-02,YES
Sales Analytics,Sumatra,3373.42,3633.68,0.32,0.25,29,133,2017-02,NO
Sales Analytics,Bali,4269.24,4506.18,0.3,0.26,30,95,2017-02,NO
Sales Analytics,Sulawesi,2364.98,7383.72,0.4,0.24,15,74,2017-02,NO
Sales Analytics,Kalimantan,5897.36,2419.29,0.39,0.23,52,195,2017-03,YES
Sales Analytics,Jawa,8108.54,7960.92,0.31,0.28,69,311,2017-03,YES
Sales Analytics,NTB,1620.92,2831.69,0.3,0.28,12,22,2017-03,NO
Sales Analytics,Papua,9637.63,5230.87,0.18,0.28,77,321,2017-03,YES
Sales Analytics,Sumatra,3106.77,5445.48,0.19,0.24,26,109,2017-03,NO
