Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Sales Enablement,NTB,2884.52,2005.19,0.4,0.44,23,48,2017-01,YES
Sales Enablement,Papua,3550.44,1676.59,0.78,0.58,29,125,2017-01,YES
Sales Enablement,Sumatra,1718.77,2173.31,0.68,0.44,11,28,2017-01,NO
Sales Enablement,Bali,2415.18,1231.2,0.38,0.56,18,40,2017-01,YES
Sales Enablement,Sulawesi,151.53,2079.88,0.4,0.58,3,12,2017-01,NO
Sales Enablement,Kalimantan,1612.01,1063.44,0.48,0.58,14,66,2017-01,YES
Sales Enablement,Jawa,2108.61,2000.1,0.72,0.56,16,67,2017-01,YES
Sales Enablement,NTB,421.37,2149.7,0.72,0.52,2,4,2017-01,NO
Sales Enablement,Papua,1759.1,2056.59,0.78,0.5,14,29,2017-01,NO
Sales Enablement,Sumatra,645.39,1246.0,0.64,0.52,5,21,2017-01,NO
Sales Enablement,Bali,2976.64,1616.85,0.62,0.5,26,138,2017-01,YES
Sales Enablement,Sulawesi,2677.88,1491.64,0.26,0.52,22,75,2017-01,YES
Sales Enablement,Kalimantan,679.41,904.92,0.52,0.6,6,28,2017-01,NO
Sales Enablement,Jawa,3032.24,1531.97,0.6,0.52,23,105,2017-01,YES
Sales Enablement,NTB,1520.42,832.85,0.46,0.54,11,53,2017-01,YES
Sales Enablement,Papua,1569.15,1198.63,0.6,0.5,14,60,2017-01,YES
Sales Enablement,Sumatra,303.75,1507.65,0.38,0.46,2,3,2017-01,NO
Sales Enablement,Bali,3380.88,1593.3,0.34,0.42,28,66,2017-01,YES
Sales Enablement,Sulawesi,550.47,2019.56,0.46,0.4,2,6,2017-01,NO
Sales Enablement,Kalimantan,500.37,1363.44,0.74,0.54,3,8,2017-01,NO
Sales Enablement,Jawa,3023.44,1269.27,0.4,0.42,24,85,2017-01,YES
Sales Enablement,NTB,1807.53,1867.2,0.38,0.6,11,50,2017-01,NO
Sales Enablement,Papua,761.34,1637.74,0.5,0.4,6,12,2017-01,NO
Sales Enablement,Sumatra,1106.21,1209.82,0.32,0.54,6,23,2017-01,NO
Sales Enablement,Bali,3349.01,2302.46,0.48,0.44,30,158,2017-01,YES
Sales Enablement,Sulawesi,2894.57,1529.48,0.5,0.5,22,100,2017-01,YES
Sales Enablement,Kalimantan,2157.03,1955.4,0.4,0.46,17,95,2017-01,YES
Sales Enablement,Jawa,3264.22,1368.65,0.44,0.52,26,92,2017-01,YES
Sales Enablement,NTB,2722.74,829.77,0.42,0.52,23,65,2017-01,YES
Sales Enablement,Papua,1008.76,905.59,0.32,0.48,9,17,2017-01,YES
Sales Enablement,Sumatra,2280.96,1118.49,0.6,0.54,17,39,2017-01,YES
Sales Enablement,Bali,2213.68,1031.6,0.56,0.48,16,59,2017-02,YES
Sales Enablement,Sulawesi,2943.29,728.88,0.64,0.5,23,39,2017-02,YES
Sales Enablement,Kalimantan,1004.46,2258.29,0.4,0.52,9,32,2017-02,NO
Sales Enablement,Jawa,1033.96,811.79,0.54,0.52,5,27,2017-02,YES
Sales Enablement,NTB,2586.9,972.58,0.28,0.56,22,113,2017-02,YES
Sales Enablement,Papua,2364.84,2298.47,0.64,0.42,18,43,2017-02,YES
Sales Enablement,Sumatra,2320.69,1780.04,0.36,0.56,16,55,2017-02,YES
Sales Enablement,Bali,3263.0,702.84,0.62,0.58,26,121,2017-02,YES
Sales Enablement,Sulawesi,1627.65,1163.58,0.34,0.42,14,74,2017-02,YES
Sales Enablement,Kalimantan,856.47,1170.09,0.24,0.56,4,9,2017-02,NO
Sales Enablement,Jawa,1224.76,1109.85,0.64,0.58,9,19,2017-02,YES
Sales Enablement,NTB,947.97,2213.09,0.38,0.6,8,16,2017-02,NO
Sales Enablement,Papua,1711.3,2332.27,0.56,0.58,14,47,2017-02,NO
Sales Enablement,Sumatra,2341.17,720.63,0.72,0.46,16,42,2017-02,YES
Sales Enablement,Bali,704.69,1427.11,0.78,0.46,5,15,2017-02,NO
Sales Enablement,Sulawesi,2014.32,648.33,0.26,0.52,17,32,2017-02,YES
Sales Enablement,Kalimantan,1509.08,2008.83,0.64,0.46,14,49,2017-02,NO
Sales Enablement,Jawa,3439.05,1219.88,0.3,0.54,30,148,2017-02,YES
Sales Enablement,NTB,1549.2,850.03,0.52,0.54,12,29,2017-02,YES
Sales Enablement,Papua,3327.35,2580.94,0.48,0.5,23,53,2017-02,YES
Sales Enablement,Sumatra,3384.53,1929.9,0.78,0.54,29,73,2017-02,YES
Sales Enablement,Bali,3538.73,2334.04,0.3,0.56,27,90,2017-02,YES
Sales Enablement,Sulawesi,2807.44,1585.92,0.42,0.52,21,58,2017-02,YES
Sales Enablement,Kalimantan,437.34,788.72,0.38,0.58,2,4,2017-02,NO
Sales Enablement,Jawa,1823.07,1413.39,0.62,0.44,15,47,2017-02,YES
Sales Enablement,NTB,2275.29,929.59,0.3,0.56,18,71,2017-02,YES
Sales Enablement,Papua,3031.93,1316.51,0.48,0.4,23,131,2017-02,YES
Sales Enablement,Sumatra,1888.37,2557.24,0.48,0.54,17,84,2017-02,NO
Sales Enablement,Bali,900.36,2049.62,0.6,0.5,5,12,2017-03,NO
Sales Enablement,Sulawesi,2738.84,1485.06,0.64,0.52,23,65,2017-03,YES
Sales Enablement,Kalimantan,1830.95,1079.74,0.38,0.48,17,95,2017-03,YES
Sales Enablement,Jawa,1014.18,2304.45,0.6,0.58,9,34,2017-03,NO
Sales Enablement,NTB,1513.61,1447.47,0.46,0.58,14,76,2017-03,YES
Sales Enablement,Papua,562.52,2261.32,0.48,0.54,4,21,2017-03,NO
Sales Enablement,Sumatra,1523.82,994.52,0.6,0.52,14,45,2017-03,YES
Sales Enablement,Bali,2417.92,2429.02,0.68,0.52,16,86,2017-03,NO
Sales Enablement,Sulawesi,2085.8,1254.8,0.74,0.46,16,27,2017-03,YES
Sales Enablement,Kalimantan,2337.36,2188.48,0.52,0.48,15,49,2017-03,YES
Sales Enablement,Jawa,1972.28,1935.88,0.48,0.44,16,88,2017-03,YES
Sales Enablement,NTB,279.72,1567.83,0.3,0.42,3,12,2017-03,NO
Sales Enablement,Papua,2124.86,1026.94,0.4,0.54,16,27,2017-03,YES
Sales Enablement,Sumatra,1868.23,2475.19,0.5,0.48,15,32,2017-03,NO
Sales Enablement,Bali,2132.97,2237.8,0.26,0.5,17,61,2017-03,NO
Sales Enablement,Sulawesi,2321.29,1202.17,0.46,0.46,17,78,2017-03,YES
Sales Enablement,Kalimantan,182.45,1680.51,0.48,0.56,2,6,2017-03,NO
Sales Enablement,Jawa,2438.34,1683.88,0.38,0.52,20,38,2017-03,YES
Sales Enablement,NTB,1120.02,2437.33,0.44,0.5,9,26,2017-03,NO
Sales Enablement,Papua,2710.6,819.94,0.44,0.58,20,71,2017-03,YES
Sales Enablement,Sumatra,1761.55,1309.56,0.74,0.42,11,30,2017-03,YES
Sales Enablement,Bali,3471.55,839.85,0.32,0.5,29,164,2017-03,YES
Sales Enablement,Sulawesi,535.82,841.62,0.24,0.42,2,7,2017-03,NO
Sales Enablement,Kalimantan,1677.61,2326.39,0.54,0.58,11,54,2017-03,NO
Sales Enablement,Jawa,290.25,1043.71,0.44,0.56,2,4,2017-03,NO
Sales Enablement,NTB,3447.85,1825.7,0.7,0.54,28,63,2017-03,YES
Sales Enablement,Papua,701.27,2351.71,0.76,0.58,3,7,2017-03,NO
Sales Enablement,Sumatra,2096.04,1154.0,0.5,0.58,14,75,2017-03,YES
Sales Enablement,Bali,3407.24,1803.12,0.2,0.6,28,134,2017-03,YES
Sales Enablement,Sulawesi,2054.02,1140.57,0.36,0.42,16,88,2017-03,YES
Sales Enablement,Kalimantan,2643.98,1806.31,0.54,0.46,23,86,2017-03,YES
Sales Enablement,Jawa,2479.72,1649.91,0.6,0.54,18,57,2017-04,YES
Sales Enablement,NTB,2663.65,2415.54,0.2,0.46,23,50,2017-04,YES
Sales Enablement,Papua,1357.04,1671.05,0.56,0.5,8,30,2017-04,NO
Sales Enablement,Sumatra,2850.72,2023.19,0.54,0.42,21,45,2017-04,YES
Sales Enablement,Bali,2289.59,1043.52,0.78,0.48,20,80,2017-04,YES
