Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Sales Engineering,Sulawesi,2435.53,979.79,0.54,0.43,15,28,2017-01,YES
Sales Engineering,Kalimantan,597.86,975.31,0.72,0.47,3,10,2017-01,NO
Sales Engineering,Jawa,205.98,1387.28,0.45,0.52,2,3,2017-01,NO
Sales Engineering,NTB,2510.52,1328.93,0.63,0.47,20,92,2017-01,YES
Sales Engineering,Papua,1858.19,1003.26,0.34,0.5,16,31,2017-01,YES
Sales Engineering,Sumatra,1342.27,895.9,0.31,0.47,8,30,2017-01,YES
Sales Engineering,Bali,105.87,734.4,0.25,0.49,3,14,2017-01,NO
Sales Engineering,Sulawesi,1929.96,1480.61,0.45,0.5,14,75,2017-01,YES
Sales Engineering,Kalimantan,1847.82,741.47,0.27,0.38,16,40,2017-01,YES
Sales Engineering,Jawa,1527.12,1128.83,0.29,0.43,14,30,2017-01,YES
Sales Engineering,NTB,1481.83,1194.87,0.58,0.43,8,23,2017-01,YES
Sales Engineering,Papua,183.87,1420.89,0.45,0.52,2,5,2017-01,NO
Sales Engineering,Sumatra,1875.2,1627.63,0.68,0.43,14,63,2017-01,YES
Sales Engineering,Bali,2526.24,615.11,0.22,0.47,23,111,2017-01,YES
Sales Engineering,Sulawesi,1141.17,718.52,0.52,0.36,8,32,2017-01,YES
Sales Engineering,Kalimantan,2515.95,1032.26,0.58,0.5,15,83,2017-01,YES
Sales Engineering,Jawa,957.67,1385.11,0.25,0.41,5,20,2017-01,NO
Sales Engineering,NTB,2127.3,916.46,0.67,0.38,15,54,2017-01,YES
Sales Engineering,Papua,526.92,1682.06,0.43,0.49,2,7,2017-01,NO
Sales Engineering,Sumatra,1612.38,1304.54,0.4,0.47,11,60,2017-01,YES
Sales Engineering,Bali,732.44,1464.21,0.49,0.38,5,13,2017-01,NO
Sales Engineering,Sulawesi,1511.06,1784.92,0.41,0.52,11,57,2017-01,NO
Sales Engineering,Kalimantan,2555.68,1823.7,0.58,0.38,21,66,2017-01,YES
Sales Engineering,Jawa,1612.96,1313.15,0.58,0.52,12,46,2017-01,YES
Sales Engineering,NTB,1331.8,1316.72,0.54,0.4,9,35,2017-01,YES
Sales Engineering,Papua,2023.63,674.63,0.61,0.43,17,33,2017-01,YES
Sales Engineering,Sumatra,956.59,1951.01,0.18,0.52,9,24,2017-01,NO
Sales Engineering,Bali,798.13,1981.94,0.2,0.5,6,24,2017-01,NO
Sales Engineering,Sulawesi,2155.71,548.8,0.32,0.54,15,49,2017-01,YES
Sales Engineering,Kalimantan,843.61,1554.77,0.45,0.47,6,31,2017-01,NO
Sales Engineering,Jawa,1364.73,1223.96,0.41,0.49,10,28,2017-01,YES
Sales Engineering,NTB,2269.09,1961.31,0.45,0.45,15,67,2017-02,YES
Sales Engineering,Papua,781.73,1130.31,0.43,0.47,4,9,2017-02,NO
Sales Engineering,Sumatra,423.6,1673.47,0.59,0.38,2,6,2017-02,NO
Sales Engineering,Bali,1510.24,1094.79,0.52,0.5,11,51,2017-02,YES
Sales Engineering,Sulawesi,2349.73,998.87,0.49,0.36,17,32,2017-02,YES
Sales Engineering,Kalimantan,2325.46,999.62,0.23,0.4,18,77,2017-02,YES
Sales Engineering,Jawa,2169.27,592.59,0.72,0.45,16,52,2017-02,YES
Sales Engineering,NTB,396.99,1605.99,0.68,0.52,2,6,2017-02,NO
Sales Engineering,Papua,468.42,1049.57,0.41,0.41,3,5,2017-02,NO
Sales Engineering,Sumatra,1472.6,1138.42,0.4,0.38,9,38,2017-02,YES
Sales Engineering,Bali,1647.65,1032.84,0.27,0.52,14,35,2017-02,YES
Sales Engineering,Sulawesi,2517.6,1519.86,0.45,0.5,17,83,2017-02,YES
Sales Engineering,Kalimantan,1652.53,756.53,0.63,0.41,11,40,2017-02,YES
Sales Engineering,Jawa,746.84,853.52,0.72,0.41,5,25,2017-02,NO
Sales Engineering,NTB,1801.47,741.27,0.63,0.52,14,35,2017-02,YES
Sales Engineering,Papua,1493.84,577.44,0.68,0.5,11,37,2017-02,YES
Sales Engineering,Sumatra,697.05,1689.87,0.61,0.41,4,12,2017-02,NO
Sales Engineering,Bali,923.86,1888.89,0.68,0.43,9,27,2017-02,NO
Sales Engineering,Sulawesi,1065.92,1939.59,0.49,0.47,8,15,2017-02,NO
Sales Engineering,Kalimantan,1656.24,1874.33,0.49,0.45,11,60,2017-02,NO
Sales Engineering,Jawa,1360.9,1227.96,0.29,0.4,9,39,2017-02,YES
Sales Engineering,NTB,2388.4,932.3,0.65,0.43,15,38,2017-02,YES
Sales Engineering,Papua,701.57,504.43,0.27,0.54,6,29,2017-02,YES
Sales Engineering,Sumatra,340.76,1895.33,0.54,0.49,3,7,2017-02,NO
Sales Engineering,Bali,1347.35,1456.36,0.41,0.41,11,45,2017-02,NO
Sales Engineering,Sulawesi,1346.3,1978.17,0.47,0.41,8,26,2017-02,NO
Sales Engineering,Kalimantan,2226.23,2012.92,0.43,0.5,16,79,2017-02,YES
Sales Engineering,Jawa,1371.2,1165.51,0.34,0.49,8,35,2017-02,YES
Sales Engineering,NTB,1482.48,880.13,0.52,0.4,10,31,2017-03,YES
Sales Engineering,Papua,202.59,1669.59,0.36,0.5,3,8,2017-03,NO
Sales Engineering,Sumatra,353.25,1184.49,0.2,0.4,2,7,2017-03,NO
Sales Engineering,Bali,1526.14,816.61,0.25,0.45,14,55,2017-03,YES
Sales Engineering,Sulawesi,1479.86,1828.18,0.61,0.45,10,17,2017-03,NO
Sales Engineering,Kalimantan,1529.6,512.7,0.65,0.4,12,64,2017-03,YES
Sales Engineering,Jawa,371.35,1786.28,0.61,0.54,3,8,2017-03,NO
Sales Engineering,NTB,2564.16,1611.45,0.47,0.5,23,109,2017-03,YES
Sales Engineering,Papua,1317.02,854.32,0.31,0.52,11,50,2017-03,YES
Sales Engineering,Sumatra,2617.78,1161.3,0.7,0.41,22,64,2017-03,YES
Sales Engineering,Bali,291.11,1218.34,0.58,0.54,3,11,2017-03,NO
Sales Engineering,Sulawesi,1342.04,723.47,0.65,0.36,11,63,2017-03,YES
Sales Engineering,Kalimantan,2577.64,1426.78,0.27,0.45,23,124,2017-03,YES
Sales Engineering,Jawa,166.92,682.7,0.61,0.49,2,4,2017-03,NO
Sales Engineering,NTB,2636.73,1452.31,0.59,0.41,20,69,2017-03,YES
Sales Engineering,Papua,512.9,1970.84,0.65,0.38,2,5,2017-03,NO
