Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Sales Operations,Jawa,6139.41,1857.66,0.14,0.18,50,213,2017-01,YES
Sales Operations,NTB,8706.63,4106.69,0.14,0.18,69,364,2017-01,YES
Sales Operations,Papua,4260.8,4411.12,0.11,0.18,32,66,2017-01,NO
Sales Operations,Sumatra,1641.84,6708.69,0.1,0.18,11,35,2017-01,NO
Sales Operations,Bali,1554.7,2388.69,0.15,0.23,12,37,2017-01,NO
Sales Operations,Sulawesi,6888.96,3284.87,0.15,0.19,58,210,2017-01,YES
Sales Operations,Kalimantan,7318.76,4430.42,0.23,0.18,62,120,2017-01,YES
Sales Operations,Jawa,5435.32,2857.92,0.25,0.22,44,211,2017-01,YES
Sales Operations,NTB,1041.11,2876.76,0.25,0.18,6,19,2017-01,NO
Sales Operations,Papua,197.77,4063.41,0.22,0.18,2,6,2017-01,NO
Sales Operations,Sumatra,7231.32,4970.13,0.26,0.18,58,260,2017-01,YES
Sales Operations,Bali,6282.69,2528.21,0.19,0.24,47,144,2017-01,YES
Sales Operations,Sulawesi,2843.34,5869.3,0.22,0.19,22,60,2017-01,NO
Sales Operations,Kalimantan,7099.06,2529.04,0.18,0.17,58,284,2017-01,YES
Sales Operations,Jawa,785.69,3153.69,0.23,0.2,4,19,2017-01,NO
Sales Operations,NTB,7134.91,2843.25,0.18,0.18,63,324,2017-01,YES
Sales Operations,Papua,7778.07,2952.82,0.11,0.18,59,199,2017-01,YES
Sales Operations,Sumatra,9202.56,5348.92,0.18,0.21,72,379,2017-01,YES
Sales Operations,Bali,4254.94,6634.21,0.14,0.2,29,95,2017-01,NO
Sales Operations,Sulawesi,6067.64,5934.8,0.1,0.22,44,223,2017-01,YES
Sales Operations,Kalimantan,2501.97,2316.12,0.26,0.2,17,91,2017-01,YES
Sales Operations,Jawa,2998.51,4493.55,0.2,0.18,26,114,2017-01,NO
Sales Operations,NTB,6961.32,5687.83,0.17,0.19,53,296,2017-01,YES
Sales Operations,Papua,1461.28,2802.87,0.16,0.22,8,38,2017-01,NO
Sales Operations,Sumatra,8694.33,2635.53,0.29,0.18,70,292,2017-01,YES
Sales Operations,Bali,2481.94,5640.57,0.29,0.17,16,61,2017-01,NO
Sales Operations,Sulawesi,7321.0,6309.39,0.08,0.18,64,199,2017-01,YES
Sales Operations,Kalimantan,9150.13,2336.17,0.32,0.2,81,181,2017-01,YES
Sales Operations,Jawa,6462.35,5907.17,0.3,0.17,52,250,2017-01,YES
Sales Operations,NTB,4750.72,3572.52,0.3,0.19,39,218,2017-01,YES
Sales Operations,Papua,2434.91,3677.47,0.27,0.19,18,62,2017-01,NO
Sales Operations,Sumatra,3148.6,3284.57,0.27,0.17,23,123,2017-02,NO
Sales Operations,Bali,6561.84,3882.63,0.28,0.2,50,287,2017-02,YES
Sales Operations,Sulawesi,8385.44,2210.6,0.2,0.18,75,204,2017-02,YES
Sales Operations,Kalimantan,9438.13,2468.55,0.21,0.16,81,172,2017-02,YES
Sales Operations,Jawa,6527.87,2070.75,0.25,0.22,54,92,2017-02,YES
Sales Operations,NTB,2045.29,4650.77,0.15,0.21,14,74,2017-02,NO
Sales Operations,Papua,3492.3,4389.78,0.24,0.18,29,155,2017-02,NO
Sales Operations,Sumatra,7328.36,6909.96,0.31,0.17,62,196,2017-02,YES
Sales Operations,Bali,3826.92,6882.36,0.31,0.16,33,72,2017-02,NO
Sales Operations,Sulawesi,6350.24,4839.52,0.13,0.16,42,162,2017-02,YES
Sales Operations,Kalimantan,5658.93,5659.43,0.3,0.23,45,100,2017-02,NO
Sales Operations,Jawa,7161.51,5299.0,0.15,0.19,60,236,2017-02,YES
Sales Operations,NTB,8016.97,6271.75,0.12,0.17,66,238,2017-02,YES
Sales Operations,Papua,2886.57,5501.09,0.22,0.18,22,103,2017-02,NO
Sales Operations,Sumatra,4505.07,2245.42,0.12,0.16,35,179,2017-02,YES
Sales Operations,Bali,8285.49,2116.11,0.2,0.18,72,273,2017-02,YES
Sales Operations,Sulawesi,4679.14,4363.2,0.3,0.18,34,165,2017-02,YES
Sales Operations,Kalimantan,6373.32,6530.89,0.18,0.24,50,172,2017-02,NO
Sales Operations,Jawa,5213.87,3194.19,0.3,0.22,40,127,2017-02,YES
Sales Operations,NTB,1322.73,1754.08,0.22,0.2,9,39,2017-02,NO
Sales Operations,Papua,9492.13,4175.38,0.26,0.19,74,372,2017-02,YES
Sales Operations,Sumatra,7949.09,1844.37,0.09,0.21,66,311,2017-02,YES
Sales Operations,Bali,1936.58,5404.23,0.27,0.21,15,62,2017-02,NO
Sales Operations,Sulawesi,7448.08,3558.61,0.18,0.21,66,287,2017-02,YES
Sales Operations,Kalimantan,5900.54,5689.84,0.21,0.16,47,209,2017-02,YES
Sales Operations,Jawa,3541.0,4632.85,0.3,0.18,28,65,2017-02,NO
Sales Operations,NTB,4323.73,6754.12,0.25,0.18,32,120,2017-02,NO
Sales Operations,Papua,3254.41,6100.95,0.31,0.17,23,96,2017-02,NO
Sales Operations,Sumatra,1943.64,2695.48,0.16,0.22,16,36,2017-03,NO
Sales Operations,Bali,7163.68,3880.31,0.1,0.21,59,201,2017-03,YES
Sales Operations,Sulawesi,4059.45,6226.83,0.29,0.18,32,85,2017-03,NO
Sales Operations,Kalimantan,5193.04,2784.5,0.21,0.18,40,84,2017-03,YES
Sales Operations,Jawa,7638.74,6199.65,0.15,0.22,64,305,2017-03,YES
Sales Operations,NTB,4386.86,6015.23,0.09,0.24,36,119,2017-03,NO
Sales Operations,Papua,5667.6,4194.1,0.18,0.17,52,138,2017-03,YES
Sales Operations,Sumatra,4036.29,3458.39,0.22,0.21,35,129,2017-03,YES
Sales Operations,Bali,1509.91,6247.41,0.28,0.23,12,46,2017-03,NO
Sales Operations,Sulawesi,5929.62,6460.27,0.18,0.22,45,182,2017-03,NO
Sales Operations,Kalimantan,1005.96,1770.09,0.32,0.19,8,16,2017-03,NO
Sales Operations,Jawa,901.4,5013.03,0.27,0.18,8,17,2017-03,NO
Sales Operations,NTB,8824.9,4054.68,0.24,0.24,65,213,2017-03,YES
Sales Operations,Papua,1515.3,5712.97,0.14,0.21,14,64,2017-03,NO
Sales Operations,Sumatra,4449.95,5243.16,0.29,0.17,34,174,2017-03,NO
Sales Operations,Bali,215.45,2949.55,0.11,0.2,3,6,2017-03,NO
Sales Operations,Sulawesi,8169.39,4264.08,0.32,0.21,68,137,2017-03,YES
Sales Operations,Kalimantan,9329.05,2965.08,0.1,0.2,87,295,2017-03,YES
Sales Operations,Jawa,6814.87,3206.72,0.31,0.22,52,284,2017-03,YES
Sales Operations,NTB,8331.09,2182.12,0.26,0.19,72,286,2017-03,YES
Sales Operations,Papua,5114.72,6581.87,0.2,0.22,38,162,2017-03,NO
Sales Operations,Sumatra,1897.03,3550.35,0.1,0.22,14,62,2017-03,NO
Sales Operations,Bali,1318.32,6072.77,0.26,0.18,8,30,2017-03,NO
Sales Operations,Sulawesi,7982.4,3536.58,0.26,0.16,64,126,2017-03,YES
Sales Operations,Kalimantan,2159.91,6715.61,0.26,0.2,14,59,2017-03,NO
Sales Operations,Jawa,4118.67,2475.94,0.12,0.24,29,93,2017-03,YES
Sales Operations,NTB,6035.56,3354.34,0.1,0.18,50,150,2017-03,YES
Sales Operations,Papua,7041.53,3056.28,0.1,0.17,59,159,2017-03,YES
Sales Operations,Sumatra,9239.26,4454.87,0.22,0.19,77,190,2017-03,YES
Sales Operations,Bali,4794.75,4991.64,0.21,0.18,34,176,2017-03,NO
Sales Operations,Sulawesi,2980.73,4130.41,0.19,0.16,26,47,2017-03,NO
Sales Operations,Kalimantan,611.83,1821.99,0.29,0.19,4,16,2017-04,NO
Sales Operations,Jawa,8978.11,2167.49,0.15,0.24,68,140,2017-04,YES
Sales Operations,NTB,3441.86,3203.04,0.27,0.22,29,85,2017-04,YES
Sales Operations,Papua,7282.73,4344.7,0.19,0.19,60,164,2017-04,YES
Sales Operations,Sumatra,4772.89,5628.38,0.18,0.17,34,156,2017-04,NO
Sales Operations,Bali,8526.73,5373.91,0.26,0.2,70,307,2017-04,YES
Sales Operations,Sulawesi,7255.38,6309.63,0.14,0.18,65,280,2017-04,YES
Sales Operations,Kalimantan,6120.16,3056.59,0.18,0.22,46,206,2017-04,YES
Sales Operations,Jawa,8037.89,6448.81,0.09,0.22,68,365,2017-04,YES
Sales Operations,NTB,5968.66,3936.92,0.19,0.19,51,137,2017-04,YES
Sales Operations,Papua,389.66,5799.28,0.3,0.18,2,4,2017-04,NO
Sales Operations,Sumatra,8570.55,5529.14,0.19,0.23,65,143,2017-04,YES
Sales Operations,Bali,8839.81,3670.16,0.14,0.17,70,127,2017-04,YES
Sales Operations,Sulawesi,1588.06,2787.54,0.09,0.23,11,31,2017-04,NO
Sales Operations,Kalimantan,844.07,2436.42,0.19,0.18,3,12,2017-04,NO
Sales Operations,Jawa,9382.94,5960.16,0.08,0.17,82,456,2017-04,YES
Sales Operations,NTB,1926.46,6840.36,0.31,0.22,17,61,2017-04,NO
Sales Operations,Papua,7083.32,6586.5,0.26,0.17,54,102,2017-04,YES
Sales Operations,Sumatra,8102.53,5406.49,0.19,0.18,66,339,2017-04,YES
Sales Operations,Bali,6832.94,5823.71,0.11,0.22,54,128,2017-04,YES
Sales Operations,Sulawesi,1335.66,2298.18,0.21,0.17,9,48,2017-04,NO
Sales Operations,Kalimantan,4129.07,4365.01,0.26,0.2,28,152,2017-04,NO
Sales Operations,Jawa,1872.78,5935.05,0.1,0.19,17,87,2017-04,NO
Sales Operations,NTB,6082.33,2927.72,0.16,0.2,45,117,2017-04,YES
Sales Operations,Papua,7585.42,5324.67,0.26,0.19,58,219,2017-04,YES
Sales Operations,Sumatra,6949.93,3639.02,0.3,0.17,53,243,2017-04,YES
Sales Operations,Bali,5917.98,2341.53,0.3,0.23,50,128,2017-04,YES
Sales Operations,Sulawesi,8691.75,2985.11,0.28,0.17,74,128,2017-04,YES
Sales Operations,Kalimantan,782.29,4823.42,0.26,0.18,5,12,2017-04,NO
Sales Operations,Jawa,2786.63,3611.49,0.1,0.18,23,107,2017-04,NO
Sales Operations,NTB,6104.52,2161.32,0.1,0.19,44,103,2017-05,YES
Sales Operations,Papua,1230.77,2639.42,0.18,0.18,8,34,2017-05,NO
Sales Operations,Sumatra,1101.97,5881.28,0.2,0.21,8,16,2017-05,NO
Sales Operations,Bali,387.78,4380.88,0.12,0.23,3,7,2017-05,NO
Sales Operations,Sulawesi,8196.83,2115.88,0.3,0.19,64,334,2017-05,YES
Sales Operations,Kalimantan,7199.52,6330.36,0.31,0.19,63,134,2017-05,YES
Sales Operations,Jawa,5114.26,4286.91,0.18,0.22,44,179,2017-05,YES
Sales Operations,NTB,1224.99,5283.1,0.26,0.16,11,43,2017-05,NO
Sales Operations,Papua,7747.03,5030.44,0.18,0.24,59,201,2017-05,YES
Sales Operations,Sumatra,9402.84,1761.44,0.2,0.22,84,144,2017-05,YES
Sales Operations,Bali,6192.66,3679.89,0.19,0.22,46,141,2017-05,YES
Sales Operations,Sulawesi,799.44,3944.23,0.17,0.17,6,35,2017-05,NO
Sales Operations,Kalimantan,6662.1,3955.67,0.18,0.17,58,277,2017-05,YES
Sales Operations,Jawa,5862.48,4295.92,0.29,0.19,45,253,2017-05,YES
Sales Operations,NTB,2749.56,6233.18,0.11,0.21,21,80,2017-05,NO
Sales Operations,Papua,2684.61,6061.88,0.15,0.18,22,43,2017-05,NO
Sales Operations,Sumatra,7320.08,6478.33,0.3,0.17,59,171,2017-05,YES
Sales Operations,Bali,6959.95,3423.77,0.2,0.18,58,203,2017-05,YES
Sales Operations,Sulawesi,4908.27,6340.78,0.26,0.17,39,79,2017-05,NO
Sales Operations,Kalimantan,1985.7,4867.89,0.15,0.18,16,68,2017-05,NO
Sales Operations,Jawa,537.29,3926.97,0.12,0.22,2,5,2017-05,NO
Sales Operations,NTB,4590.26,2599.43,0.27,0.24,36,74,2017-05,YES
Sales Operations,Papua,8337.01,5619.04,0.27,0.16,69,371,2017-05,YES
Sales Operations,Sumatra,3117.17,2899.38,0.13,0.23,24,45,2017-05,YES
Sales Operations,Bali,439.26,4383.26,0.3,0.23,2,3,2017-05,NO
Sales Operations,Sulawesi,4108.12,2575.81,0.24,0.22,35,164,2017-05,YES
Sales Operations,Kalimantan,7009.65,4442.14,0.19,0.17,54,219,2017-05,YES
Sales Operations,Jawa,5410.64,3518.04,0.13,0.24,36,89,2017-05,YES
Sales Operations,NTB,7105.55,6308.14,0.24,0.21,51,199,2017-05,YES
Sales Operations,Papua,4322.13,5809.74,0.25,0.21,32,146,2017-05,NO
Sales Operations,Sumatra,5460.81,3013.49,0.14,0.22,38,171,2017-05,YES
Sales Operations,Bali,2162.36,4329.23,0.16,0.2,20,61,2017-06,NO
Sales Operations,Sulawesi,7169.57,3410.45,0.26,0.19,63,217,2017-06,YES
Sales Operations,Kalimantan,4207.58,1839.37,0.22,0.16,30,64,2017-06,YES
Sales Operations,Jawa,8997.61,6064.59,0.18,0.22,71,235,2017-06,YES
Sales Operations,NTB,8122.69,2745.55,0.14,0.17,75,293,2017-06,YES
Sales Operations,Papua,8262.63,4344.48,0.18,0.23,68,270,2017-06,YES
Sales Operations,Sumatra,6037.89,4170.24,0.24,0.18,46,227,2017-06,YES
Sales Operations,Bali,5050.83,6601.98,0.27,0.21,39,164,2017-06,NO
Sales Operations,Sulawesi,9094.12,5950.74,0.3,0.18,81,403,2017-06,YES
Sales Operations,Kalimantan,6536.75,2067.11,0.26,0.21,54,106,2017-06,YES
Sales Operations,Jawa,8191.66,6682.42,0.13,0.21,68,123,2017-06,YES
Sales Operations,NTB,7364.74,5724.06,0.25,0.2,59,234,2017-06,YES
Sales Operations,Papua,1248.48,6405.09,0.2,0.18,9,36,2017-06,NO
Sales Operations,Sumatra,7765.65,5712.93,0.11,0.18,57,189,2017-06,YES
Sales Operations,Bali,5001.7,2662.76,0.18,0.22,38,152,2017-06,YES
Sales Operations,Sulawesi,9390.3,6323.56,0.1,0.17,87,493,2017-06,YES
Sales Operations,Kalimantan,8232.08,1778.01,0.08,0.22,71,154,2017-06,YES
Sales Operations,Jawa,8723.29,3601.92,0.24,0.22,69,362,2017-06,YES
Sales Operations,NTB,6935.66,5912.12,0.29,0.19,51,154,2017-06,YES
Sales Operations,Papua,6253.34,5680.14,0.1,0.2,51,250,2017-06,YES
Sales Operations,Sumatra,352.48,5696.54,0.2,0.22,2,6,2017-06,NO
Sales Operations,Bali,277.42,3149.61,0.08,0.19,3,14,2017-06,NO
Sales Operations,Sulawesi,6949.09,4531.33,0.16,0.21,59,331,2017-06,YES
Sales Operations,Kalimantan,5229.99,2228.7,0.27,0.16,42,239,2017-06,YES
Sales Operations,Jawa,2881.53,3446.06,0.1,0.18,22,82,2017-06,NO
Sales Operations,NTB,4602.87,4209.75,0.1,0.19,35,201,2017-06,YES
Sales Operations,Papua,2703.9,3225.9,0.2,0.18,21,105,2017-06,NO
Sales Operations,Sumatra,8489.81,4665.08,0.08,0.18,74,405,2017-06,YES
Sales Operations,Bali,2450.29,5344.26,0.19,0.22,18,81,2017-06,NO
Sales Operations,Sulawesi,1407.23,6194.98,0.28,0.21,8,16,2017-06,NO
Sales Operations,Kalimantan,8887.94,6230.98,0.19,0.19,72,168,2017-07,YES
Sales Operations,Jawa,6377.5,4458.47,0.24,0.22,56,158,2017-07,YES
Sales Operations,NTB,6570.84,6013.9,0.17,0.21,57,157,2017-07,YES
Sales Operations,Papua,4816.17,5140.79,0.18,0.22,38,178,2017-07,NO
Sales Operations,Sumatra,551.13,6663.23,0.18,0.19,2,7,2017-07,NO
Sales Operations,Bali,9218.68,5701.45,0.32,0.18,80,246,2017-07,YES
Sales Operations,Sulawesi,9329.07,3427.07,0.25,0.23,75,347,2017-07,YES
Sales Operations,Kalimantan,5685.39,6449.31,0.15,0.18,46,265,2017-07,NO
Sales Operations,Jawa,2688.85,4218.13,0.18,0.17,22,91,2017-07,NO
Sales Operations,NTB,7059.46,2860.55,0.1,0.18,58,269,2017-07,YES
Sales Operations,Papua,6701.72,2589.52,0.25,0.22,53,246,2017-07,YES
Sales Operations,Sumatra,280.38,1869.64,0.24,0.16,3,10,2017-07,NO
Sales Operations,Bali,331.37,4964.88,0.23,0.23,2,4,2017-07,NO
Sales Operations,Sulawesi,4887.07,6487.17,0.26,0.22,36,147,2017-07,NO
Sales Operations,Kalimantan,4579.66,5371.52,0.14,0.18,35,106,2017-07,NO
Sales Operations,Jawa,2212.63,6380.61,0.17,0.22,15,68,2017-07,NO
Sales Operations,NTB,7379.28,6327.96,0.22,0.22,65,325,2017-07,YES
Sales Operations,Papua,1294.27,6099.7,0.26,0.19,10,56,2017-07,NO
Sales Operations,Sumatra,384.94,6583.19,0.24,0.18,2,3,2017-07,NO
Sales Operations,Bali,4757.27,5518.7,0.22,0.18,35,93,2017-07,NO
Sales Operations,Sulawesi,6981.19,5161.44,0.21,0.24,56,101,2017-07,YES
Sales Operations,Kalimantan,8127.48,3118.98,0.12,0.2,68,137,2017-07,YES
Sales Operations,Jawa,7997.6,2817.6,0.15,0.18,72,393,2017-07,YES
Sales Operations,NTB,8668.74,6744.21,0.27,0.19,68,329,2017-07,YES
Sales Operations,Papua,4494.87,1853.6,0.12,0.2,38,120,2017-07,YES
Sales Operations,Sumatra,8961.84,4688.29,0.14,0.18,71,315,2017-07,YES
Sales Operations,Bali,6965.51,6386.03,0.29,0.16,52,93,2017-07,YES
Sales Operations,Sulawesi,6377.34,6818.6,0.12,0.18,53,287,2017-07,NO
Sales Operations,Kalimantan,3611.97,6357.54,0.15,0.17,28,104,2017-07,NO
Sales Operations,Jawa,7848.5,6494.46,0.18,0.18,66,263,2017-07,YES
Sales Operations,NTB,9196.44,5199.88,0.22,0.21,78,365,2017-07,YES
Sales Operations,Papua,8030.78,3699.22,0.1,0.21,69,317,2017-08,YES
Sales Operations,Sumatra,2244.34,4499.48,0.21,0.2,15,34,2017-08,NO
Sales Operations,Bali,4996.77,6887.52,0.27,0.22,38,86,2017-08,NO
Sales Operations,Sulawesi,306.75,5825.97,0.15,0.19,2,5,2017-08,NO
Sales Operations,Kalimantan,7655.63,4040.67,0.32,0.19,60,284,2017-08,YES
Sales Operations,Jawa,739.93,6117.78,0.22,0.19,3,6,2017-08,NO
Sales Operations,NTB,1456.11,3681.56,0.09,0.17,8,23,2017-08,NO
Sales Operations,Papua,7545.43,1908.76,0.13,0.22,63,140,2017-08,YES
