Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Sales Support,NTB,6613.21,3920.9,0.27,0.29,58,122,2017-01,YES
Sales Support,Papua,192.99,3692.46,0.14,0.38,3,13,2017-01,NO
Sales Support,Sumatra,9982.58,7074.48,0.45,0.29,77,206,2017-01,YES
Sales Support,Bali,1269.2,4978.9,0.23,0.34,10,29,2017-01,NO
Sales Support,Sulawesi,9681.75,2519.77,0.51,0.29,82,275,2017-01,YES
Sales Support,Kalimantan,7778.55,6196.58,0.17,0.31,59,139,2017-01,YES
Sales Support,Jawa,461.16,5481.68,0.18,0.33,2,6,2017-01,NO
Sales Support,NTB,2900.36,6655.22,0.45,0.27,23,70,2017-01,NO
Sales Support,Papua,936.07,5406.97,0.16,0.27,9,39,2017-01,NO
Sales Support,Sumatra,9447.6,2891.25,0.36,0.34,81,215,2017-01,YES
Sales Support,Bali,5766.41,4923.91,0.31,0.3,46,212,2017-01,YES
Sales Support,Sulawesi,9297.35,5677.46,0.2,0.31,83,164,2017-01,YES
Sales Support,Kalimantan,6983.76,5154.88,0.45,0.38,59,211,2017-01,YES
Sales Support,Jawa,2592.4,3690.29,0.2,0.27,21,49,2017-01,NO
Sales Support,NTB,6826.02,3131.35,0.17,0.36,50,200,2017-01,YES
Sales Support,Papua,6007.44,5092.21,0.4,0.31,44,200,2017-01,YES
Sales Support,Sumatra,3658.94,5883.61,0.33,0.29,27,88,2017-01,NO
Sales Support,Bali,5585.41,3609.96,0.44,0.33,45,187,2017-01,YES
Sales Support,Sulawesi,6903.2,2352.8,0.51,0.27,50,114,2017-01,YES
Sales Support,Kalimantan,10277.29,3413.91,0.51,0.38,78,139,2017-01,YES
Sales Support,Jawa,8510.17,2286.17,0.51,0.34,64,187,2017-01,YES
Sales Support,NTB,4070.49,5327.96,0.22,0.38,30,101,2017-01,NO
Sales Support,Papua,7142.5,2021.64,0.31,0.39,59,299,2017-01,YES
Sales Support,Sumatra,6410.97,5167.64,0.22,0.35,57,148,2017-01,YES
Sales Support,Bali,3239.51,5931.71,0.13,0.35,26,64,2017-01,NO
Sales Support,Sulawesi,8978.01,6964.4,0.27,0.35,69,350,2017-01,YES
Sales Support,Kalimantan,8332.63,7009.19,0.35,0.39,72,173,2017-01,YES
Sales Support,Jawa,5667.55,5476.41,0.16,0.26,51,103,2017-01,YES
Sales Support,NTB,6121.43,6096.66,0.4,0.31,50,242,2017-01,YES
Sales Support,Papua,964.79,3285.55,0.22,0.34,9,48,2017-01,NO
Sales Support,Sumatra,9949.44,4289.44,0.13,0.3,87,176,2017-01,YES
Sales Support,Bali,1043.94,2624.24,0.18,0.3,8,19,2017-02,NO
Sales Support,Sulawesi,3028.64,4897.73,0.26,0.35,24,133,2017-02,NO
Sales Support,Kalimantan,1860.47,4097.85,0.25,0.35,16,83,2017-02,NO
Sales Support,Jawa,3881.09,5707.41,0.43,0.39,33,143,2017-02,NO
Sales Support,NTB,4956.18,4022.81,0.2,0.38,35,140,2017-02,YES
Sales Support,Papua,8282.49,5807.28,0.42,0.3,65,362,2017-02,YES
Sales Support,Sumatra,3170.36,4185.75,0.35,0.27,24,115,2017-02,NO
Sales Support,Bali,8744.11,6705.52,0.51,0.31,75,304,2017-02,YES
Sales Support,Sulawesi,7586.7,4944.21,0.48,0.27,63,175,2017-02,YES
Sales Support,Kalimantan,7841.48,2842.89,0.52,0.39,66,120,2017-02,YES
Sales Support,Jawa,1794.23,3619.27,0.33,0.27,14,57,2017-02,NO
Sales Support,NTB,9208.04,3550.0,0.18,0.36,72,367,2017-02,YES
Sales Support,Papua,1891.6,6165.33,0.33,0.36,14,38,2017-02,NO
Sales Support,Sumatra,1339.73,2468.78,0.21,0.29,10,52,2017-02,NO
Sales Support,Bali,4344.8,2130.19,0.23,0.3,36,65,2017-02,YES
Sales Support,Sulawesi,649.96,2793.9,0.18,0.35,5,19,2017-02,NO
Sales Support,Kalimantan,3077.58,6630.44,0.44,0.33,24,98,2017-02,NO
Sales Support,Jawa,2045.89,2254.88,0.33,0.31,17,95,2017-02,NO
Sales Support,NTB,6106.98,5808.17,0.16,0.38,51,237,2017-02,YES
Sales Support,Papua,4595.89,6590.06,0.18,0.35,35,173,2017-02,NO
Sales Support,Sumatra,6791.66,6564.0,0.33,0.31,56,160,2017-02,YES
Sales Support,Bali,1375.16,4580.27,0.18,0.34,9,42,2017-02,NO
Sales Support,Sulawesi,834.97,3117.46,0.16,0.26,4,17,2017-02,NO
Sales Support,Kalimantan,285.49,6545.51,0.22,0.27,2,6,2017-02,NO
Sales Support,Jawa,2497.74,2432.87,0.23,0.29,18,85,2017-02,YES
Sales Support,NTB,996.57,2809.37,0.17,0.27,5,28,2017-02,NO
Sales Support,Papua,7697.3,6414.28,0.29,0.38,60,287,2017-02,YES
Sales Support,Sumatra,3941.6,2374.52,0.2,0.27,32,176,2017-02,YES
Sales Support,Bali,903.66,7096.06,0.21,0.33,9,36,2017-03,NO
Sales Support,Sulawesi,1751.18,2083.92,0.27,0.27,14,59,2017-03,NO
Sales Support,Kalimantan,3708.17,3673.28,0.36,0.26,30,155,2017-03,YES
Sales Support,Jawa,10076.08,4687.03,0.44,0.34,78,157,2017-03,YES
Sales Support,NTB,513.0,6165.66,0.13,0.3,2,6,2017-03,NO
Sales Support,Papua,5359.54,7205.82,0.27,0.31,40,128,2017-03,NO
Sales Support,Sumatra,6545.4,7416.06,0.33,0.35,59,306,2017-03,NO
Sales Support,Bali,5959.14,4059.81,0.36,0.38,46,139,2017-03,YES
Sales Support,Sulawesi,1258.0,2174.14,0.3,0.29,9,29,2017-03,NO
Sales Support,Kalimantan,890.84,2482.7,0.44,0.36,6,12,2017-03,NO
Sales Support,Jawa,3778.93,2915.4,0.36,0.34,29,72,2017-03,YES
Sales Support,NTB,1040.4,2686.71,0.49,0.29,6,21,2017-03,NO
Sales Support,Papua,5909.47,7303.61,0.48,0.35,44,205,2017-03,NO
Sales Support,Sumatra,4070.62,2944.67,0.4,0.38,32,94,2017-03,YES
Sales Support,Bali,1197.76,6630.81,0.36,0.36,8,39,2017-03,NO
Sales Support,Sulawesi,5083.98,6872.99,0.18,0.38,40,67,2017-03,NO
Sales Support,Kalimantan,6590.13,6703.91,0.16,0.38,54,239,2017-03,NO
Sales Support,Jawa,6704.19,3509.15,0.16,0.38,51,206,2017-03,YES
Sales Support,NTB,8687.46,4376.59,0.17,0.27,75,191,2017-03,YES
Sales Support,Papua,7140.46,3246.52,0.18,0.3,65,120,2017-03,YES
Sales Support,Sumatra,477.92,6446.65,0.22,0.38,2,3,2017-03,NO
Sales Support,Bali,10055.2,4365.26,0.35,0.3,84,301,2017-03,YES
Sales Support,Sulawesi,3991.52,4453.43,0.14,0.34,32,72,2017-03,NO
Sales Support,Kalimantan,10257.87,4129.78,0.22,0.35,80,204,2017-03,YES
Sales Support,Jawa,1035.63,5250.59,0.47,0.38,5,20,2017-03,NO
Sales Support,NTB,9077.56,6178.02,0.29,0.26,83,395,2017-03,YES
Sales Support,Papua,2113.37,6712.63,0.43,0.3,16,30,2017-03,NO
Sales Support,Sumatra,6832.93,6354.81,0.16,0.27,57,202,2017-03,YES
Sales Support,Bali,7794.68,5545.22,0.18,0.33,62,268,2017-03,YES
Sales Support,Sulawesi,1366.68,2836.47,0.31,0.35,9,26,2017-03,NO
Sales Support,Kalimantan,2408.13,6977.33,0.26,0.34,16,64,2017-03,NO
Sales Support,Jawa,8765.47,4338.04,0.29,0.36,66,197,2017-04,YES
Sales Support,NTB,7840.04,2770.7,0.14,0.36,63,257,2017-04,YES
Sales Support,Papua,1409.01,5083.03,0.14,0.29,9,48,2017-04,NO
Sales Support,Sumatra,4604.92,4202.28,0.47,0.3,34,126,2017-04,YES
