Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Sales Training,Papua,7309.58,2129.34,0.22,0.3,66,324,2017-01,YES
Sales Training,Sumatra,3204.12,5460.35,0.36,0.29,24,67,2017-01,NO
Sales Training,Bali,2712.44,7057.07,0.3,0.38,21,49,2017-01,NO
Sales Training,Sulawesi,6798.11,1915.93,0.45,0.3,59,238,2017-01,YES
Sales Training,Kalimantan,3505.52,6726.21,0.51,0.3,28,144,2017-01,NO
Sales Training,Jawa,4376.69,5408.77,0.21,0.35,35,140,2017-01,NO
Sales Training,NTB,4274.35,2798.88,0.31,0.27,29,82,2017-01,YES
Sales Training,Papua,7604.99,7294.1,0.23,0.36,59,173,2017-01,YES
Sales Training,Sumatra,4932.23,4345.68,0.21,0.27,36,166,2017-01,YES
Sales Training,Bali,9798.52,7485.61,0.39,0.3,87,163,2017-01,YES
Sales Training,Sulawesi,3046.36,3548.69,0.36,0.39,23,131,2017-01,NO
Sales Training,Kalimantan,2621.69,6998.46,0.18,0.33,20,55,2017-01,NO
Sales Training,Jawa,9965.15,6390.56,0.27,0.36,80,160,2017-01,YES
Sales Training,NTB,1649.84,2602.04,0.23,0.29,14,34,2017-01,NO
Sales Training,Papua,7771.67,6747.21,0.42,0.39,65,371,2017-01,YES
Sales Training,Sumatra,8611.4,6399.62,0.16,0.38,68,214,2017-01,YES
Sales Training,Bali,8373.47,5532.71,0.26,0.33,66,288,2017-01,YES
Sales Training,Sulawesi,4611.56,4179.38,0.39,0.29,35,116,2017-01,YES
Sales Training,Kalimantan,353.35,4766.36,0.22,0.27,3,7,2017-01,NO
Sales Training,Jawa,3285.5,5256.32,0.3,0.35,26,43,2017-01,NO
Sales Training,NTB,5763.69,5308.72,0.17,0.3,44,146,2017-01,YES
Sales Training,Papua,3932.93,5026.22,0.26,0.33,33,152,2017-01,NO
Sales Training,Sumatra,3217.72,6453.26,0.27,0.35,26,114,2017-01,NO
Sales Training,Bali,4659.09,3312.19,0.31,0.29,34,162,2017-01,YES
Sales Training,Sulawesi,2055.12,2661.68,0.26,0.29,15,44,2017-01,NO
Sales Training,Kalimantan,4320.35,6190.56,0.43,0.39,30,73,2017-01,NO
Sales Training,Jawa,4395.74,2710.01,0.27,0.36,34,105,2017-01,YES
Sales Training,NTB,6673.97,4627.2,0.2,0.36,50,258,2017-01,YES
Sales Training,Papua,938.76,7070.08,0.48,0.34,6,21,2017-01,NO
Sales Training,Sumatra,4035.93,2651.73,0.25,0.33,34,142,2017-01,YES
Sales Training,Bali,6834.77,3865.74,0.38,0.26,54,290,2017-01,YES
Sales Training,Sulawesi,6121.12,3825.94,0.45,0.34,46,253,2017-02,YES
Sales Training,Kalimantan,7372.07,5425.63,0.2,0.27,58,258,2017-02,YES
Sales Training,Jawa,6757.88,2764.81,0.49,0.3,56,194,2017-02,YES
Sales Training,NTB,6191.12,4838.86,0.51,0.39,50,172,2017-02,YES
Sales Training,Papua,1227.46,5095.09,0.42,0.29,11,22,2017-02,NO
Sales Training,Sumatra,8476.04,2292.25,0.35,0.31,70,247,2017-02,YES
Sales Training,Bali,1934.08,3077.84,0.21,0.3,17,68,2017-02,NO
Sales Training,Sulawesi,7434.58,7031.87,0.45,0.3,63,157,2017-02,YES
Sales Training,Kalimantan,932.31,6621.81,0.25,0.3,5,22,2017-02,NO
Sales Training,Jawa,9313.2,5883.55,0.33,0.38,83,312,2017-02,YES
Sales Training,NTB,2086.99,3059.16,0.45,0.35,14,61,2017-02,NO
Sales Training,Papua,3204.43,2479.1,0.16,0.39,23,109,2017-02,YES
Sales Training,Sumatra,8061.35,4610.25,0.38,0.29,72,357,2017-02,YES
Sales Training,Bali,6884.11,3388.19,0.36,0.27,54,290,2017-02,YES
Sales Training,Sulawesi,3812.2,2033.84,0.4,0.36,32,84,2017-02,YES
Sales Training,Kalimantan,7863.02,3117.33,0.26,0.36,62,310,2017-02,YES
Sales Training,Jawa,1353.82,3850.16,0.31,0.34,9,21,2017-02,NO
Sales Training,NTB,6410.28,5589.17,0.33,0.34,59,193,2017-02,YES
Sales Training,Papua,6557.93,4303.87,0.14,0.35,53,135,2017-02,YES
Sales Training,Sumatra,5904.24,3918.99,0.25,0.31,47,211,2017-02,YES
Sales Training,Bali,5457.64,6531.29,0.45,0.3,39,147,2017-02,NO
Sales Training,Sulawesi,4430.82,2711.92,0.17,0.33,38,168,2017-02,YES
Sales Training,Kalimantan,7332.0,2774.69,0.51,0.26,57,144,2017-02,YES
Sales Training,Jawa,870.09,5430.66,0.52,0.35,8,27,2017-02,NO
Sales Training,NTB,2315.43,5807.2,0.27,0.38,20,73,2017-02,NO
Sales Training,Papua,9947.51,4196.97,0.21,0.26,82,186,2017-02,YES
Sales Training,Sumatra,2845.61,4243.31,0.22,0.36,22,68,2017-02,NO
Sales Training,Bali,2978.24,2543.96,0.44,0.26,23,105,2017-02,YES
Sales Training,Sulawesi,5959.45,6568.66,0.39,0.33,52,286,2017-03,NO
Sales Training,Kalimantan,8837.51,1993.87,0.45,0.35,70,220,2017-03,YES
Sales Training,Jawa,2676.46,2274.35,0.43,0.3,20,75,2017-03,YES
Sales Training,NTB,5538.95,3745.32,0.29,0.29,41,165,2017-03,YES
Sales Training,Papua,5265.1,5268.07,0.4,0.31,36,101,2017-03,NO
Sales Training,Sumatra,7449.11,2565.82,0.17,0.31,62,319,2017-03,YES
Sales Training,Bali,7208.96,3413.15,0.34,0.33,66,331,2017-03,YES
Sales Training,Sulawesi,9164.12,3857.8,0.51,0.3,87,146,2017-03,YES
Sales Training,Kalimantan,2662.1,2272.1,0.36,0.3,22,53,2017-03,YES
Sales Training,Jawa,5991.57,4604.92,0.36,0.33,52,117,2017-03,YES
Sales Training,NTB,4797.1,6302.64,0.36,0.31,35,175,2017-03,NO
Sales Training,Papua,4702.33,6408.84,0.23,0.35,39,196,2017-03,NO
Sales Training,Sumatra,9795.5,5455.48,0.4,0.27,81,344,2017-03,YES
Sales Training,Bali,5591.62,7268.56,0.16,0.33,44,92,2017-03,NO
Sales Training,Sulawesi,1407.8,2665.18,0.29,0.35,9,26,2017-03,NO
Sales Training,Kalimantan,8061.71,3703.56,0.17,0.35,66,254,2017-03,YES
Sales Training,Jawa,433.99,4426.39,0.43,0.38,3,7,2017-03,NO
Sales Training,NTB,5450.72,5394.79,0.25,0.39,39,85,2017-03,YES
Sales Training,Papua,4656.36,5742.24,0.42,0.38,34,190,2017-03,NO
Sales Training,Sumatra,2842.56,7241.04,0.45,0.33,22,118,2017-03,NO
Sales Training,Bali,3336.84,3908.19,0.45,0.38,27,102,2017-03,NO
Sales Training,Sulawesi,7311.2,5000.86,0.14,0.3,60,131,2017-03,YES
Sales Training,Kalimantan,8877.46,4941.82,0.51,0.26,74,289,2017-03,YES
Sales Training,Jawa,4594.55,4662.89,0.45,0.36,34,71,2017-03,NO
Sales Training,NTB,8310.01,5571.09,0.2,0.38,69,355,2017-03,YES
Sales Training,Papua,2770.33,2378.85,0.45,0.29,23,44,2017-03,YES
Sales Training,Sumatra,1373.47,5907.57,0.3,0.38,9,36,2017-03,NO
Sales Training,Bali,2853.48,3629.87,0.48,0.3,21,83,2017-03,NO
Sales Training,Sulawesi,1986.68,7291.73,0.47,0.27,17,81,2017-03,NO
Sales Training,Kalimantan,2079.49,2911.45,0.42,0.34,17,72,2017-03,NO
Sales Training,Jawa,9679.0,3819.43,0.4,0.26,74,381,2017-03,YES
Sales Training,NTB,3140.21,4351.56,0.33,0.35,24,101,2017-04,NO
Sales Training,Papua,7517.07,6028.14,0.18,0.39,63,246,2017-04,YES
Sales Training,Sumatra,2336.76,4530.37,0.42,0.38,20,82,2017-04,NO
Sales Training,Bali,9160.33,4366.8,0.44,0.34,78,431,2017-04,YES
Sales Training,Sulawesi,4030.1,3845.56,0.38,0.34,33,94,2017-04,YES
Sales Training,Kalimantan,4191.16,6757.46,0.35,0.33,34,99,2017-04,NO
Sales Training,Jawa,524.28,3631.38,0.45,0.27,3,11,2017-04,NO
Sales Training,NTB,4419.69,2783.36,0.31,0.36,38,164,2017-04,YES
Sales Training,Papua,1010.13,4515.26,0.39,0.27,5,12,2017-04,NO
Sales Training,Sumatra,6811.59,4522.77,0.33,0.36,52,183,2017-04,YES
Sales Training,Bali,5021.76,2258.18,0.51,0.38,44,94,2017-04,YES
Sales Training,Sulawesi,7755.42,4594.41,0.16,0.33,65,264,2017-04,YES
Sales Training,Kalimantan,1216.41,4883.18,0.52,0.38,9,37,2017-04,NO
Sales Training,Jawa,2576.0,2310.97,0.42,0.3,23,83,2017-04,YES
Sales Training,NTB,2828.95,4429.92,0.39,0.3,23,46,2017-04,NO
Sales Training,Papua,1166.17,4805.42,0.13,0.34,8,38,2017-04,NO
Sales Training,Sumatra,7801.68,5577.13,0.17,0.31,60,167,2017-04,YES
Sales Training,Bali,8564.23,4652.06,0.4,0.31,66,213,2017-04,YES
Sales Training,Sulawesi,6844.03,6239.74,0.47,0.35,54,216,2017-04,YES
Sales Training,Kalimantan,2583.99,2928.23,0.25,0.36,21,42,2017-04,NO
Sales Training,Jawa,1759.03,2581.69,0.27,0.35,11,21,2017-04,NO
Sales Training,NTB,1378.67,3552.18,0.25,0.29,10,34,2017-04,NO
Sales Training,Papua,3645.84,7355.69,0.42,0.31,28,103,2017-04,NO
Sales Training,Sumatra,1403.83,5166.12,0.48,0.35,8,41,2017-04,NO
Sales Training,Bali,3699.62,5270.57,0.27,0.27,29,94,2017-04,NO
Sales Training,Sulawesi,7628.6,3772.4,0.4,0.29,66,370,2017-04,YES
Sales Training,Kalimantan,4471.63,5766.25,0.29,0.36,39,73,2017-04,NO
Sales Training,Jawa,7060.2,6791.49,0.35,0.36,52,110,2017-04,YES
Sales Training,NTB,9127.44,6406.79,0.39,0.36,78,257,2017-04,YES
Sales Training,Papua,4860.27,2397.11,0.31,0.34,35,159,2017-04,YES
Sales Training,Sumatra,8924.26,2510.02,0.51,0.31,69,213,2017-05,YES
