Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,YearMonth,KPi Achieved
Strategic Partnerships,Sulawesi,993.8,3179.35,0.17,0.3,6,18,2017-01,NO
Strategic Partnerships,Kalimantan,7895.28,4901.16,0.43,0.33,62,264,2017-01,YES
Strategic Partnerships,Jawa,5750.34,2156.1,0.52,0.36,47,248,2017-01,YES
Strategic Partnerships,NTB,6893.27,7145.04,0.18,0.27,53,95,2017-01,NO
Strategic Partnerships,Papua,6671.81,4116.6,0.51,0.33,54,252,2017-01,YES
Strategic Partnerships,Sumatra,5184.76,3242.22,0.39,0.26,44,87,2017-01,YES
Strategic Partnerships,Bali,6477.48,2023.44,0.29,0.34,50,178,2017-01,YES
Strategic Partnerships,Sulawesi,5627.48,4587.32,0.3,0.35,38,127,2017-01,YES
Strategic Partnerships,Kalimantan,9700.21,4554.94,0.45,0.31,72,334,2017-01,YES
Strategic Partnerships,Jawa,593.9,6119.21,0.31,0.35,6,32,2017-01,NO
Strategic Partnerships,NTB,5136.88,2706.52,0.34,0.3,44,110,2017-01,YES
Strategic Partnerships,Papua,2754.6,3305.91,0.13,0.36,22,123,2017-01,NO
Strategic Partnerships,Sumatra,327.9,4885.4,0.31,0.35,2,7,2017-01,NO
Strategic Partnerships,Bali,6869.69,2016.78,0.13,0.36,59,152,2017-01,YES
Strategic Partnerships,Sulawesi,6256.61,3846.84,0.35,0.29,45,235,2017-01,YES
Strategic Partnerships,Kalimantan,614.82,1977.25,0.49,0.38,3,7,2017-01,NO
Strategic Partnerships,Jawa,1712.23,2219.49,0.17,0.38,14,66,2017-01,NO
Strategic Partnerships,NTB,4677.51,3472.14,0.42,0.31,39,99,2017-01,YES
Strategic Partnerships,Papua,4526.29,5324.77,0.22,0.31,34,176,2017-01,NO
Strategic Partnerships,Sumatra,3740.92,2109.87,0.47,0.31,30,75,2017-01,YES
Strategic Partnerships,Bali,10291.9,5909.17,0.34,0.36,80,273,2017-01,YES
Strategic Partnerships,Sulawesi,2891.02,3264.32,0.17,0.3,22,39,2017-01,NO
Strategic Partnerships,Kalimantan,10092.8,5150.07,0.44,0.35,87,260,2017-01,YES
Strategic Partnerships,Jawa,5631.58,7111.86,0.4,0.27,39,130,2017-01,NO
Strategic Partnerships,NTB,2823.42,3194.68,0.43,0.39,20,112,2017-01,NO
Strategic Partnerships,Papua,6716.29,4232.76,0.52,0.31,50,232,2017-01,YES
Strategic Partnerships,Sumatra,4973.9,6641.9,0.25,0.35,36,144,2017-01,NO
Strategic Partnerships,Bali,1898.27,5917.28,0.33,0.38,16,37,2017-01,NO
Strategic Partnerships,Sulawesi,519.8,7087.95,0.25,0.39,2,4,2017-01,NO
Strategic Partnerships,Kalimantan,826.75,4313.15,0.3,0.33,6,34,2017-01,NO
Strategic Partnerships,Jawa,10130.28,5676.7,0.29,0.36,75,190,2017-01,YES
Strategic Partnerships,NTB,8413.13,5836.84,0.25,0.34,72,289,2017-02,YES
Strategic Partnerships,Papua,2275.89,3034.2,0.16,0.31,20,51,2017-02,NO
Strategic Partnerships,Sumatra,6804.3,3278.19,0.27,0.38,50,143,2017-02,YES
Strategic Partnerships,Bali,9628.06,2613.23,0.47,0.34,75,387,2017-02,YES
Strategic Partnerships,Sulawesi,5330.81,2119.31,0.47,0.29,40,196,2017-02,YES
Strategic Partnerships,Kalimantan,9934.29,3201.72,0.23,0.3,78,250,2017-02,YES
Strategic Partnerships,Jawa,9117.56,2066.6,0.38,0.29,80,425,2017-02,YES
Strategic Partnerships,NTB,408.72,5166.4,0.49,0.36,2,4,2017-02,NO
Strategic Partnerships,Papua,9807.36,2288.71,0.2,0.31,77,333,2017-02,YES
Strategic Partnerships,Sumatra,8278.79,5677.03,0.38,0.27,72,377,2017-02,YES
Strategic Partnerships,Bali,7864.76,6742.14,0.45,0.33,62,169,2017-02,YES
Strategic Partnerships,Sulawesi,6662.84,6710.13,0.23,0.35,51,235,2017-02,NO
Strategic Partnerships,Kalimantan,6601.22,1898.47,0.23,0.36,52,139,2017-02,YES
Strategic Partnerships,Jawa,8584.1,2461.19,0.42,0.27,64,281,2017-02,YES
Strategic Partnerships,NTB,10027.56,2605.77,0.49,0.27,76,359,2017-02,YES
Strategic Partnerships,Papua,9936.46,3511.79,0.34,0.35,86,392,2017-02,YES
Strategic Partnerships,Sumatra,6931.37,4216.55,0.42,0.36,51,96,2017-02,YES
Strategic Partnerships,Bali,3807.01,6275.12,0.26,0.29,32,93,2017-02,NO
Strategic Partnerships,Sulawesi,5593.74,5474.23,0.38,0.36,42,71,2017-02,YES
Strategic Partnerships,Kalimantan,236.04,3254.53,0.22,0.35,2,7,2017-02,NO
Strategic Partnerships,Jawa,5689.93,2848.35,0.39,0.31,50,99,2017-02,YES
Strategic Partnerships,NTB,6401.56,2091.23,0.44,0.33,53,265,2017-02,YES
Strategic Partnerships,Papua,1107.99,2688.18,0.49,0.31,6,19,2017-02,NO
Strategic Partnerships,Sumatra,2511.52,3645.14,0.51,0.33,20,103,2017-02,NO
Strategic Partnerships,Bali,3013.92,2882.26,0.18,0.34,26,102,2017-02,YES
Strategic Partnerships,Sulawesi,7544.1,5589.92,0.49,0.35,57,233,2017-02,YES
Strategic Partnerships,Kalimantan,9385.75,6407.34,0.4,0.3,77,441,2017-02,YES
Strategic Partnerships,Jawa,611.7,6272.01,0.31,0.34,6,30,2017-02,NO
