YearMonth,Revenue
2017-01,3271.22
2017-02,3977.0299999999997
2017-03,3477.38
2017-04,4012.755
2017-05,4151.45
2017-06,3313.395
2017-07,3459.83
2017-08,3928.06
2017-09,3904.985
2017-10,3268.76
2017-11,3476.085
2017-12,2838.1
2018-01,6995.07
2018-02,9609.255000000001
2018-03,8141.67
2018-04,7288.719999999999
2018-05,6714.7
2018-06,7556.975
2018-07,7891.27
2018-08,8558.53
2018-09,7857.975
2018-10,5679.09
2018-11,7791.045
2018-12,6725.07
2019-01,4599.3
2019-02,6663.88
2019-03,5904.54
2019-04,5888.025
2019-05,4716.87
2019-06,6179.525
2019-07,4878.19
2019-08,4185.66
2019-09,3831.415
2019-10,4910.94
2019-11,5001.385
2019-12,5376.67
2020-01,7311.54
2020-02,6832.55
2020-03,4013.63
2020-04,0.0
2020-05,0.0
2020-06,2058.27
2020-07,2582.58
2020-08,3645.35
2020-09,3906.7799999999997
2020-10,5462.5
2020-11,6464.855
2020-12,7707.89
2021-01,1522.92
2021-02,1179.83
2021-03,1379.96
2021-04,1763.3000000000002
2021-05,1680.16
2021-06,2113.955
2021-07,1868.13
2021-08,2310.02
2021-09,1998.77
2021-10,2314.67
2021-11,1807.245
2021-12,3687.46
2022-01,1186.52
2022-02,1446.09
2022-03,1297.55
2022-04,1472.415
2022-05,994.44
2022-06,1019.065
2022-07,1353.18
2022-08,1383.13
2022-09,993.685
2022-10,1585.6
2022-11,2328.84
2022-12,1803.54
