YearMonth,Revenue
2017-01,3138.13
2017-02,2766.01
2017-03,2670.0
2017-04,2966.72
2017-05,4077.62
2017-06,4099.225
2017-07,3726.07
2017-08,3371.76
2017-09,3164.25
2017-10,3864.41
2017-11,2349.16
2017-12,2078.29
2018-01,8694.68
2018-02,7869.52
2018-03,6618.38
2018-04,7847.64
2018-05,6868.96
2018-06,7161.389999999999
2018-07,7309.89
2018-08,8749.46
2018-09,7259.805
2018-10,7447.05
2018-11,7840.88
2018-12,7627.34
2019-01,4534.62
2019-02,5136.005
2019-03,5299.38
2019-04,5893.005
2019-05,4657.2
2019-06,4923.365
2019-07,3739.9
2019-08,4963.36
2019-09,4110.13
2019-10,5110.44
2019-11,4950.8
2019-12,5957.5
2020-01,5266.85
2020-02,4770.1
2020-03,4650.65
2020-04,0.0
2020-05,0.0
2020-06,1419.21
2020-07,3014.09
2020-08,2741.01
2020-09,4331.99
2020-10,4221.94
2020-11,6002.105
2020-12,5740.84
2021-01,1198.84
2021-02,1068.29
2021-03,1632.98
2021-04,1701.835
2021-05,2120.59
2021-06,1793.525
2021-07,2244.27
2021-08,2066.37
2021-09,2518.745
2021-10,2056.56
2021-11,3031.45
2021-12,2828.97
2022-01,1435.54
2022-02,1593.415
2022-03,1286.34
2022-04,1317.425
2022-05,1399.05
2022-06,1213.8600000000001
2022-07,1285.51
2022-08,1455.57
2022-09,1490.54
2022-10,1361.92
2022-11,2139.56
2022-12,1347.81
