YearMonth,Revenue
2017-01,1074.72
2017-02,2041.415
2017-03,1826.45
2017-04,2008.425
2017-05,1426.48
2017-06,2177.335
2017-07,1770.72
2017-08,2163.24
2017-09,1222.755
2017-10,1811.82
2017-11,1924.445
2017-12,1861.44
2018-01,3235.79
2018-02,3025.105
2018-03,4236.7
2018-04,4206.885
2018-05,2724.55
2018-06,4162.85
2018-07,3946.72
2018-08,3540.31
2018-09,3252.365
2018-10,3907.76
2018-11,3663.92
2018-12,3068.78
2019-01,3078.15
2019-02,2190.9449999999997
2019-03,1918.47
2019-04,2524.87
2019-05,2386.42
2019-06,2134.825
2019-07,2258.62
2019-08,2368.45
2019-09,2847.1850000000004
2019-10,2537.81
2019-11,2473.475
2019-12,2894.72
2020-01,4290.05
2020-02,3064.98
2020-03,1710.24
2020-04,0.0
2020-05,0.0
2020-06,984.635
2020-07,1584.37
2020-08,1752.1
2020-09,2293.63
2020-10,1983.09
2020-11,2813.775
2020-12,2910.87
2021-01,659.73
2021-02,570.865
2021-03,657.79
2021-04,858.405
2021-05,759.33
2021-06,1105.545
2021-07,798.91
2021-08,960.82
2021-09,1162.705
2021-10,1125.22
2021-11,1422.675
2021-12,1559.43
2022-01,829.41
2022-02,805.69
2022-03,744.62
2022-04,778.26
2022-05,647.71
2022-06,694.365
2022-07,443.59
2022-08,607.12
2022-09,487.595
2022-10,763.06
2022-11,1000.8249999999999
2022-12,962.34
