YearMonth,Revenue
2017-01,4385.61
2017-02,3932.5950000000003
2017-03,3259.18
2017-04,3798.59
2017-05,3992.57
2017-06,3831.3599999999997
2017-07,5506.62
2017-08,4597.21
2017-09,3618.67
2017-10,4158.48
2017-11,5078.95
2017-12,4095.43
2018-01,9770.02
2018-02,8360.325
2018-03,7790.62
2018-04,7969.055
2018-05,10931.6
2018-06,9220.905
2018-07,6370.13
2018-08,7141.5
2018-09,10195.795
2018-10,9188.24
2018-11,8940.41
2018-12,9892.06
2019-01,5338.68
2019-02,6613.215
2019-03,7319.32
2019-04,4270.225
2019-05,6660.68
2019-06,4206.275
2019-07,5905.32
2019-08,4841.88
2019-09,5693.34
2019-10,4629.47
2019-11,5042.285
2019-12,5760.89
2020-01,6615.47
2020-02,5965.38
2020-03,3792.58
2020-04,0.0
2020-05,0.0
2020-06,1659.145
2020-07,3063.7
2020-08,3679.02
2020-09,3334.33
2020-10,4163.83
2020-11,6766.535
2020-12,9924.72
2021-01,1934.59
2021-02,1299.535
2021-03,1508.92
2021-04,2536.5550000000003
2021-05,2200.8
2021-06,2158.41
2021-07,2324.34
2021-08,2117.7
2021-09,2559.875
2021-10,2741.8
2021-11,4102.0
2021-12,3421.91
2022-01,1324.02
2022-02,1904.04
2022-03,1419.52
2022-04,1026.25
2022-05,1468.04
2022-06,1382.16
2022-07,1185.78
2022-08,1887.7
2022-09,1204.5749999999998
2022-10,1436.91
2022-11,2037.06
2022-12,2583.7
