YearMonth,Revenue
2017-01,6554.07
2017-02,5905.3099999999995
2017-03,5015.66
2017-04,5526.47
2017-05,4286.76
2017-06,6014.21
2017-07,6413.59
2017-08,4526.34
2017-09,6751.995
2017-10,3843.35
2017-11,4874.6900000000005
2017-12,4755.83
2018-01,9945.41
2018-02,10706.355
2018-03,10688.9
2018-04,14171.955
2018-05,9384.48
2018-06,9659.825
2018-07,13740.32
2018-08,13093.02
2018-09,10016.07
2018-10,10719.47
2018-11,7981.95
2018-12,9740.25
2019-01,7075.51
2019-02,6635.34
2019-03,7641.01
2019-04,6603.505
2019-05,4676.99
2019-06,6369.355
2019-07,6409.63
2019-08,8582.51
2019-09,7621.575000000001
2019-10,6816.51
2019-11,5218.465
2019-12,8448.63
2020-01,7415.15
2020-02,4503.51
2020-03,3585.33
2020-04,0.0
2020-05,0.0
2020-06,2732.96
2020-07,3808.68
2020-08,5595.25
2020-09,4620.105
2020-10,6304.71
2020-11,10556.814999999999
2020-12,11943.79
2021-01,2088.82
2021-02,2104.06
2021-03,2023.06
2021-04,2848.33
2021-05,3288.54
2021-06,4192.595
2021-07,3518.4
2021-08,3565.77
2021-09,2970.145
2021-10,3457.11
2021-11,5066.674999999999
2021-12,5134.15
2022-01,2455.55
2022-02,1852.525
2022-03,2512.15
2022-04,2170.63
2022-05,2260.37
2022-06,2159.74
2022-07,2395.07
2022-08,2340.24
2022-09,1880.07
2022-10,2353.55
2022-11,2515.275
2022-12,3187.36
