YearMonth,Revenue
2017-01,3313.94
2017-02,4569.594999999999
2017-03,4853.69
2017-04,4094.12
2017-05,4402.58
2017-06,4016.955
2017-07,3696.58
2017-08,3998.3
2017-09,3381.56
2017-10,3938.76
2017-11,3331.11
2017-12,3966.47
2018-01,7712.28
2018-02,5133.98
2018-03,5278.59
2018-04,7636.96
2018-05,7794.18
2018-06,9400.29
2018-07,7183.89
2018-08,7162.22
2018-09,7145.775
2018-10,4590.63
2018-11,7892.11
2018-12,7280.35
2019-01,5029.54
2019-02,4485.17
2019-03,5482.6
2019-04,4824.459999999999
2019-05,4477.98
2019-06,4742.52
2019-07,5258.28
2019-08,4789.46
2019-09,5366.715
2019-10,4565.74
2019-11,5693.415
2019-12,5373.68
2020-01,6041.13
2020-02,4550.78
2020-03,4163.74
2020-04,0.0
2020-05,0.0
2020-06,1840.17
2020-07,2681.63
2020-08,3758.13
2020-09,4127.5
2020-10,3141.95
2020-11,4807.91
2020-12,7942.93
2021-01,911.8
2021-02,1239.1999999999998
2021-03,1496.11
2021-04,1391.4099999999999
2021-05,1622.48
2021-06,2305.665
2021-07,1856.22
2021-08,1882.85
2021-09,2301.825
2021-10,2302.22
2021-11,2928.52
2021-12,2733.22
2022-01,1296.66
2022-02,1609.62
2022-03,1365.28
2022-04,1339.89
2022-05,1385.63
2022-06,1451.315
2022-07,1422.87
2022-08,1350.44
2022-09,1498.3249999999998
2022-10,1555.87
2022-11,2151.105
2022-12,2359.25
