YearMonth,Revenue
2017-01,4443.49
2017-02,5497.355
2017-03,5060.53
2017-04,4646.8150000000005
2017-05,4511.09
2017-06,5745.705
2017-07,4923.09
2017-08,3571.1
2017-09,5215.26
2017-10,3335.76
2017-11,5363.3099999999995
2017-12,6871.9
2018-01,10482.23
2018-02,6870.77
2018-03,11847.44
2018-04,14455.880000000001
2018-05,11960.93
2018-06,11385.75
2018-07,11405.25
2018-08,9231.03
2018-09,9171.880000000001
2018-10,11082.76
2018-11,8267.15
2018-12,11222.91
2019-01,6585.39
2019-02,7339.02
2019-03,6850.96
2019-04,6817.4349999999995
2019-05,6968.31
2019-06,5412.225
2019-07,7276.09
2019-08,7504.11
2019-09,6789.13
2019-10,6971.44
2019-11,5548.700000000001
2019-12,6088.63
2020-01,6787.01
2020-02,6109.26
2020-03,4449.01
2020-04,0.0
2020-05,0.0
2020-06,2431.1949999999997
2020-07,3775.96
2020-08,4360.71
2020-09,6211.005
2020-10,5783.09
2020-11,9312.515
2020-12,7093.06
2021-01,1884.25
2021-02,1944.335
2021-03,1937.02
2021-04,2019.3
2021-05,1912.79
2021-06,3039.62
2021-07,2572.15
2021-08,2372.13
2021-09,2618.3900000000003
2021-10,2520.56
2021-11,4740.785
2021-12,3224.33
2022-01,2151.23
2022-02,1901.9699999999998
2022-03,1543.49
2022-04,1409.865
2022-05,1948.61
2022-06,2066.95
2022-07,1804.46
2022-08,1806.59
2022-09,1651.415
2022-10,2330.47
2022-11,2958.995
2022-12,3054.44
