YearMonth,Revenue
2017-01,5098.19
2017-02,3932.165
2017-03,3765.24
2017-04,3957.51
2017-05,2771.34
2017-06,4662.6900000000005
2017-07,3114.46
2017-08,4277.95
2017-09,4567.4
2017-10,3912.26
2017-11,3549.645
2017-12,3169.28
2018-01,7522.54
2018-02,8283.805
2018-03,7930.28
2018-04,9389.005000000001
2018-05,6422.94
2018-06,6255.105
2018-07,9500.04
2018-08,6880.28
2018-09,9687.15
2018-10,8338.03
2018-11,8607.445
2018-12,10140.7
2019-01,5383.29
2019-02,4935.275
2019-03,4620.19
2019-04,5926.505
2019-05,4805.72
2019-06,5755.185
2019-07,6261.57
2019-08,5936.99
2019-09,5440.555
2019-10,4898.74
2019-11,4834.295
2019-12,6975.63
2020-01,7585.08
2020-02,6009.77
2020-03,5403.64
2020-04,0.0
2020-05,0.0
2020-06,1886.17
2020-07,3667.29
2020-08,2831.92
2020-09,3820.215
2020-10,3861.47
2020-11,6222.51
2020-12,7431.14
2021-01,1289.98
2021-02,1202.665
2021-03,1133.64
2021-04,2618.505
2021-05,1599.76
2021-06,2410.455
2021-07,2640.69
2021-08,2311.82
2021-09,2180.725
2021-10,2124.02
2021-11,2948.385
2021-12,3334.8
2022-01,1841.97
2022-02,1639.825
2022-03,1083.64
2022-04,1359.6999999999998
2022-05,1770.15
2022-06,1697.83
2022-07,1639.96
2022-08,1691.44
2022-09,1809.15
2022-10,1965.19
2022-11,1765.585
2022-12,2046.29
