YearMonth,Revenue
2017-01,4925.3
2017-02,6774.145
2017-03,4313.79
2017-04,5125.125
2017-05,4744.44
2017-06,6965.27
2017-07,6316.04
2017-08,5110.17
2017-09,4230.07
2017-10,5799.27
2017-11,6887.219999999999
2017-12,6487.47
2018-01,9830.3
2018-02,12321.29
2018-03,11279.14
2018-04,11358.16
2018-05,13737.87
2018-06,12045.365
2018-07,12349.04
2018-08,12308.92
2018-09,12221.55
2018-10,9506.05
2018-11,13584.51
2018-12,13195.35
2019-01,7722.22
2019-02,6199.48
2019-03,7729.81
2019-04,5951.71
2019-05,9247.95
2019-06,9009.755000000001
2019-07,7834.62
2019-08,7495.81
2019-09,9358.244999999999
2019-10,9804.74
2019-11,7374.715
2019-12,7265.19
2020-01,10082.99
2020-02,8408.1
2020-03,6577.06
2020-04,0.0
2020-05,0.0
2020-06,2980.575
2020-07,3568.35
2020-08,6090.06
2020-09,3915.9350000000004
2020-10,5277.78
2020-11,6016.67
2020-12,6402.19
2021-01,2842.08
2021-02,1759.4099999999999
2021-03,2043.24
2021-04,2353.79
2021-05,2605.37
2021-06,2799.49
2021-07,3629.67
2021-08,3691.07
2021-09,3236.895
2021-10,2743.6
2021-11,4211.66
2021-12,4378.31
2022-01,2478.32
2022-02,2421.1549999999997
2022-03,2376.51
2022-04,2550.54
2022-05,1764.72
2022-06,2180.29
2022-07,2008.04
2022-08,3032.86
2022-09,1910.015
2022-10,2373.04
2022-11,2567.125
2022-12,4199.14
