YearMonth,Revenue
2017-01,5324.37
2017-02,3381.4300000000003
2017-03,4219.96
2017-04,3378.455
2017-05,4744.02
2017-06,5571.87
2017-07,5611.61
2017-08,6028.56
2017-09,3656.635
2017-10,3690.24
2017-11,5667.15
2017-12,3905.34
2018-01,9043.31
2018-02,10060.945
2018-03,8494.47
2018-04,10908.810000000001
2018-05,11769.64
2018-06,8930.07
2018-07,8486.8
2018-08,8809.72
2018-09,11027.24
2018-10,10330.13
2018-11,9212.689999999999
2018-12,12167.91
2019-01,4690.44
2019-02,8533.44
2019-03,7602.06
2019-04,5369.615
2019-05,6425.89
2019-06,6115.37
2019-07,6101.46
2019-08,6291.92
2019-09,6833.005
2019-10,7622.98
2019-11,5828.025
2019-12,6053.55
2020-01,7009.17
2020-02,6463.52
2020-03,4816.07
2020-04,0.0
2020-05,0.0
2020-06,2275.71
2020-07,2914.26
2020-08,4706.35
2020-09,5368.57
2020-10,5597.7
2020-11,8688.205
2020-12,7685.61
2021-01,1369.1
2021-02,1847.1750000000002
2021-03,1746.08
2021-04,2244.3450000000003
2021-05,2584.47
2021-06,2495.835
2021-07,2704.89
2021-08,1846.03
2021-09,2972.105
2021-10,2342.83
2021-11,2749.92
2021-12,4296.48
2022-01,1917.76
2022-02,2055.005
2022-03,1527.23
2022-04,1944.12
2022-05,1381.27
2022-06,1525.315
2022-07,1662.44
2022-08,2158.28
2022-09,1150.625
2022-10,1849.93
2022-11,2220.76
2022-12,2574.45
