YearMonth,Revenue
2017-01,4938.02
2017-02,5830.655000000001
2017-03,4800.59
2017-04,5113.465
2017-05,4914.75
2017-06,6467.07
2017-07,4366.86
2017-08,3627.16
2017-09,4711.139999999999
2017-10,4430.52
2017-11,4332.68
2017-12,4792.95
2018-01,7939.94
2018-02,12910.785
2018-03,8051.76
2018-04,11072.18
2018-05,9104.83
2018-06,10535.605
2018-07,7992.07
2018-08,9724.41
2018-09,7482.625
2018-10,10790.26
2018-11,8391.43
2018-12,9145.57
2019-01,5187.67
2019-02,6110.42
2019-03,7077.43
2019-04,5638.344999999999
2019-05,5716.04
2019-06,5601.085
2019-07,6620.81
2019-08,7206.21
2019-09,7425.605
2019-10,7698.91
2019-11,5777.73
2019-12,7129.16
2020-01,8541.68
2020-02,7185.59
2020-03,5075.82
2020-04,0.0
2020-05,0.0
2020-06,1906.31
2020-07,2838.61
2020-08,4089.3
2020-09,5512.585
2020-10,6080.96
2020-11,7261.025
2020-12,9064.4
2021-01,1877.53
2021-02,1412.075
2021-03,1823.03
2021-04,1863.655
2021-05,2363.59
2021-06,2215.51
2021-07,2152.52
2021-08,3736.21
2021-09,2256.84
2021-10,2847.35
2021-11,3926.81
2021-12,4436.65
2022-01,1897.21
2022-02,1571.6100000000001
2022-03,1685.82
2022-04,2016.4250000000002
2022-05,1384.01
2022-06,1264.56
2022-07,1387.59
2022-08,1461.1
2022-09,1573.21
2022-10,2265.0
2022-11,2137.995
2022-12,3658.71
