YearMonth,Revenue
2017-01,992.13
2017-02,1442.49
2017-03,1324.86
2017-04,1604.875
2017-05,1367.41
2017-06,1663.9
2017-07,953.64
2017-08,1532.85
2017-09,1513.915
2017-10,962.91
2017-11,1141.885
2017-12,938.38
2018-01,2547.32
2018-02,2493.415
2018-03,2386.62
2018-04,2804.3199999999997
2018-05,2080.1
2018-06,2934.72
2018-07,3049.29
2018-08,2393.17
2018-09,3070.215
2018-10,2924.98
2018-11,3766.9700000000003
2018-12,3774.92
2019-01,1803.26
2019-02,1975.0549999999998
2019-03,1281.34
2019-04,1646.76
2019-05,1799.24
2019-06,1910.2350000000001
2019-07,1944.04
2019-08,1849.57
2019-09,2153.29
2019-10,2408.81
2019-11,1384.055
2019-12,2223.9
2020-01,2178.42
2020-02,2212.38
2020-03,1729.61
2020-04,0.0
2020-05,0.0
2020-06,546.195
2020-07,719.07
2020-08,1626.31
2020-09,1306.105
2020-10,2036.58
2020-11,1861.845
2020-12,1808.09
2021-01,498.32
2021-02,467.925
2021-03,550.37
2021-04,670.2
2021-05,605.79
2021-06,596.675
2021-07,970.56
2021-08,821.07
2021-09,984.935
2021-10,855.57
2021-11,847.185
2021-12,1151.46
2022-01,638.25
2022-02,624.11
2022-03,511.69
2022-04,593.5699999999999
2022-05,425.08
2022-06,520.105
2022-07,354.62
2022-08,681.27
2022-09,432.13
2022-10,612.6
2022-11,836.865
2022-12,712.34
