YearMonth,Revenue
2017-01,5141.02
2017-02,4332.8099999999995
2017-03,5897.36
2017-04,7028.555
2017-05,5863.38
2017-06,6608.585
2017-07,6127.85
2017-08,5171.66
2017-09,6402.205
2017-10,4164.91
2017-11,4870.385
2017-12,3045.28
2018-01,11538.27
2018-02,11940.75
2018-03,15655.52
2018-04,8215.67
2018-05,7504.94
2018-06,13380.04
2018-07,12873.94
2018-08,10711.42
2018-09,15210.09
2018-10,9719.73
2018-11,13390.630000000001
2018-12,11308.7
2019-01,9390.99
2019-02,5817.01
2019-03,7293.31
2019-04,8219.865
2019-05,8198.31
2019-06,7610.095
2019-07,10014.6
2019-08,6560.82
2019-09,5893.65
2019-10,8813.65
2019-11,6462.645
2019-12,8445.28
2020-01,8522.52
2020-02,9065.94
2020-03,6785.26
2020-04,0.0
2020-05,0.0
2020-06,2781.165
2020-07,4883.2
2020-08,6635.42
2020-09,5360.48
2020-10,5702.78
2020-11,9559.505000000001
2020-12,11728.0
2021-01,1832.11
2021-02,2009.21
2021-03,1983.13
2021-04,2718.1949999999997
2021-05,2576.75
2021-06,3317.9399999999996
2021-07,2406.83
2021-08,3444.61
2021-09,3708.0
2021-10,3543.86
2021-11,4262.215
2021-12,5626.22
2022-01,2122.02
2022-02,2109.13
2022-03,1656.41
2022-04,2515.555
2022-05,1742.12
2022-06,2313.08
2022-07,2299.15
2022-08,2215.91
2022-09,1700.1750000000002
2022-10,2054.19
2022-11,2290.365
2022-12,3956.46
