YearMonth,Revenue
2017-01,1807.53
2017-02,2114.0
2017-03,1972.28
2017-04,2203.23
2017-05,1801.83
2017-06,1975.69
2017-07,2707.03
2017-08,2166.84
2017-09,1689.2350000000001
2017-10,1723.36
2017-11,2247.875
2017-12,1789.72
2018-01,2984.8
2018-02,4940.1900000000005
2018-03,3434.74
2018-04,4466.285
2018-05,2760.03
2018-06,3489.365
2018-07,3637.53
2018-08,4089.64
2018-09,3053.215
2018-10,4022.06
2018-11,4238.13
2018-12,2577.31
2019-01,2682.35
2019-02,2657.135
2019-03,2415.04
2019-04,2582.855
2019-05,2666.14
2019-06,1280.725
2019-07,3010.48
2019-08,2487.65
2019-09,2147.705
2019-10,2737.11
2019-11,2177.55
2019-12,2587.31
2020-01,3789.27
2020-02,3743.53
2020-03,2201.37
2020-04,0.0
2020-05,0.0
2020-06,857.755
2020-07,1127.17
2020-08,2128.59
2020-09,1683.94
2020-10,2844.19
2020-11,2381.94
2020-12,3628.09
2021-01,699.64
2021-02,529.355
2021-03,734.3
2021-04,685.925
2021-05,1122.4
2021-06,1094.72
2021-07,1114.08
2021-08,1300.4
2021-09,1177.6799999999998
2021-10,913.7
2021-11,1477.31
2021-12,1773.13
2022-01,732.78
2022-02,478.395
2022-03,898.88
2022-04,783.92
2022-05,883.43
2022-06,880.74
2022-07,693.28
2022-08,786.88
2022-09,593.715
2022-10,913.21
2022-11,675.0350000000001
2022-12,865.79
