YearMonth,Revenue
2017-01,1511.06
2017-02,1421.9
2017-03,1342.04
2017-04,1245.37
2017-05,1196.15
2017-06,1245.355
2017-07,1570.59
2017-08,1321.63
2017-09,1865.3000000000002
2017-10,1342.73
2017-11,1549.155
2017-12,1381.64
2018-01,2900.66
2018-02,2892.1
2018-03,2952.65
2018-04,2854.685
2018-05,3141.45
2018-06,2480.64
2018-07,2264.36
2018-08,2899.17
2018-09,2613.6049999999996
2018-10,3011.51
2018-11,2610.4849999999997
2018-12,2416.9
2019-01,1667.95
2019-02,1889.4850000000001
2019-03,1973.67
2019-04,1829.67
2019-05,1622.54
2019-06,2179.875
2019-07,1574.47
2019-08,2090.41
2019-09,2371.7
2019-10,2201.26
2019-11,1989.68
2019-12,1476.94
2020-01,2344.71
2020-02,2027.77
2020-03,1228.74
2020-04,0.0
2020-05,0.0
2020-06,777.8
2020-07,1173.73
2020-08,1351.06
2020-09,1620.15
2020-10,2278.27
2020-11,1854.895
2020-12,1995.92
2021-01,524.51
2021-02,604.4200000000001
2021-03,438.18
2021-04,626.06
2021-05,642.14
2021-06,646.515
2021-07,736.61
2021-08,744.88
2021-09,836.365
2021-10,741.45
2021-11,1261.06
2021-12,1124.3
2022-01,759.67
2022-02,728.985
2022-03,356.89
2022-04,621.6600000000001
2022-05,549.03
2022-06,382.26
2022-07,655.29
2022-08,370.55
2022-09,426.1
2022-10,540.41
2022-11,695.86
2022-12,767.89
