YearMonth,Revenue
2017-01,6067.64
2017-02,5779.735000000001
2017-03,4794.75
2017-04,6101.245
2017-05,5114.26
2017-06,6395.045
2017-07,6377.5
2017-08,4655.89
2017-09,4842.725
2017-10,4956.85
2017-11,5936.4349999999995
2017-12,5420.46
2018-01,11167.11
2018-02,13860.294999999998
2018-03,8133.1
2018-04,11437.575
2018-05,9789.7
2018-06,6926.49
2018-07,10550.0
2018-08,11831.85
2018-09,8659.295
2018-10,10128.15
2018-11,7976.25
2018-12,6472.01
2019-01,6080.25
2019-02,6350.21
2019-03,8772.08
2019-04,6353.1
2019-05,8170.68
2019-06,6634.13
2019-07,5566.08
2019-08,7139.52
2019-09,5330.565
2019-10,7183.19
2019-11,8243.24
2019-12,8779.67
2020-01,6335.56
2020-02,5375.37
2020-03,5751.82
2020-04,0.0
2020-05,0.0
2020-06,2193.49
2020-07,3425.14
2020-08,4981.87
2020-09,4721.415000000001
2020-10,6712.02
2020-11,7951.895
2020-12,7041.6
2021-01,1978.41
2021-02,1553.4450000000002
2021-03,2234.15
2021-04,2277.035
2021-05,2290.45
2021-06,2032.35
2021-07,3404.68
2021-08,2978.26
2021-09,3176.79
2021-10,2364.97
2021-11,2660.06
2021-12,4110.62
2022-01,2127.42
2022-02,1972.9299999999998
2022-03,1612.6
2022-04,1582.1750000000002
2022-05,2139.98
2022-06,2341.2650000000003
2022-07,1364.61
2022-08,1773.85
2022-09,1665.315
2022-10,2291.55
2022-11,1841.3200000000002
2022-12,3494.13
