YearMonth,Revenue
2017-01,6410.97
2017-02,3123.9700000000003
2017-03,4070.62
2017-04,5106.985
2017-05,4053.38
2017-06,5598.344999999999
2017-07,7566.38
2017-08,4750.01
2017-09,4612.21
2017-10,4216.51
2017-11,5317.115
2017-12,4590.43
2018-01,7628.87
2018-02,8847.48
2018-03,11642.83
2018-04,13933.83
2018-05,10097.78
2018-06,8593.73
2018-07,8873.37
2018-08,12929.45
2018-09,7889.07
2018-10,11085.84
2018-11,9266.220000000001
2018-12,9968.56
2019-01,9241.61
2019-02,5408.610000000001
2019-03,7989.17
2019-04,7995.915
2019-05,7388.95
2019-06,6549.67
2019-07,5197.6
2019-08,8327.91
2019-09,4151.385
2019-10,7119.72
2019-11,4041.085
2019-12,8152.63
2020-01,9240.83
2020-02,8969.32
2020-03,5269.94
2020-04,0.0
2020-05,0.0
2020-06,2635.935
2020-07,2631.48
2020-08,6170.22
2020-09,5498.28
2020-10,7264.39
2020-11,8313.695
2020-12,12669.95
2021-01,1950.9
2021-02,1561.885
2021-03,1961.26
2021-04,2898.7799999999997
2021-05,2062.88
2021-06,2435.5950000000003
2021-07,2962.02
2021-08,2970.74
2021-09,3771.92
2021-10,2538.46
2021-11,3514.73
2021-12,3557.97
2022-01,1914.94
2022-02,1891.99
2022-03,2621.22
2022-04,2172.99
2022-05,2233.35
2022-06,2176.71
2022-07,2029.94
2022-08,1827.34
2022-09,1997.1349999999998
2022-10,2119.46
2022-11,3391.04
2022-12,3237.02
