YearMonth,Revenue
2017-01,4376.69
2017-02,6012.68
2017-03,5265.1
2017-04,4110.63
2017-05,3967.5
2017-06,4709.530000000001
2017-07,6184.94
2017-08,4515.6
2017-09,5130.1849999999995
2017-10,6077.07
2017-11,4447.389999999999
2017-12,6016.09
2018-01,10702.62
2018-02,12136.060000000001
2018-03,13628.48
2018-04,13496.95
2018-05,10581.41
2018-06,11682.794999999998
2018-07,9653.18
2018-08,12328.13
2018-09,10470.925
2018-10,11430.58
2018-11,10836.244999999999
2018-12,10543.0
2019-01,5667.7
2019-02,6768.82
2019-03,5510.08
2019-04,6862.389999999999
2019-05,7670.18
2019-06,4817.27
2019-07,7604.54
2019-08,6965.12
2019-09,8156.025
2019-10,6493.45
2019-11,8682.755
2019-12,7405.77
2020-01,8731.51
2020-02,6030.71
2020-03,5889.27
2020-04,0.0
2020-05,0.0
2020-06,2720.785
2020-07,4712.82
2020-08,5332.0
2020-09,4596.89
2020-10,5273.07
2020-11,7343.3
2020-12,10040.9
2021-01,1730.92
2021-02,1999.13
2021-03,2882.14
2021-04,2936.83
2021-05,2731.83
2021-06,2363.8450000000003
2021-07,2608.33
2021-08,3164.24
2021-09,3630.865
2021-10,2285.84
2021-11,3921.26
2021-12,3300.68
2022-01,2045.36
2022-02,1964.5700000000002
2022-03,1266.26
2022-04,2138.215
2022-05,2302.22
2022-06,1685.67
2022-07,2855.51
2022-08,1651.62
2022-09,2308.8900000000003
2022-10,2710.64
2022-11,3249.1549999999997
2022-12,3956.85
