YearMonth,Revenue
2017-01,5136.88
2017-02,6733.57
2017-03,5781.48
2017-04,4084.795
2017-05,4375.51
2017-06,4667.825000000001
2017-07,6075.2
2017-08,5275.76
2017-09,5164.245000000001
2017-10,4797.89
2017-11,5162.055
2017-12,6361.85
2018-01,10955.72
2018-02,10744.02
2018-03,10150.4
2018-04,11062.215
2018-05,11784.67
2018-06,9505.505000000001
2018-07,8839.33
2018-08,9303.62
2018-09,10469.71
2018-10,13424.47
2018-11,10992.89
2018-12,13673.68
2019-01,6271.42
2019-02,7263.8150000000005
2019-03,7274.47
2019-04,8745.025000000001
2019-05,5091.01
2019-06,8544.59
2019-07,7695.26
2019-08,5018.56
2019-09,8864.025
2019-10,5241.18
2019-11,5470.53
2019-12,6108.01
2020-01,8759.17
2020-02,8978.48
2020-03,5702.98
2020-04,0.0
2020-05,0.0
2020-06,2150.0950000000003
2020-07,3776.79
2020-08,5665.49
2020-09,5544.6
2020-10,7151.97
2020-11,7250.53
2020-12,10975.7
2021-01,2181.19
2021-02,1921.705
2021-03,1849.17
2021-04,2678.66
2021-05,2485.77
2021-06,2815.635
2021-07,3601.24
2021-08,2876.97
2021-09,2232.965
2021-10,3490.62
2021-11,3952.575
2021-12,4899.91
2022-01,2286.92
2022-02,2113.175
2022-03,2436.2
2022-04,1770.95
2022-05,1879.88
2022-06,2769.41
2022-07,1528.34
2022-08,2729.49
2022-09,2286.665
2022-10,2664.56
2022-11,3152.575
2022-12,2595.12
