YearMonth,Revenue_Goal_Median
2017-01,5201.88
2017-02,4798.815
2017-03,4435.83
2017-04,4719.655000000001
2017-05,3985.53
2017-06,4717.5
2017-07,4947.55
2017-08,5029.86
2017-09,5175.95
2017-10,4437.58
2017-11,4031.18
2017-12,4751.25
2018-01,5664.87
2018-02,5586.48
2018-03,6134.09
2018-04,7009.1900000000005
2018-05,8229.42
2018-06,7047.465
2018-07,6597.04
2018-08,6975.7
2018-09,8644.195
2018-10,7011.32
2018-11,6560.255
2018-12,8629.31
2019-01,6118.07
2019-02,6298.870000000001
2019-03,6239.48
2019-04,6565.514999999999
2019-05,5297.88
2019-06,6185.96
2019-07,5986.42
2019-08,6283.57
2019-09,5072.02
2019-10,5073.68
2019-11,6652.235000000001
2019-12,6782.0
2020-01,8513.91
2020-02,8845.83
2020-03,8508.82
2020-04,9006.265
2020-05,8850.45
2020-06,8959.45
2020-07,10163.61
2020-08,6780.29
2020-09,9358.630000000001
2020-10,9211.33
2020-11,8860.509999999998
2020-12,8704.16
2021-01,2831.44
2021-02,3248.535
2021-03,2773.97
2021-04,3326.255
2021-05,3288.19
2021-06,2749.87
2021-07,3008.68
2021-08,2986.58
2021-09,2834.73
2021-10,3002.71
2021-11,2545.5299999999997
2021-12,2415.51
2022-01,1743.53
2022-02,2267.3
2022-03,2366.12
2022-04,2317.4449999999997
2022-05,2078.57
2022-06,2090.915
2022-07,2528.44
2022-08,2287.16
2022-09,2005.205
2022-10,1857.61
2022-11,1999.665
2022-12,2059.85
