product,quarter,department,departement ,targeted_productivity,smv (standart minute value),total work hour ,incentive,idle_time,no_of_workers,product_value_rate
Project B,Quarter1,Junior,8,0.8,26.16,7080,98,0,59,0.940725424
Project B,Quarter1,Senior,1,0.75,3.94,960,0,0,8,0.8865
Project B,Quarter1,Junior,11,0.8,11.41,3660,50,0,30.5,0.800570492
Project B,Quarter1,Junior,12,0.8,11.41,3660,50,0,30.5,0.800570492
Project B,Quarter1,Junior,6,0.8,25.9,1920,50,0,56,0.800381944
Project B,Quarter1,Junior,7,0.8,25.9,6720,38,0,56,0.800125
Project B,Quarter1,Senior,2,0.75,3.94,960,0,0,8,0.755166667
Project B,Quarter1,Junior,3,0.75,28.08,6900,45,0,57.5,0.753683478
Project B,Quarter1,Junior,2,0.75,19.87,6000,34,0,55,0.753097531
Project B,Quarter1,Junior,1,0.75,28.08,6900,45,0,57.5,0.750427826
Project B,Quarter1,Junior,9,0.7,28.08,6900,44,0,57.5,0.721126957
Project B,Quarter1,Junior,10,0.75,19.31,6480,45,0,54,0.712205247
Project B,Quarter1,Junior,5,0.8,11.41,3660,50,0,30.5,0.707045902
Project B,Quarter1,Senior,10,0.65,3.94,960,0,0,8,0.705916667
Project B,Quarter1,Senior,8,0.75,2.9,960,0,0,8,0.676666667
Project B,Quarter1,Senior,4,0.75,3.94,2160,0,0,18,0.593055556
Project B,Quarter1,Senior,7,0.8,2.9,960,0,0,8,0.540729167
Project B,Quarter1,Junior,4,0.65,23.69,7200,0,0,60,0.52118
Project B,Quarter1,Senior,11,0.7,4.15,1440,0,0,12,0.436326389
Project E,Quarter1,Senior,4,0.8,4.15,6600,0,0,20,0.988024691
Project E,Quarter1,Senior,11,0.75,2.9,5640,0,0,17,0.987880435
Project E,Quarter1,Senior,9,0.8,4.15,960,0,0,8,0.956270833
Project E,Quarter1,Senior,3,0.75,3.94,1560,0,0,8,0.945277778
Project E,Quarter1,Senior,1,0.8,3.94,960,0,0,8,0.902916667
Project E,Quarter1,Junior,1,0.8,28.08,6300,50,0,56.5,0.800725314
Project E,Quarter1,Junior,3,0.8,28.08,6540,50,0,54.5,0.800322936
Project E,Quarter1,Junior,8,0.8,26.16,7080,50,0,59,0.800318644
Project E,Quarter1,Junior,12,0.8,26.16,7080,63,0,59,0.800318644
Project E,Quarter1,Junior,11,0.8,11.61,7080,50,0,29.5,0.800237288
Project E,Quarter1,Junior,5,0.8,11.61,7080,50,0,31.5,0.800148649
Project E,Quarter1,Junior,6,0.8,25.9,6720,50,0,56,0.800125
Project E,Quarter1,Junior,7,0.8,25.9,6720,38,0,56,0.800125
Project E,Quarter1,Junior,10,0.75,19.31,6480,56,0,54,0.787299691
Project E,Quarter1,Senior,2,0.8,4.15,960,0,0,8,0.782447917
Project E,Quarter1,Junior,2,0.75,19.87,6600,45,0,55,0.75024303
Project E,Quarter1,Senior,10,0.7,4.15,960,0,0,8,0.7018125
Project E,Quarter1,Junior,4,0.7,23.69,13800,0,0,60,0.700134038
Project E,Quarter1,Junior,9,0.7,28.08,6900,40,0,57.5,0.699965217
Project E,Quarter1,Senior,8,0.8,2.9,960,0,0,8,0.628333333
Project E,Quarter1,Senior,7,0.8,3.94,960,0,0,8,0.6253125
Project F,Quarter1,Senior,3,0.75,4.15,1560,0,0,8,0.991388889
Project F,Quarter1,Senior,9,0.8,3.94,960,0,0,8,0.931645833
Project F,Quarter1,Senior,1,0.8,3.94,960,0,0,8,0.915229167
Project F,Quarter1,Junior,6,0.8,11.61,6975,50,0,31,0.879714482
Project F,Quarter1,Senior,4,0.8,3.94,6600,0,0,20,0.861679012
Project F,Quarter1,Junior,9,0.8,26.16,7080,60,0,59,0.850569492
Project F,Quarter1,Junior,7,0.8,25.9,7020,60,0,56.5,0.850436438
Project F,Quarter1,Junior,8,0.8,25.9,6780,45,0,56.5,0.850345133
Project F,Quarter1,Junior,4,0.8,28.08,4260,50,0,55.5,0.800598058
Project F,Quarter1,Junior,1,0.8,26.16,7080,63,0,59,0.800318644
Project F,Quarter1,Junior,2,0.8,28.08,6660,50,0,55.5,0.800237838
Project F,Quarter1,Junior,12,0.8,11.61,6975,50,0,31,0.800030199
Project F,Quarter1,Senior,2,0.8,3.94,960,0,0,8,0.792104167
Project F,Quarter1,Senior,10,0.7,3.94,4320,0,0,18,0.759228395
Project F,Quarter1,Junior,11,0.75,19.31,6480,45,0,54,0.750348457
Project F,Quarter1,Junior,3,0.75,19.87,6600,45,0,55,0.75024303
Project F,Quarter1,Junior,10,0.7,28.08,6900,40,0,57.5,0.699965217
Project F,Quarter1,Senior,8,0.8,2.9,960,0,0,8,0.682708333
Project F,Quarter1,Senior,7,0.8,2.9,960,0,0,8,0.667604167
