Department,Region,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers,KPi Achieved
Sales Operations,Jawa,6139.41,1857.66,0.14,0.18,2017-01-01,50,213,YES
Inside Sales,Sumatra,7044.96,5236.01,0.3,0.17,2017-01-01,52,256,YES
Outside Sales,Kalimantan,4109.85,1882.47,0.14,0.2,2017-01-01,33,189,YES
Account Management,Papua,315.3,2069.08,0.2,0.17,2017-01-01,2,6,NO
Business Development,Sulawesi,1672.33,3587.07,0.24,0.14,2017-01-01,12,50,NO
Sales Enablement,NTB,2884.52,2005.19,0.4,0.44,2017-01-01,23,48,YES
Channel Sales,Bali,3414.28,1302.34,0.26,0.42,2017-01-01,30,66,YES
Key Accounts,Jawa,9427.77,5667.34,0.37,0.3,2017-01-01,82,186,YES
Sales Analytics,Sumatra,6039.19,7901.41,0.23,0.29,2017-01-01,42,85,NO
Customer Success,Kalimantan,6593.46,4112.01,0.36,0.26,2017-01-01,59,240,YES
Sales Training,Papua,7309.58,2129.34,0.22,0.3,2017-01-01,66,324,YES
Strategic Partnerships,Sulawesi,993.8,3179.35,0.17,0.3,2017-01-01,6,18,NO
Sales Support,NTB,6613.21,3920.9,0.27,0.29,2017-01-01,58,122,YES
Retail Sales,Bali,2664.03,6583.61,0.23,0.21,2017-01-01,23,94,NO
E-commerce Sales,Jawa,2064.69,6425.76,0.17,0.26,2017-01-01,17,30,NO
Enterprise Sales,Sumatra,7054.69,3784.32,0.19,0.19,2017-01-01,51,87,YES
International Sales,Kalimantan,6698.02,4792.32,0.17,0.2,2017-01-01,59,185,YES
Sales Administration,Papua,908.94,908.83,0.29,0.52,2017-01-01,5,14,YES
Sales Engineering,Sulawesi,2435.53,979.79,0.54,0.43,2017-01-01,15,28,YES
Sales Operations,NTB,8706.63,4106.69,0.14,0.18,2017-01-02,69,364,YES
Inside Sales,Bali,5411.04,3090.04,0.22,0.23,2017-01-02,44,148,YES
Outside Sales,Jawa,3899.68,2864.95,0.32,0.2,2017-01-02,28,61,YES
Account Management,Sumatra,765.82,1479.18,0.09,0.18,2017-01-02,3,11,NO
Business Development,Kalimantan,5672.89,2937.36,0.08,0.17,2017-01-02,44,127,YES
Sales Enablement,Papua,3550.44,1676.59,0.78,0.58,2017-01-02,29,125,YES
Channel Sales,Sulawesi,104.98,2049.09,0.6,0.5,2017-01-02,2,6,NO
Key Accounts,NTB,3106.37,5892.55,0.14,0.26,2017-01-02,24,99,NO
Sales Analytics,Bali,5141.02,7784.68,0.4,0.25,2017-01-02,41,86,NO
Customer Success,Jawa,4036.56,2211.78,0.37,0.29,2017-01-02,32,106,YES
Sales Training,Sumatra,3204.12,5460.35,0.36,0.29,2017-01-02,24,67,NO
Strategic Partnerships,Kalimantan,7895.28,4901.16,0.43,0.33,2017-01-02,62,264,YES
Sales Support,Papua,192.99,3692.46,0.14,0.38,2017-01-02,3,13,NO
Retail Sales,Sulawesi,8372.33,6039.36,0.15,0.17,2017-01-02,65,147,YES
E-commerce Sales,NTB,9759.96,7743.15,0.14,0.28,2017-01-02,80,240,YES
Enterprise Sales,Bali,613.99,4253.23,0.23,0.15,2017-01-02,4,8,NO
International Sales,Jawa,3839.79,3815.15,0.18,0.29,2017-01-02,34,175,YES
Sales Administration,Sumatra,1202.01,824.24,0.47,0.49,2017-01-02,10,52,YES
Sales Engineering,Kalimantan,597.86,975.31,0.72,0.47,2017-01-02,3,10,NO
Sales Operations,Papua,4260.8,4411.12,0.11,0.18,2017-01-03,32,66,NO
Inside Sales,Sulawesi,3327.54,4777.8,0.14,0.18,2017-01-03,26,68,NO
Outside Sales,NTB,835.24,4999.64,0.14,0.23,2017-01-03,4,19,NO
Account Management,Bali,6145.68,1571.49,0.12,0.19,2017-01-03,46,103,YES
Business Development,Jawa,1628.91,1810.44,0.27,0.18,2017-01-03,11,63,NO
Sales Enablement,Sumatra,1718.77,2173.31,0.68,0.44,2017-01-03,11,28,NO
Channel Sales,Kalimantan,403.98,1485.96,0.46,0.5,2017-01-03,3,9,NO
