Department,Region,quarter,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,KPi Achieved
Sales Operations,Jawa,2017Q1,6139.41,1857.66,0.14,0.18,50,213,YES
Inside Sales,Sumatra,2017Q1,7044.96,5236.01,0.3,0.17,52,256,YES
Outside Sales,Kalimantan,2017Q1,4109.85,1882.47,0.14,0.2,33,189,YES
Account Management,Papua,2017Q1,315.3,2069.08,0.2,0.17,2,6,NO
Business Development,Sulawesi,2017Q1,1672.33,3587.07,0.24,0.14,12,50,NO
Sales Enablement,NTB,2017Q1,2884.52,2005.19,0.4,0.44,23,48,YES
Channel Sales,Bali,2017Q1,3414.28,1302.34,0.26,0.42,30,66,YES
Key Accounts,Jawa,2017Q1,9427.77,5667.34,0.37,0.3,82,186,YES
Sales Analytics,Sumatra,2017Q1,6039.19,7901.41,0.23,0.29,42,85,NO
Customer Success,Kalimantan,2017Q1,6593.46,4112.01,0.36,0.26,59,240,YES
Sales Training,Papua,2017Q1,7309.58,2129.34,0.22,0.3,66,324,YES
Strategic Partnerships,Sulawesi,2017Q1,993.8,3179.35,0.17,0.3,6,18,NO
Sales Support,NTB,2017Q1,6613.21,3920.9,0.27,0.29,58,122,YES
Retail Sales,Bali,2017Q1,2664.03,6583.61,0.23,0.21,23,94,NO
E-commerce Sales,Jawa,2017Q1,2064.69,6425.76,0.17,0.26,17,30,NO
Enterprise Sales,Sumatra,2017Q1,7054.69,3784.32,0.19,0.19,51,87,YES
International Sales,Kalimantan,2017Q1,6698.02,4792.32,0.17,0.2,59,185,YES
Sales Administration,Papua,2017Q1,908.94,908.83,0.29,0.52,5,14,YES
Sales Engineering,Sulawesi,2017Q1,2435.53,979.79,0.54,0.43,15,28,YES
Sales Operations,NTB,2017Q1,8706.63,4106.69,0.14,0.18,69,364,YES
Inside Sales,Bali,2017Q1,5411.04,3090.04,0.22,0.23,44,148,YES
Outside Sales,Jawa,2017Q1,3899.68,2864.95,0.32,0.2,28,61,YES
Account Management,Sumatra,2017Q1,765.82,1479.18,0.09,0.18,3,11,NO
Business Development,Kalimantan,2017Q1,5672.89,2937.36,0.08,0.17,44,127,YES
Sales Enablement,Papua,2017Q1,3550.44,1676.59,0.78,0.58,29,125,YES
Channel Sales,Sulawesi,2017Q1,104.98,2049.09,0.6,0.5,2,6,NO
Key Accounts,NTB,2017Q1,3106.37,5892.55,0.14,0.26,24,99,NO
Sales Analytics,Bali,2017Q1,5141.02,7784.68,0.4,0.25,41,86,NO
Customer Success,Jawa,2017Q1,4036.56,2211.78,0.37,0.29,32,106,YES
Sales Training,Sumatra,2017Q1,3204.12,5460.35,0.36,0.29,24,67,NO
Strategic Partnerships,Kalimantan,2017Q1,7895.28,4901.16,0.43,0.33,62,264,YES
Sales Support,Papua,2017Q1,192.99,3692.46,0.14,0.38,3,13,NO
Retail Sales,Sulawesi,2017Q1,8372.33,6039.36,0.15,0.17,65,147,YES
E-commerce Sales,NTB,2017Q1,9759.96,7743.15,0.14,0.28,80,240,YES
Enterprise Sales,Bali,2017Q1,613.99,4253.23,0.23,0.15,4,8,NO
International Sales,Jawa,2017Q1,3839.79,3815.15,0.18,0.29,34,175,YES
Sales Administration,Sumatra,2017Q1,1202.01,824.24,0.47,0.49,10,52,YES
Sales Engineering,Kalimantan,2017Q1,597.86,975.31,0.72,0.47,3,10,NO
Sales Operations,Papua,2017Q1,4260.8,4411.12,0.11,0.18,32,66,NO
Inside Sales,Sulawesi,2017Q1,3327.54,4777.8,0.14,0.18,26,68,NO
Outside Sales,NTB,2017Q1,835.24,4999.64,0.14,0.23,4,19,NO
Account Management,Bali,2017Q1,6145.68,1571.49,0.12,0.19,46,103,YES
Business Development,Jawa,2017Q1,1628.91,1810.44,0.27,0.18,11,63,NO
Sales Enablement,Sumatra,2017Q1,1718.77,2173.31,0.68,0.44,11,28,NO
Channel Sales,Kalimantan,2017Q1,403.98,1485.96,0.46,0.5,3,9,NO
Key Accounts,Papua,2017Q1,8138.61,6088.51,0.44,0.23,64,305,YES
Sales Analytics,Sulawesi,2017Q1,4584.69,4068.1,0.4,0.24,35,168,YES
Customer Success,NTB,2017Q1,1623.07,3378.01,0.23,0.23,11,55,NO
Sales Training,Bali,2017Q1,2712.44,7057.07,0.3,0.38,21,49,NO
Strategic Partnerships,Jawa,2017Q1,5750.34,2156.1,0.52,0.36,47,248,YES
Sales Support,Sumatra,2017Q1,9982.58,7074.48,0.45,0.29,77,206,YES
Retail Sales,Kalimantan,2017Q1,4704.41,2836.07,0.18,0.17,34,61,YES
E-commerce Sales,Papua,2017Q1,4327.24,7975.15,0.2,0.31,35,63,NO
Enterprise Sales,Sulawesi,2017Q1,3313.94,2940.65,0.27,0.21,23,50,YES
International Sales,NTB,2017Q1,4465.66,4543.52,0.15,0.23,38,127,NO
Sales Administration,Bali,2017Q1,2686.84,1379.72,0.47,0.49,21,114,YES
Sales Engineering,Jawa,2017Q1,205.98,1387.28,0.45,0.52,2,3,NO
Sales Operations,Sumatra,2017Q1,1641.84,6708.69,0.1,0.18,11,35,NO
Inside Sales,Kalimantan,2017Q1,5725.2,5228.31,0.14,0.17,42,135,YES
